ticker,name,first_in_index,last_in_index,n_snapshots
0289640Q UN,GENENTECH INC-SPECIAL COMMON,1990-04-01,1990-04-01,1
1323Q US,NORTON COMPANY,1990-04-01,1990-04-01,1
1691Q UN,PHILIP INDUSTRIES INC,1990-04-01,1990-07-01,2
2246800Q UN,PRIME HOSPITALITY CORP,1990-04-01,1990-07-01,2
SVFI US,SOVRAN FINANCIAL CORP,1990-04-01,1990-07-01,2
2683Q US,WILLIS CORROON GROUP-SP ADR,1990-04-01,1990-10-01,3
FBNIQ US,FURNITURE BRANDS INTL INC,1990-04-01,1990-10-01,3
LCE UN,LONE STAR INDUSTRIES INC,1990-04-01,1990-10-01,3
MCAI US,UNIVERSAL STUDIOS INC,1990-04-01,1990-10-01,3
NKE US,NIKE INC -CL B,1990-04-01,1990-10-01,3
923022Q US,BROADWAY STORES INC,1990-04-01,1991-01-01,4
KATE US,KATE SPADE & CO LLC,1990-04-01,1991-01-01,4
PNAA US,PAN AM CORP,1990-04-01,1991-01-01,4
3123863Q UN,SCHNEIDER ELECTRIC USA INC,1990-04-01,1991-04-01,5
643319Q UN,TONKA CORP,1990-04-01,1991-04-01,5
8384662Q US,CATTLESALE CO/THE,1990-04-01,1991-04-01,5
BF/B UA,BROWN-FORMAN CORP-CLASS B,1990-04-01,1991-04-01,5
MRO US,MARATHON OIL CORP,1990-04-01,1991-04-01,5
PRSU US,PURSUIT ATTRACTIONS AND HOSP,1990-04-01,1991-04-01,5
UH UN,U S HOME CORP,1990-04-01,1991-04-01,5
1028411Q US,GILLETTE COMPANY,1990-04-01,1991-07-01,6
1503Q UN,NCR CORP-OLD,1990-04-01,1991-07-01,6
1708Q US,CROSS & TRECKER CORP,1990-04-01,1991-10-01,7
HBJ UN,HARCOURT BRACE JOVANOVICH IN,1990-04-01,1991-10-01,7
TRV US,TRAVELERS COS INC/THE,1990-04-01,1991-10-01,7
0848680D US,SPRINT COMMUNICATIONS LLC,1990-04-01,1992-01-01,8
2390302D UN,USG CORP,1990-04-01,1992-01-01,8
292356Z US,MANUFACTURERS HANOVER CORP,1990-04-01,1992-01-01,8
601964Q US,C & S SOVRAN CORP,1990-10-01,1992-01-01,6
1789494D US,NIELSEN AUDIO INC,1990-04-01,1992-04-01,9
AZA UA,ALZA CORP,1991-01-01,1992-04-01,6
BAC1 US,SECURITY PACIFIC CORP,1990-04-01,1992-04-01,9
FBF US,FLEETBOSTON FINANCIAL CORP,1990-04-01,1992-04-01,9
2056Q UN,ACME-CLEVELAND CORP,1990-04-01,1992-07-01,10
BNSSA US,BNS HOLDING INC-CL A,1990-04-01,1992-07-01,10
GWOW UN,GENESIS WORLDWIDE INC,1990-04-01,1992-07-01,10
WAN/B UA,WANG LABORATORIES  -CL B,1990-04-01,1992-07-01,10
1684442D UA,PALL CORP,1990-04-01,1992-10-01,11
WETT US,SUPERVALU HOLDINGS INC,1990-04-01,1992-10-01,11
739306Q US,HARCOURT GENERAL INC,1990-04-01,1993-01-01,12
2292198Q UN,GALEN HEALTH CARE INC,1993-04-01,1993-07-01,2
BCO US,BRINK'S CO/THE,1990-04-01,1993-07-01,14
IK UN,INTERLAKE CORP,1990-04-01,1993-07-01,14
WLBAQ US,WESTMORELAND COAL CO,1990-04-01,1993-07-01,14
1166Q US,AMAX INC,1990-04-01,1993-10-01,15
1539547D UN,QUANTUM CHEMICAL CORP,1990-04-01,1993-10-01,15
1671Q UN,PARAMOUNT COMMUNICATIONS INC,1990-04-01,1993-10-01,15
2340361Q UN,TRAVELERS CORP,1990-04-01,1993-10-01,15
2603Q US,PRICE CO/THE,1990-04-01,1993-10-01,15
263179Q US,CORESTATES FINANCIAL CORP,1991-01-01,1993-10-01,12
HST US,HOST HOTELS & RESORTS INC,1990-04-01,1993-10-01,15
JWPI UN,JWP INC,1990-10-01,1993-10-01,13
3691661Q UN,LITTON INDUSTRIES INC,1990-04-01,1994-01-01,16
CNA UN,CNA FINANCIAL CORP,1990-04-01,1994-01-01,16
MKG US,MALLINCKRODT INC,1990-04-01,1994-01-01,16
NEU UN,NEWMARKET CORP,1990-04-01,1994-01-01,16
NL UN,NLI HOLDINGS INC,1990-04-01,1994-01-01,16
1618Q US,COMMONWEALTH GENERAL CORP,1990-04-01,1994-04-01,17
1953Q UN,SYNTEX CORP,1990-04-01,1994-04-01,17
FJCC US,FC LIQUIDATING INC,1990-04-01,1994-04-01,17
GQ UN,GRUMMAN CORP,1990-04-01,1994-04-01,17
NAE US,CENTERPOINT ENERGY RESOURCES,1990-04-01,1994-04-01,17
1199Q US,PCS HOLDING CORP,1990-04-01,1994-07-01,18
1856Q UN,WYETH HOLDINGS LLC,1990-04-01,1994-07-01,18
2254Q UN,GERBER PRODUCTS CO,1990-04-01,1994-07-01,18
54279Q UN,BLOCKBUSTER ENMNT CORP,1991-04-01,1994-07-01,14
AVATQ US,AVATEX CORP-CL A,1990-04-01,1994-07-01,18
MCAWA US,MCCAW CELLULAR COMMUNICATION,1993-10-01,1994-07-01,4
UALAQ UN,UAL CORP-OLD,1990-04-01,1994-07-01,18
