date,dxy,eurusd,usdjpy,gbpusd
2000-01-03,100.22,1.0243,101.45,1.6362
2000-01-04,100.41,1.0296,103.22,1.636
2000-01-05,100.38,1.0321,104.14,1.6426
2000-01-06,100.48,1.0328,105.23,1.6474
2000-01-07,100.72,1.0295,105.34,1.6393
2000-01-10,100.99,1.0256,105.16,1.6374
2000-01-11,100.56,1.0336,105.95,1.6475
2000-01-12,100.62,1.0309,105.79,1.6466
2000-01-13,101.0,1.0258,106.17,1.6472
2000-01-14,101.72,1.0122,105.87,1.6313
2000-01-17,101.77,1.0122,104.9,1.6333
2000-01-18,101.86,1.0137,105.67,1.6379
2000-01-19,101.76,1.0133,105.32,1.645
2000-01-20,101.36,1.0168,105.47,1.6537
2000-01-21,101.81,1.0098,104.78,1.6487
2000-01-24,102.2,1.0072,105.57,1.6531
2000-01-25,102.41,1.0009,106.04,1.6452
2000-01-26,102.44,1.0019,105.66,1.6403
2000-01-27,103.17,0.9882,105.12,1.6396
2000-01-28,104.48,0.9747,107.13,1.6201
2000-01-31,105.13,0.9707,107.32,1.6162
2000-02-01,104.92,0.9711,107.85,1.615
2000-02-02,104.79,0.9765,108.16,1.6088
2000-02-03,103.8,0.9894,107.56,1.5972
2000-02-04,104.29,0.9832,107.19,1.5918
2000-02-07,104.64,0.9815,108.62,1.598
2000-02-08,104.22,0.9855,109.47,1.6113
2000-02-09,103.5,0.9942,108.79,1.6169
2000-02-10,104.13,0.9854,109.27,1.6097
2000-02-11,104.1,0.9875,108.82,1.5936
2000-02-14,104.72,0.9783,108.96,1.588
2000-02-15,104.69,0.9815,109.22,1.596
2000-02-16,104.28,0.9863,109.44,1.6077
2000-02-17,104.27,0.9878,110.56,1.609
2000-02-18,104.63,0.9839,111.09,1.6013
2000-02-21,104.51,0.9877,111.26,1.6005
2000-02-22,103.28,1.0038,110.69,1.6126
2000-02-23,103.53,1.0036,111.07,1.6039
2000-02-24,104.01,0.992,111.37,1.6003
2000-02-25,105.26,0.9749,110.29,1.5953
2000-02-28,105.27,0.9709,109.45,1.5958
2000-02-29,105.92,0.9642,110.33,1.5792
2000-03-01,104.89,0.9727,107.28,1.5854
2000-03-02,105.78,0.9656,107.74,1.5766
2000-03-03,106.0,0.9586,107.9,1.5778
2000-03-06,106.16,0.9586,107.54,1.5749
2000-03-07,106.01,0.9584,106.12,1.5804
2000-03-08,105.96,0.961,107.17,1.5817
2000-03-09,105.37,0.9669,106.53,1.5827
2000-03-10,105.71,0.9637,106.35,1.5765
2000-03-13,105.5,0.9642,105.52,1.5792
2000-03-14,105.2,0.9686,105.12,1.5776
2000-03-15,105.38,0.9669,105.69,1.5732
2000-03-16,105.18,0.9696,105.37,1.5771
2000-03-17,105.2,0.9721,106.73,1.5748
2000-03-20,105.15,0.9728,106.3,1.5689
2000-03-21,105.81,0.9615,106.78,1.5717
2000-03-22,106.04,0.961,107.11,1.5795
2000-03-23,105.23,0.9715,107.24,1.5867
2000-03-24,104.77,0.9779,106.87,1.5941
2000-03-27,105.3,0.9672,106.79,1.5882
2000-03-28,105.53,0.9605,105.84,1.5893
2000-03-29,106.22,0.9514,105.69,1.5936
2000-03-30,105.47,0.9613,105.57,1.5948
2000-03-31,105.44,0.9555,102.78,1.5911
2000-04-03,105.54,0.9553,104.9,1.5964
2000-04-04,105.17,0.9596,105.16,1.5932
2000-04-05,105.29,0.9625,104.88,1.5847
2000-04-06,105.52,0.9584,104.77,1.5815
2000-04-07,105.97,0.9553,105.37,1.5795
2000-04-10,105.68,0.9627,106.44,1.5855
2000-04-11,105.94,0.9592,106.92,1.5856
2000-04-12,105.96,0.959,105.78,1.5886
2000-04-13,106.14,0.9524,105.88,1.5866
2000-04-14,105.47,0.9622,104.74,1.5868
2000-04-17,106.13,0.9527,104.54,1.5805
2000-04-18,106.63,0.9453,104.74,1.5771
2000-04-19,107.13,0.9402,104.82,1.582
2000-04-20,107.45,0.9374,105.77,1.5793
2000-04-21,,0.9385,105.77,1.5795
2000-04-24,107.28,0.938,105.78,1.5785
2000-04-25,108.67,0.9208,106.31,1.5812
2000-04-26,108.55,0.9235,106.27,1.5756
2000-04-27,109.57,0.9099,106.43,1.572
2000-04-28,110.14,0.9119,108.18,1.5513
2000-05-01,109.63,0.9158,108.76,1.5536
2000-05-02,110.26,0.91,108.41,1.5604
2000-05-03,111.26,0.8948,109.02,1.5611
2000-05-04,111.8,0.8895,108.03,1.5412
2000-05-05,111.31,0.897,108.56,1.5303
2000-05-08,111.45,0.8977,109.0,1.5332
2000-05-09,110.75,0.9075,109.19,1.5311
2000-05-10,110.8,0.9068,109.53,1.5118
2000-05-11,111.52,0.9016,108.52,1.5035
2000-05-12,109.9,0.9197,108.47,1.5202
2000-05-15,110.56,0.9112,109.3,1.5054
2000-05-16,111.31,0.9003,109.66,1.4932
2000-05-17,112.1,0.8959,109.32,1.4968
2000-05-18,112.09,0.8946,108.65,1.4835
2000-05-19,111.47,0.8975,106.98,1.487
2000-05-22,111.18,0.9031,107.14,1.4925
2000-05-23,111.44,0.9071,106.42,1.4769
2000-05-24,111.22,0.9044,107.8,1.4753
2000-05-25,110.74,0.9115,107.35,1.4702
2000-05-26,109.12,0.9309,107.15,1.49
2000-05-29,,0.9266,107.04,1.4925
2000-05-30,108.93,0.9301,106.55,1.4966
2000-05-31,108.74,0.938,107.66,1.5014
2000-06-01,109.05,0.9312,108.52,1.4944
2000-06-02,108.12,0.9463,108.03,1.5098
2000-06-05,107.46,0.9479,107.33,1.5196
2000-06-06,106.59,0.9548,105.8,1.5284
2000-06-07,106.18,0.9622,105.32,1.5224
2000-06-08,106.73,0.956,105.84,1.5108
2000-06-09,106.99,0.9536,106.91,1.5096
2000-06-12,106.97,0.9538,106.85,1.5131
2000-06-13,106.4,0.9596,106.93,1.5068
2000-06-14,106.46,0.9579,106.63,1.499
2000-06-15,106.88,0.9547,106.46,1.5121
2000-06-16,105.96,0.965,106.41,1.5153
2000-06-19,106.33,0.9567,105.91,1.5116
2000-06-20,106.64,0.9548,105.53,1.5186
2000-06-21,107.43,0.9442,105.55,1.4986
2000-06-22,107.94,0.9355,104.57,1.5126
2000-06-23,108.1,0.9359,104.75,1.5011
2000-06-26,108.2,0.9369,105.66,1.4969
2000-06-27,107.36,0.9459,105.36,1.5073
2000-06-28,107.67,0.9401,105.57,1.5131
2000-06-29,106.91,0.952,105.32,1.5188
2000-06-30,106.84,0.9525,106.12,1.5141
2000-07-03,107.09,0.9502,105.69,1.5135
2000-07-04,107.29,0.9513,106.1,1.5152
2000-07-05,107.12,0.9525,106.96,1.5074
2000-07-06,107.4,0.9507,107.44,1.5073
2000-07-07,107.65,0.9484,107.91,1.5139
2000-07-10,106.91,0.9553,107.01,1.513
2000-07-11,107.09,0.9527,107.12,1.5172
2000-07-12,108.04,0.9424,108.09,1.5064
2000-07-13,108.54,0.9372,108.13,1.5034
2000-07-14,108.45,0.9385,107.72,1.5006
2000-07-17,108.62,0.9366,108.0,1.4948
2000-07-18,109.38,0.9248,108.14,1.4977
2000-07-19,109.54,0.9246,108.29,1.4982
2000-07-20,108.62,0.9331,107.67,1.5116
2000-07-21,108.44,0.9369,108.92,1.517
2000-07-24,108.63,0.9337,108.78,1.5153
2000-07-25,108.31,0.9385,109.12,1.5166
2000-07-26,107.97,0.9428,109.19,1.5155
2000-07-27,108.92,0.9317,109.16,1.5141
2000-07-28,109.74,0.923,109.59,1.5027
2000-07-31,109.61,0.9266,109.43,1.4997
2000-08-01,110.6,0.9147,109.33,1.492
2000-08-02,110.48,0.9136,108.99,1.4957
2000-08-03,110.98,0.9061,108.33,1.4977
2000-08-04,110.85,0.9083,108.65,1.5065
2000-08-07,110.85,0.9071,109.1,1.5136
2000-08-08,111.32,0.9022,108.62,1.505
2000-08-09,111.44,0.9006,107.82,1.502
2000-08-10,110.9,0.9083,108.66,1.4976
2000-08-11,111.21,0.9026,108.53,1.5015
2000-08-14,111.08,0.9056,109.43,1.5055
2000-08-15,110.51,0.9135,109.02,1.5043
2000-08-16,110.27,0.9161,108.54,1.5005
2000-08-17,110.23,0.9162,108.53,1.4977
2000-08-18,111.01,0.9064,108.41,1.4895
2000-08-21,111.46,0.9017,108.7,1.4872
2000-08-22,111.79,0.8964,108.32,1.4816
2000-08-23,111.42,0.9017,106.96,1.4873
2000-08-24,111.23,0.9021,106.85,1.4813
2000-08-25,111.35,0.9021,106.86,1.4692
2000-08-28,111.5,0.9002,106.53,1.4692
2000-08-29,112.2,0.8921,106.05,1.4561
2000-08-30,112.14,0.894,106.44,1.4598
2000-08-31,112.6,0.8878,106.67,1.4473
2000-09-01,111.42,0.8997,106.0,1.4642
2000-09-04,111.59,0.8978,105.87,1.458
2000-09-05,112.32,0.8903,105.84,1.4548
2000-09-06,114.17,0.8702,105.89,1.4367
2000-09-07,113.65,0.8713,105.17,1.438
2000-09-08,114.34,0.8672,106.12,1.4151
2000-09-11,115.53,0.8577,106.12,1.4024
2000-09-12,115.17,0.864,106.83,1.4066
2000-09-13,115.34,0.8594,107.09,1.4094
2000-09-14,115.21,0.8644,107.58,1.4074
2000-09-15,116.1,0.8543,107.12,1.3977
2000-09-18,116.03,0.8537,106.9,1.4063
2000-09-19,116.11,0.8509,106.99,1.4091
2000-09-20,116.28,0.8493,106.53,1.4105
2000-09-21,115.27,0.8599,106.63,1.4375
2000-09-22,113.82,0.8766,107.92,1.4537
2000-09-25,113.89,0.8745,107.77,1.4526
2000-09-26,113.13,0.8828,107.59,1.4638
2000-09-27,113.11,0.8834,107.32,1.4645
2000-09-28,113.31,0.8791,107.63,1.4623
2000-09-29,113.25,0.8828,108.14,1.4754
2000-10-02,113.79,0.8773,108.83,1.4662
2000-10-03,114.22,0.8757,108.87,1.4596
2000-10-04,114.17,0.8746,109.28,1.4597
2000-10-05,114.74,0.8691,109.11,1.4439
2000-10-06,114.85,0.8684,108.81,1.4459
2000-10-09,114.81,0.8687,108.85,1.4487
2000-10-10,114.36,0.8716,107.75,1.4546
2000-10-11,114.49,0.8683,107.77,1.4628
2000-10-12,114.97,0.863,107.7,1.4714
2000-10-13,115.86,0.856,107.83,1.4498
2000-10-16,116.34,0.8498,108.05,1.4477
2000-10-17,115.89,0.8543,108.02,1.4503
2000-10-18,117.33,0.8389,107.7,1.4436
2000-10-19,116.94,0.8436,108.45,1.4464
2000-10-20,117.16,0.8421,108.85,1.4512
2000-10-23,117.54,0.8354,108.24,1.4537
2000-10-24,117.42,0.8359,107.75,1.45
2000-10-25,118.58,0.8272,108.22,1.432
2000-10-26,118.4,0.8303,108.34,1.4364
2000-10-27,117.39,0.8393,108.65,1.455
2000-10-30,117.25,0.8411,108.98,1.4493
2000-10-31,116.65,0.8489,108.84,1.4477
2000-11-01,115.56,0.8612,108.17,1.4516
2000-11-02,115.61,0.8584,108.22,1.4433
2000-11-03,114.97,0.8666,107.08,1.4485
2000-11-06,115.59,0.8625,107.44,1.4271
2000-11-07,115.61,0.86,107.07,1.4333
2000-11-08,116.17,0.8555,107.25,1.4232
2000-11-09,115.34,0.8666,107.44,1.4333
2000-11-10,115.79,0.8596,107.87,1.4254
2000-11-13,115.7,0.8571,107.69,1.4379
2000-11-14,116.22,0.8576,108.17,1.4307
2000-11-15,116.39,0.8575,108.78,1.4269
2000-11-16,116.93,0.8532,108.94,1.4255
2000-11-17,117.31,0.8478,108.77,1.4227
2000-11-20,117.35,0.8514,109.88,1.424
2000-11-21,117.95,0.844,110.07,1.418
2000-11-22,117.85,0.8457,110.15,1.4072
2000-11-23,118.09,0.8393,110.22,1.3997
2000-11-24,118.48,0.838,111.28,1.3994
2000-11-27,117.1,0.8529,110.57,1.4176
2000-11-28,116.63,0.8559,110.17,1.4178
2000-11-29,116.61,0.8578,111.24,1.4222
2000-11-30,115.24,0.8729,110.38,1.4251
2000-12-01,114.73,0.8799,111.29,1.4423
2000-12-04,113.71,0.8857,111.12,1.4516
2000-12-05,114.47,0.8799,111.16,1.4321
2000-12-06,113.31,0.892,110.19,1.4439
2000-12-07,113.44,0.8885,110.53,1.4448
2000-12-08,114.05,0.8888,111.04,1.4518
2000-12-11,114.29,0.8783,110.79,1.4568
2000-12-12,114.26,0.8794,111.44,1.4486
2000-12-13,114.71,0.877,112.27,1.4561
2000-12-14,113.38,0.8923,111.91,1.4733
2000-12-15,112.9,0.8966,112.58,1.4757
2000-12-18,112.86,0.896,112.24,1.4758
2000-12-19,113.21,0.8953,112.41,1.4694
2000-12-20,111.89,0.9093,112.77,1.4762
2000-12-21,111.51,0.9166,112.27,1.4735
2000-12-22,110.82,0.9232,112.88,1.4765
2000-12-25,,0.9257,112.95,1.4797
2000-12-26,110.31,0.9303,113.57,1.4829
2000-12-27,110.21,0.9312,114.14,1.4965
2000-12-28,110.38,0.9296,114.33,1.4932
2000-12-29,109.56,0.9427,114.41,1.493
2001-01-01,,0.9423,114.36,1.4959
2001-01-02,108.61,0.9517,114.36,1.5026
2001-01-03,110.17,0.928,113.58,1.4894
2001-01-04,108.81,0.9495,115.55,1.5009
2001-01-05,108.42,0.957,116.53,1.5038
2001-01-08,108.86,0.9467,116.16,1.496
2001-01-09,109.52,0.9434,116.88,1.4884
2001-01-10,109.86,0.937,116.43,1.4867
2001-01-11,109.01,0.9519,117.81,1.4988
2001-01-12,109.27,0.9513,118.55,1.4786
2001-01-15,110.09,0.942,118.99,1.4773
2001-01-16,110.11,0.9427,117.72,1.472
2001-01-17,110.67,0.9358,118.88,1.4734
2001-01-18,109.94,0.943,118.14,1.4727
2001-01-19,110.67,0.9342,117.18,1.4628
2001-01-22,110.14,0.9387,116.41,1.4654
2001-01-23,110.34,0.9358,116.73,1.4687
2001-01-24,111.81,0.9236,117.73,1.4546
2001-01-25,111.41,0.9244,116.79,1.4592
2001-01-26,111.46,0.9244,117.18,1.4554
2001-01-29,111.92,0.9172,116.76,1.4581
2001-01-30,111.0,0.9268,115.86,1.4625
2001-01-31,110.52,0.9366,116.57,1.4646
2001-02-01,109.93,0.9388,115.59,1.4776
2001-02-02,110.32,0.9364,115.75,1.4707
2001-02-05,109.95,0.9375,114.77,1.4741
2001-02-06,110.7,0.931,114.78,1.4598
2001-02-07,111.13,0.9285,116.23,1.4517
2001-02-08,112.08,0.9175,116.78,1.4445
2001-02-09,111.52,0.9242,117.5,1.4446
2001-02-12,111.19,0.9322,117.41,1.4525
2001-02-13,112.01,0.9208,116.82,1.4523
2001-02-14,112.04,0.918,116.31,1.4545
2001-02-15,113.2,0.9053,115.5,1.4488
2001-02-16,112.26,0.915,115.73,1.4483
2001-02-19,111.9,0.9214,116.03,1.4477
2001-02-20,112.82,0.9114,115.67,1.4468
2001-02-21,113.02,0.9101,116.56,1.4423
2001-02-22,113.34,0.9038,117.08,1.4465
2001-02-23,112.03,0.9176,115.8,1.455
2001-02-26,112.77,0.911,116.47,1.4448
2001-02-27,112.34,0.9176,116.24,1.4442
