date,vstoxx,vhsi,vnky,vkospi,cdx_ig_5y,cdx_hy_5y
2000-01-03,30.98,,,,,
2000-01-04,33.22,,,,,
2000-01-05,32.59,,,,,
2000-01-06,31.18,,,,,
2000-01-07,27.44,,,,,
2000-01-10,27.37,,,,,
2000-01-11,27.96,,,,,
2000-01-12,28.61,,,,,
2000-01-13,28.05,,,,,
2000-01-14,25.48,,,,,
2000-01-17,25.99,,,,,
2000-01-18,27.78,,,,,
2000-01-19,28.13,,,,,
2000-01-20,27.76,,,,,
2000-01-21,28.2,,,,,
2000-01-24,28.66,,,,,
2000-01-25,30.02,,,,,
2000-01-26,29.43,,,,,
2000-01-27,28.06,,,,,
2000-01-28,29.02,,,,,
2000-01-31,31.97,,,,,
2000-02-01,30.12,,,,,
2000-02-02,29.5,,,,,
2000-02-03,28.93,,,,,
2000-02-04,28.63,,,,,
2000-02-07,29.94,,,,,
2000-02-08,28.57,,,,,
2000-02-09,29.51,,,,,
2000-02-10,30.13,,,,,
2000-02-11,29.18,,,,,
2000-02-14,32.92,,,,,
2000-02-15,33.99,,,,,
2000-02-16,32.56,,,,,
2000-02-17,30.92,,,,,
2000-02-18,30.31,,,,,
2000-02-21,30.97,,,,,
2000-02-22,30.77,,,,,
2000-02-23,29.6,,,,,
2000-02-24,29.51,,,,,
2000-02-25,27.09,,,,,
2000-02-28,29.09,,,,,
2000-02-29,28.78,,,,,
2000-03-01,27.68,,,,,
2000-03-02,24.73,,,,,
2000-03-03,27.52,,,,,
2000-03-06,27.73,,,,,
2000-03-07,28.46,,,,,
2000-03-08,29.51,,,,,
2000-03-09,29.3,,,,,
2000-03-10,28.23,,,,,
2000-03-13,31.14,,,,,
2000-03-14,30.9,,,,,
2000-03-15,31.51,,,,,
2000-03-16,31.45,,,,,
2000-03-17,31.09,,,,,
2000-03-20,29.54,,,,,
2000-03-21,29.12,,,,,
2000-03-22,28.93,,,,,
2000-03-23,28.53,,,,,
2000-03-24,27.02,,,,,
2000-03-27,27.06,,,,,
2000-03-28,26.43,,,,,
2000-03-29,25.46,,,,,
2000-03-30,27.79,,,,,
2000-03-31,27.24,,,,,
2000-04-03,28.18,,,,,
2000-04-04,27.82,,,,,
2000-04-05,32.07,,,,,
2000-04-06,28.78,,,,,
2000-04-07,26.63,,,,,
2000-04-10,26.94,,,,,
2000-04-11,28.14,,,,,
2000-04-12,27.64,,,,,
2000-04-13,27.86,,,,,
2000-04-14,28.41,,,,,
2000-04-17,30.78,,,,,
2000-04-18,30.28,,,,,
2000-04-19,28.22,,,,,
2000-04-20,27.23,,,,,
2000-04-25,28.31,,,,,
2000-04-26,28.29,,,,,
2000-04-27,29.99,,,,,
2000-04-28,28.13,,,,,
2000-05-02,28.71,,,,,
2000-05-03,29.89,,,,,
2000-05-04,29.57,,,,,
2000-05-05,28.2,,,,,
2000-05-08,28.75,,,,,
2000-05-09,29.29,,,,,
2000-05-10,30.02,,,,,
2000-05-11,27.73,,,,,
2000-05-12,27.06,,,,,
2000-05-15,28.18,,,,,
2000-05-16,26.82,,,,,
2000-05-17,27.25,,,,,
2000-05-18,26.29,,,,,
2000-05-19,28.53,,,,,
2000-05-22,29.7,,,,,
2000-05-23,28.74,,,,,
2000-05-24,28.86,,,,,
2000-05-25,27.36,,,,,
2000-05-26,26.78,,,,,
2000-05-29,26.25,,,,,
2000-05-30,25.63,,,,,
2000-05-31,25.26,,,,,
2000-06-01,24.14,,,,,
2000-06-02,22.76,,,,,
2000-06-05,23.45,,,,,
2000-06-06,24.16,,,,,
2000-06-07,24.37,,,,,
2000-06-08,24.11,,,,,
2000-06-09,24.31,,,,,
2000-06-12,24.57,,,,,
2000-06-13,24.18,,,,,
2000-06-14,23.23,,,,,
2000-06-15,24.12,,,,,
2000-06-16,23.55,,,,,
2000-06-19,23.08,,,,,
2000-06-20,22.31,,,,,
2000-06-21,22.71,,,,,
2000-06-22,22.71,,,,,
2000-06-23,22.61,,,,,
2000-06-26,22.82,,,,,
2000-06-27,22.79,,,,,
2000-06-28,22.27,,,,,
2000-06-29,23.57,,,,,
2000-06-30,22.42,,,,,
2000-07-03,22.65,,,,,
2000-07-04,21.86,,,,,
2000-07-05,22.61,,,,,
2000-07-06,22.45,,,,,
2000-07-07,21.47,,,,,
2000-07-10,21.58,,,,,
2000-07-11,21.22,,,,,
2000-07-12,20.95,,,,,
2000-07-13,20.45,,,,,
2000-07-14,19.78,,,,,
2000-07-17,19.61,,,,,
2000-07-18,19.41,,,,,
2000-07-19,20.46,,,,,
2000-07-20,20.09,,,,,
2000-07-21,20.35,,,,,
2000-07-24,20.84,,,,,
2000-07-25,20.57,,,,,
2000-07-26,20.64,,,,,
2000-07-27,21.25,,,,,
2000-07-28,22.55,,,,,
2000-07-31,22.25,,,,,
2000-08-01,22.46,,,,,
2000-08-02,22.28,,,,,
2000-08-03,23.2,,,,,
2000-08-04,22.41,,,,,
2000-08-07,22.25,,,,,
2000-08-08,21.96,,,,,
2000-08-09,21.79,,,,,
2000-08-10,21.29,,,,,
2000-08-11,21.18,,,,,
2000-08-14,20.67,,,,,
2000-08-15,20.7,,,,,
2000-08-16,20.29,,,,,
2000-08-17,20.22,,,,,
2000-08-18,19.91,,,,,
2000-08-21,19.98,,,,,
2000-08-22,19.91,,,,,
2000-08-23,19.61,,,,,
2000-08-24,19.82,,,,,
2000-08-25,19.25,,,,,
2000-08-28,19.73,,,,,
2000-08-29,19.84,,,,,
2000-08-30,20.14,,,,,
2000-08-31,19.62,,,,,
2000-09-01,19.14,,,,,
2000-09-04,19.61,,,,,
2000-09-05,20.52,,,,,
2000-09-06,20.66,,,,,
2000-09-07,19.91,,,,,
2000-09-08,20.45,,,,,
2000-09-11,20.17,,,,,
2000-09-12,20.07,,,,,
2000-09-13,20.59,,,,,
2000-09-14,20.39,,,,,
2000-09-15,19.87,,,,,
2000-09-18,21.15,,,,,
2000-09-19,21.44,,,,,
2000-09-20,22.02,,,,,
2000-09-21,24.85,,,,,
2000-09-22,24.42,,,,,
2000-09-25,23.13,,,,,
2000-09-26,22.69,,,,,
2000-09-27,22.39,,,,,
2000-09-28,21.94,,,,,
2000-09-29,23.35,,,,,
2000-10-02,23.51,,,,,
2000-10-03,23.2,,,,,
2000-10-04,23.57,,,,,
2000-10-05,23.17,,,,,
2000-10-06,23.23,,,,,
2000-10-09,25.28,,,,,
2000-10-10,25.69,,,,,
2000-10-11,27.7,,,,,
2000-10-12,27.64,,,,,
2000-10-13,28.65,,,,,
2000-10-16,27.45,,,,,
2000-10-17,26.99,,,,,
2000-10-18,29.85,,,,,
2000-10-19,27.54,,,,,
2000-10-20,26.4,,,,,
2000-10-23,26.5,,,,,
2000-10-24,25.65,,,,,
2000-10-25,26.76,,,,,
2000-10-26,27.4,,,,,
2000-10-27,26.32,,,,,
2000-10-30,26.49,,,,,
2000-10-31,25.3,,,,,
2000-11-01,24.88,,,,,
2000-11-02,24.5,,,,,
2000-11-03,23.54,,,,,
2000-11-06,24.15,,,,,
2000-11-07,24.33,,,,,
2000-11-08,24.24,,,,,
2000-11-09,24.25,,,,,
2000-11-10,25.52,,,,,
2000-11-13,28.05,,,,,
2000-11-14,25.58,,,,,
2000-11-15,25.1,,,,,
2000-11-16,24.96,,,,,
2000-11-17,24.88,,,,,
2000-11-20,26.39,,,,,
2000-11-21,25.5,,,,,
2000-11-22,26.94,,,,,
2000-11-23,26.16,,,,,
2000-11-24,25.38,,,,,
2000-11-27,25.97,,,,,
2000-11-28,26.26,,,,,
2000-11-29,26.2,,,,,
2000-11-30,28.38,,,,,
2000-12-01,27.27,,,,,
2000-12-04,28.17,,,,,
2000-12-05,26.17,,,,,
2000-12-06,25.67,,,,,
2000-12-07,25.85,,,,,
2000-12-08,25.41,,,,,
2000-12-11,24.71,,,,,
2000-12-12,24.22,,,,,
2000-12-13,23.84,,,,,
2000-12-14,24.96,,,,,
2000-12-15,25.6,,,,,
2000-12-18,24.45,,,,,
2000-12-19,24.39,,,,,
2000-12-20,27.22,,,,,
2000-12-21,27.98,,,,,
2000-12-22,27.46,,,,,
2000-12-27,27.03,,,,,
2000-12-28,26.73,,,,,
2000-12-29,26.23,,,,,
2001-01-02,27.73,27.85,,,,
2001-01-03,28.62,28.16,,,,
2001-01-04,26.92,28.55,24.63,,,
2001-01-05,26.59,27.27,23.27,,,
2001-01-08,27.27,28.33,,,,
2001-01-09,27.1,27.74,24.93,,,
2001-01-10,26.47,28.18,25.32,,,
2001-01-11,24.84,28.13,26.23,,,
2001-01-12,23.65,27.09,24.96,,,
2001-01-15,23.76,27.32,24.59,,,
2001-01-16,24.13,26.68,23.2,,,
2001-01-17,23.44,26.94,22.61,,,
2001-01-18,23.3,25.13,22.77,,,
2001-01-19,22.79,23.11,22.87,,,
2001-01-22,23.32,23.22,23.85,,,
2001-01-23,23.1,24.52,23.38,,,
2001-01-24,22.46,,22.77,,,
2001-01-25,22.01,,21.46,,,
2001-01-26,21.92,,21.87,,,
2001-01-29,22.06,26.24,22.3,,,
2001-01-30,22.52,26.45,21.68,,,
2001-01-31,22.25,27.61,22.16,,,
2001-02-01,21.75,27.25,21.39,,,
2001-02-02,21.17,25.93,21.32,,,
2001-02-05,21.53,26.72,22.71,,,
2001-02-06,20.51,26.02,22.65,,,
2001-02-07,20.78,23.86,22.7,,,
2001-02-08,20.16,23.69,23.88,,,
2001-02-09,20.39,23.56,22.73,,,
