date,citi_surprise_usd,citi_surprise_g10
2003-01-01,-21.1,-12.3
2003-01-02,-6.0,-6.1
2003-01-03,-5.3,-6.2
2003-01-06,-4.6,-6.3
2003-01-07,-3.6,-7.4
2003-01-08,-2.3,-6.7
2003-01-09,-1.4,-6.1
2003-01-10,-13.1,-6.8
2003-01-13,-8.4,0.4
2003-01-14,-12.3,-1.4
2003-01-15,-4.4,1.5
2003-01-16,-3.1,3.1
2003-01-17,-29.0,-6.5
2003-01-20,-26.7,-5.2
2003-01-21,-21.7,4.0
2003-01-22,-20.3,4.1
2003-01-23,-19.1,7.4
2003-01-24,-17.6,8.0
2003-01-27,-11.1,11.4
2003-01-28,-6.3,11.8
2003-01-29,-6.6,11.5
2003-01-30,-10.7,7.1
2003-01-31,-7.9,7.2
2003-02-03,-8.9,8.1
2003-02-04,-9.3,7.9
2003-02-05,-8.6,8.2
2003-02-06,-9.0,2.4
2003-02-07,2.8,6.9
2003-02-10,0.4,5.8
2003-02-11,-1.3,4.9
2003-02-12,-1.8,5.9
2003-02-13,15.2,14.7
2003-02-14,17.6,19.4
2003-02-17,17.8,18.8
2003-02-18,13.4,19.0
2003-02-19,15.1,19.8
2003-02-20,-17.0,4.5
2003-02-21,-21.1,2.1
2003-02-24,-24.1,-0.2
2003-02-25,-45.1,-0.5
2003-02-26,-44.8,0.2
2003-02-27,-49.6,1.8
2003-02-28,-37.5,7.3
2003-03-03,-42.1,6.0
2003-03-04,-41.3,5.3
2003-03-05,-39.0,5.2
2003-03-06,-39.3,5.4
2003-03-07,-73.0,-6.8
2003-03-10,-74.3,-6.5
2003-03-11,-75.4,-6.1
2003-03-12,-64.2,1.5
2003-03-13,-82.7,-5.6
2003-03-14,-83.9,-5.4
2003-03-17,-85.6,-6.7
2003-03-18,-88.1,-3.4
2003-03-19,-87.6,-3.2
2003-03-20,-91.0,-5.8
2003-03-21,-94.1,-2.7
2003-03-24,-92.4,-1.0
2003-03-25,-91.3,-1.9
2003-03-26,-94.6,-8.3
2003-03-27,-93.8,-11.1
2003-03-28,-91.0,-7.4
2003-03-31,-91.7,-10.8
2003-04-01,-101.7,-15.6
2003-04-02,-100.7,-15.1
2003-04-03,-107.8,-18.4
2003-04-04,-113.9,-21.6
2003-04-07,-109.3,-19.8
2003-04-08,-107.2,-19.2
2003-04-09,-104.2,-19.9
2003-04-10,-94.7,-17.8
2003-04-11,-76.4,-10.7
2003-04-14,-71.8,-10.1
2003-04-15,-77.2,-13.8
2003-04-16,-77.2,-15.2
2003-04-17,-77.2,-15.6
2003-04-18,-77.1,-15.9
2003-04-21,-77.4,-18.0
2003-04-22,-77.1,-18.4
2003-04-23,-76.9,-16.7
2003-04-24,-74.3,-18.8
2003-04-25,-58.1,-12.9
2003-04-28,-57.8,-21.2
2003-04-29,-39.7,-17.8
2003-04-30,-41.9,-21.3
2003-05-01,-47.4,-22.8
2003-05-02,-47.6,-22.9
2003-05-05,-44.7,-21.1
2003-05-06,-45.3,-20.6
2003-05-07,-46.6,-27.3
2003-05-08,-46.1,-27.9
2003-05-09,-45.6,-30.6
2003-05-12,-45.1,-31.1
2003-05-13,-58.9,-37.3
2003-05-14,-78.4,-44.8
2003-05-15,-74.3,-43.4
2003-05-16,-73.7,-43.4
2003-05-19,-63.2,-40.2
2003-05-20,-56.7,-38.1
2003-05-21,-54.6,-38.0
2003-05-22,-52.9,-39.0
2003-05-23,-50.8,-37.8
2003-05-26,-43.3,-32.7
2003-05-27,-41.5,-33.9
2003-05-28,-43.2,-29.7
2003-05-29,-39.7,-29.0
2003-05-30,-34.1,-26.8
2003-06-02,-25.2,-24.4
2003-06-03,-21.8,-23.4
2003-06-04,-11.1,-19.1
2003-06-05,-10.7,-18.2
2003-06-06,-8.9,-18.6
2003-06-09,-7.5,-19.6
2003-06-10,-4.2,-15.9
2003-06-11,-3.6,-16.4
2003-06-12,-5.0,-17.5
2003-06-13,-3.0,-17.6
2003-06-16,3.0,-16.0
2003-06-17,11.6,-12.0
2003-06-18,12.3,-12.1
2003-06-19,12.0,-12.8
2003-06-20,12.3,-11.9
2003-06-23,13.8,-9.5
2003-06-24,16.5,-7.9
2003-06-25,21.5,-3.1
2003-06-26,12.4,-12.6
2003-06-27,14.7,-9.8
2003-06-30,17.9,-5.3
2003-07-01,15.4,-1.6
2003-07-02,15.9,-1.2
2003-07-03,20.4,2.1
2003-07-04,19.5,-2.1
2003-07-07,15.4,-1.9
2003-07-08,12.6,-2.1
2003-07-09,10.2,-3.8
2003-07-10,10.4,-4.2
2003-07-11,9.3,-2.0
2003-07-14,11.3,0.2
2003-07-15,19.0,12.1
2003-07-16,15.2,11.0
2003-07-17,16.6,12.0
2003-07-18,15.3,11.9
2003-07-21,11.9,11.4
2003-07-22,9.9,11.7
2003-07-23,7.1,10.5
2003-07-24,6.7,9.3
2003-07-25,9.4,11.0
2003-07-28,7.4,11.8
2003-07-29,-4.9,7.2
2003-07-30,-4.6,4.4
2003-07-31,16.1,13.3
2003-08-01,11.7,11.7
2003-08-04,13.1,14.8
2003-08-05,27.9,22.4
2003-08-06,28.9,25.8
2003-08-07,30.1,23.5
2003-08-08,31.7,24.9
2003-08-11,40.3,25.8
2003-08-12,39.9,28.4
2003-08-13,43.8,30.2
2003-08-14,56.0,35.1
2003-08-15,60.1,36.6
2003-08-18,58.8,35.6
2003-08-19,59.6,38.4
2003-08-20,59.1,37.7
2003-08-21,64.9,40.9
2003-08-22,64.3,40.8
2003-08-25,62.2,37.9
2003-08-26,63.9,43.0
2003-08-27,62.7,42.5
2003-08-28,65.9,45.6
2003-08-29,68.3,46.8
2003-09-01,65.2,45.3
2003-09-02,66.9,46.1
2003-09-03,66.3,45.9
2003-09-04,71.1,46.6
2003-09-05,60.3,44.6
2003-09-08,58.9,43.7
2003-09-09,58.5,50.9
2003-09-10,57.6,51.1
2003-09-11,57.8,51.5
2003-09-12,53.4,49.5
2003-09-15,48.9,47.2
2003-09-16,45.5,47.3
2003-09-17,45.0,47.4
2003-09-18,43.4,47.1
2003-09-19,43.1,46.8
2003-09-22,42.1,44.6
2003-09-23,43.2,41.5
2003-09-24,42.7,39.2
2003-09-25,42.4,40.0
2003-09-26,45.6,40.9
2003-09-29,44.5,38.6
2003-09-30,29.5,32.9
2003-10-01,26.6,32.1
2003-10-02,26.2,31.6
2003-10-03,36.5,35.6
2003-10-06,35.3,34.0
2003-10-07,34.8,34.1
2003-10-08,34.5,31.7
2003-10-09,33.8,28.9
2003-10-10,44.6,33.8
2003-10-13,41.9,30.7
2003-10-14,41.2,29.3
2003-10-15,42.9,28.9
2003-10-16,48.7,31.7
2003-10-17,50.6,32.7
2003-10-20,48.6,32.7
2003-10-21,47.8,32.7
2003-10-22,46.7,35.8
2003-10-23,46.2,35.4
2003-10-24,45.7,35.7
2003-10-27,44.3,35.4
2003-10-28,43.3,42.9
2003-10-29,43.0,45.9
2003-10-30,64.9,55.9
2003-10-31,62.1,53.8
2003-11-03,59.8,51.6
2003-11-04,59.0,51.4
2003-11-05,60.9,51.3
2003-11-06,59.9,52.0
2003-11-07,66.5,49.6
2003-11-10,60.9,45.6
2003-11-11,58.1,41.4
2003-11-12,56.9,42.7
2003-11-13,51.8,39.8
2003-11-14,50.5,40.5
2003-11-17,51.0,38.8
2003-11-18,53.0,38.6
