date,ig_oas,hy_oas
2004-01-02,0.94,3.81
2004-01-05,0.93,3.71
2004-01-06,0.93,3.73
2004-01-07,0.93,3.66
2004-01-08,0.93,3.6
2004-01-09,0.94,3.74
2004-01-12,0.94,3.72
2004-01-13,0.95,3.77
2004-01-14,0.94,3.76
2004-01-15,0.92,3.74
2004-01-16,0.92,3.67
2004-01-20,0.92,3.62
2004-01-21,0.92,3.61
2004-01-22,0.92,3.64
2004-01-23,0.91,3.53
2004-01-26,0.92,3.51
2004-01-27,0.92,3.61
2004-01-28,0.91,3.56
2004-01-29,0.92,3.66
2004-01-30,0.93,3.74
2004-02-02,0.94,3.79
2004-02-03,0.95,3.9
2004-02-04,0.94,3.92
2004-02-05,0.94,3.96
2004-02-06,0.95,4.05
2004-02-09,0.95,3.99
2004-02-10,0.95,3.94
2004-02-11,0.95,4.01
2004-02-12,0.95,3.92
2004-02-13,0.94,3.95
2004-02-17,0.94,3.91
2004-02-18,0.94,3.92
2004-02-19,0.94,3.94
2004-02-20,0.93,3.91
2004-02-23,0.94,4.01
2004-02-24,0.95,4.07
2004-02-25,0.95,4.05
2004-02-26,0.95,4.02
2004-02-27,0.95,4.05
2004-03-01,0.94,3.99
2004-03-02,0.94,3.93
2004-03-03,0.94,3.93
2004-03-04,0.94,3.95
2004-03-05,0.95,4.08
2004-03-08,0.96,4.08
2004-03-09,0.97,4.12
2004-03-10,0.97,4.1
2004-03-11,0.97,4.13
2004-03-12,0.98,4.11
2004-03-15,0.98,4.12
2004-03-16,0.98,4.25
2004-03-17,0.97,4.23
2004-03-18,0.97,4.18
2004-03-19,0.96,4.16
2004-03-22,0.97,4.25
2004-03-23,0.97,4.27
2004-03-24,0.98,4.28
2004-03-25,0.98,4.26
2004-03-26,0.97,4.16
2004-03-29,0.97,4.09
2004-03-30,0.96,4.09
2004-03-31,0.97,4.14
2004-04-01,0.97,4.08
2004-04-02,0.95,3.9
2004-04-05,0.94,3.86
2004-04-06,0.94,3.88
2004-04-07,0.94,3.86
2004-04-08,0.93,3.82
2004-04-12,0.93,3.77
2004-04-13,0.92,3.71
2004-04-14,0.92,3.73
2004-04-15,0.92,3.71
2004-04-16,0.93,3.77
2004-04-19,0.93,3.74
2004-04-20,0.92,3.69
2004-04-21,0.92,3.7
2004-04-22,0.91,3.71
2004-04-23,0.89,3.61
2004-04-26,0.89,3.62
2004-04-27,0.89,3.64
2004-04-28,0.89,3.61
2004-04-29,0.91,3.63
2004-04-30,0.92,3.67
2004-05-03,0.92,3.72
2004-05-04,0.93,3.76
2004-05-05,0.94,3.75
2004-05-06,0.98,3.83
2004-05-07,0.96,3.76
2004-05-10,0.98,3.95
2004-05-11,0.99,4.0
2004-05-12,0.99,4.07
2004-05-13,0.98,4.13
2004-05-14,1.0,4.23
2004-05-17,1.0,4.33
2004-05-18,1.0,4.23
2004-05-19,0.99,4.09
2004-05-20,0.99,4.18
2004-05-21,0.99,4.1
2004-05-24,0.99,4.08
2004-05-25,0.99,4.07
2004-05-26,0.99,4.08
2004-05-27,0.99,4.13
2004-05-28,0.99,4.05
2004-05-31,0.99,4.05
2004-06-01,1.0,4.02
2004-06-02,1.0,4.0
2004-06-03,1.0,4.01
2004-06-04,0.99,3.9
2004-06-07,0.99,3.94
2004-06-08,0.98,3.9
2004-06-09,0.98,3.85
2004-06-10,0.97,3.85
2004-06-14,0.97,3.81
2004-06-15,0.99,3.98
2004-06-16,0.99,3.89
2004-06-17,0.98,3.91
2004-06-18,0.98,3.88
2004-06-21,0.98,3.86
2004-06-22,0.98,3.83
2004-06-23,0.98,3.84
2004-06-24,0.98,3.89
2004-06-25,0.98,3.88
2004-06-28,0.98,3.79
2004-06-29,0.98,3.84
2004-06-30,0.99,3.93
2004-07-01,1.0,3.95
2004-07-02,1.01,4.03
2004-07-06,1.01,3.97
