date,ticker,best_ebitda_1bf,best_eps_1bf,best_sales_1bf,best_ebitda_2bf,best_eps_2bf,best_sales_2bf
2010-01-29,A UN,923.155,1.52,4881.511,1012.159,1.73,5075.934
2010-02-26,A UN,1022.662,1.793,4916.298,1083.881,2.04,4963.4
2010-03-31,A UN,1061.132,1.853,5129.981,1113.31,2.106,5351.604
2010-04-30,A UN,1075.5,1.887,5163.857,1109.72,2.12,5355.969
2010-05-31,A UN,1157.536,2.096,5822.47,1227.983,2.421,6265.178
2010-06-30,A UN,1183.5,2.137,5854.047,1306.944,2.482,6342.412
2010-07-30,A UN,1190.625,2.149,5907.147,1320.456,2.497,6389.774
2010-08-31,A UN,1267.547,2.292,6017.2,1399.199,2.555,6586.714
2010-09-30,A UN,1285.913,2.327,6080.092,1408.747,2.574,6631.247
2010-10-29,A UN,1307.909,2.358,6164.8,1451.59,2.617,6634.444
2010-11-30,A UN,1360.216,2.468,6303.446,1500.779,2.784,6715.047
2010-12-31,A UN,1371.96,2.503,6301.132,1493.166,2.805,6638.801
2011-01-31,A UN,1383.849,2.591,6409.675,1508.75,2.956,6758.494
2011-02-28,A UN,1451.238,2.761,6541.135,1584.969,3.134,6981.433
2011-03-31,A UN,1454.6,2.807,6596.013,1591.934,3.183,7041.69
2011-04-29,A UN,1465.322,2.837,6630.939,1599.178,3.203,7073.829
2011-05-31,A UN,1602.841,3.114,6926.831,1733.618,3.507,7413.125
2011-06-30,A UN,1611.031,3.135,6977.733,1750.009,3.509,7487.537
2011-07-29,A UN,1624.333,3.167,7013.942,1769.617,3.554,7556.793
2011-08-31,A UN,1623.979,3.155,7028.279,1746.189,3.525,7534.128
2011-09-30,A UN,1620.795,3.162,7019.376,1719.54,3.507,7454.936
2011-10-31,A UN,1604.333,3.134,6983.786,1708.0,3.519,7423.889
2011-11-30,A UN,1645.745,3.204,7009.608,1752.567,3.539,7387.715
2011-12-30,A UN,1652.883,3.227,7043.1,1760.361,3.537,7392.943
2012-01-31,A UN,1664.081,3.255,7072.044,1765.906,3.556,7413.204
2012-02-29,A UN,1673.459,3.277,7068.5,1788.612,3.577,7432.945
2012-03-30,A UN,1685.52,3.305,7112.101,1809.099,3.604,7494.472
2012-04-30,A UN,1694.168,3.333,7142.802,1808.748,3.627,7520.526
2012-05-31,A UN,1702.607,3.402,7196.468,1824.552,3.713,7546.391
2012-06-29,A UN,1760.373,3.511,7314.608,1878.363,3.849,7636.361
2012-07-31,A UN,1803.452,3.591,7450.116,1931.761,3.959,7865.841
2012-08-31,A UN,1706.668,3.361,7166.176,1843.306,3.701,7554.757
2012-09-28,A UN,1702.143,3.381,7173.534,1844.477,3.704,7584.483
2012-10-31,A UN,1692.533,3.352,7160.2,1835.5,3.658,7579.2
2012-11-30,A UN,1648.688,3.071,7135.001,1778.53,3.425,7496.746
2012-12-31,A UN,1683.998,3.099,7166.657,1808.053,3.454,7538.356
2013-01-31,A UN,1707.175,3.146,7204.11,1838.938,3.516,7574.679
2013-02-28,A UN,1644.354,3.054,7146.629,1787.776,3.464,7520.803
2013-03-29,A UN,1658.107,3.084,7167.882,1799.274,3.483,7533.794
2013-04-30,A UN,1663.618,3.112,7183.833,1807.078,3.515,7547.69
2013-05-31,A UN,1602.896,3.025,6965.147,1726.297,3.391,7333.582
