date,ticker,roic,oper_margin,net_margin,ebitda_margin,debt_to_equity,int_coverage,dvd_payout,sales_growth,trail_fcf
2010-01-31,A UN,1.1915,7.7494,6.5128,6.0954,112.0477,4.087,0.0,4.0309,297.0
2010-04-30,A UN,5.1714,12.1164,8.4972,10.0467,109.9544,7.0,0.0,16.4986,389.0
2010-07-31,A UN,6.1147,8.3092,14.8121,12.0755,130.8897,4.7917,0.0,30.9366,435.0
2010-10-31,A UN,8.3128,12.8807,14.7208,14.1073,114.0606,7.5185,0.0,35.0471,592.0
2011-01-31,A UN,11.2131,13.8907,12.7057,15.8087,64.0611,9.1739,0.0,25.2267,669.0
2011-04-30,A UN,12.0532,15.8617,11.9261,17.0403,54.1277,13.3,0.0,31.9434,801.0
2011-07-31,A UN,14.4072,16.6174,19.5151,18.8457,51.619,14.05,0.0,22.1821,947.0
2011-10-31,A UN,15.7933,18.1134,16.7245,20.0151,50.6256,13.6087,0.0,9.6447,1072.0
2012-01-31,A UN,17.7796,16.5749,14.0673,20.5467,48.4774,10.4231,15.2174,7.6366,1094.0
2012-04-30,A UN,17.5182,17.311,14.7144,20.8339,46.0741,12.0,0.0,3.3393,1083.0
2012-07-31,A UN,16.1193,15.6703,14.1033,20.8828,45.434,11.25,14.321,1.8924,1071.0
2012-10-31,A UN,17.4544,15.7329,24.0521,20.7057,45.5545,10.6923,8.1882,2.2569,1034.0
2013-01-31,A UN,16.269,12.9167,10.6548,20.2521,44.1226,8.68,42.648,2.7523,1116.0
2013-04-30,A UN,14.9554,12.2979,9.5843,19.4436,44.3858,8.52,24.6988,-0.0577,1064.0
2013-07-31,A UN,13.748,14.2857,10.1695,19.2505,56.3883,8.7407,24.4048,-4.1207,1035.0
2013-10-31,A UN,10.3063,16.5891,12.2817,19.5075,51.0304,9.5,18.8246,-2.7731,957.0
2014-01-31,A UN,9.398,12.3016,19.3452,20.1637,49.4768,4.2759,36.3273,-40.0,920.0
2014-04-30,A UN,7.6303,9.5142,14.0688,20.8349,47.8415,3.1333,109.89,-42.9561,928.0
2014-07-31,A UN,6.6458,12.9832,14.5689,21.5964,39.2908,4.6786,69.981,-38.9225,730.0
2014-10-31,A UN,4.3031,6.7114,2.2052,19.837,31.3537,3.0435,,-39.2899,506.0
2015-01-31,A UN,3.8715,11.2086,6.1404,18.8392,39.1038,7.1875,36.129,1.7857,305.0
2015-04-30,A UN,4.6372,11.1111,9.0343,18.436,39.7981,6.2941,35.8696,-2.5304,196.0
2015-07-31,A UN,5.4029,14.2012,10.9467,17.8448,40.3069,8.4706,29.2035,0.4955,304.0
2015-10-31,A UN,7.3177,15.0725,13.5266,19.1927,39.6882,9.75,23.6429,-0.767,393.0
2016-01-31,A UN,8.6389,15.0778,11.7704,20.1238,42.8113,8.6111,31.2686,0.1949,518.0
2016-04-30,A UN,8.4714,12.8557,8.9303,20.459,45.3541,7.2778,40.6593,5.8152,584.0
2016-07-31,A UN,8.5009,13.9847,11.8774,20.3102,43.4192,8.5882,29.8387,2.9586,682.0
2016-10-31,A UN,8.5474,16.4716,11.3411,20.4902,44.8422,9.6316,29.5714,7.343,654.0
2017-01-31,A UN,9.2937,19.3065,15.7451,21.245,46.3256,10.3,25.3,3.7938,665.0
2017-04-30,A UN,10.1942,18.2396,14.882,22.2248,46.6971,10.05,26.2195,8.1452,650.0
2017-07-31,A UN,10.5819,18.0431,15.7092,22.9176,45.1312,10.5789,24.0,6.705,665.0
2017-10-31,A UN,10.967,19.5963,14.8865,23.5465,41.5926,11.65,24.0136,7.0207,713.0
2018-01-31,A UN,3.3143,18.91,-26.4244,23.2236,47.3928,11.45,,13.4958,784.0
2018-04-30,A UN,3.5193,17.8275,16.9983,22.9237,45.809,11.3158,23.4146,9.4374,825.0
2018-07-31,A UN,4.0227,18.3707,19.6176,22.957,39.3827,12.2778,20.339,7.9892,804.0
2018-10-31,A UN,4.3156,18.8563,15.0696,22.7717,39.3568,13.5556,24.3749,8.831,910.0
2019-01-31,A UN,16.4126,19.4704,39.2523,22.9196,35.7029,13.8889,10.3476,6.0281,929.0
2019-04-30,A UN,16.0737,17.4475,14.7011,22.8532,35.0829,12.7059,28.5648,2.6534,887.0
2019-07-31,A UN,16.6898,17.6609,14.9922,22.6523,37.8766,12.5,26.7016,5.9019,918.0
2019-10-31,A UN,16.0658,18.2882,14.1917,22.8356,50.695,11.9048,26.1216,5.6414,865.0
2020-01-31,A UN,10.8018,15.8438,14.5173,22.5363,54.7442,10.75,28.3249,5.6854,598.0
2020-04-30,A UN,9.4666,8.2391,8.1583,21.0466,56.1451,5.1,55.0693,0.0,665.0
2020-07-31,A UN,9.9258,18.2395,15.7811,21.8074,50.3513,12.1053,28.1407,-1.0204,735.0
2020-10-31,A UN,9.9154,20.1618,14.9697,22.4761,52.0624,15.7368,24.973,8.4857,802.0
2021-01-31,A UN,11.1135,21.1886,18.6047,23.4901,55.6828,17.2632,19.125,14.0752,1092.0
2021-04-30,A UN,12.6828,18.8852,14.1639,25.3223,64.9272,14.4,27.3037,23.1826,1253.0
2021-07-31,A UN,13.4047,21.1854,16.6456,25.6594,61.5447,16.0,22.3485,25.7732,1268.0
2021-10-31,A UN,15.1829,23.7952,26.6265,26.3966,54.0174,18.8095,13.2991,11.9353,1297.0
2022-01-31,A UN,15.9267,22.4612,16.9056,26.7184,52.9686,17.9048,22.3357,8.1395,1280.0
2022-04-30,A UN,16.1875,22.402,17.0504,27.5624,56.7161,17.1429,22.9161,5.377,1077.0
2022-07-31,A UN,16.7896,23.9232,19.1502,28.0823,60.3614,21.6316,18.845,8.3228,1022.0
2022-10-31,A UN,16.0877,25.4732,19.9027,28.2564,55.0613,20.4783,18.0978,11.3855,1021.0
2023-01-31,A UN,16.4905,24.2597,20.0456,28.4271,52.9684,17.04,18.9205,4.8984,1061.0
2023-04-30,A UN,16.5659,22.3063,17.5888,28.1534,47.2756,15.9583,21.8543,6.8451,1164.0
2023-07-31,A UN,13.6896,7.9545,6.6388,24.2351,53.3825,5.5417,59.5946,-2.6775,1420.0
2023-10-31,A UN,14.3815,24.1706,28.1398,23.7231,49.5979,18.5455,14.5078,-8.7074,1474.0
2024-01-31,A UN,13.6712,23.1604,20.9891,23.3705,41.2896,17.4545,19.8701,-5.5809,1649.0
2024-04-30,A UN,13.5069,23.0769,19.5804,23.4562,41.1329,18.15,22.4026,-8.3867,1538.0
2024-07-31,A UN,15.1414,21.1027,17.8707,26.7508,52.7867,15.1364,24.2695,-5.622,1417.0
2024-10-31,A UN,13.5753,23.9859,20.6349,26.8049,60.5968,12.75,19.2296,0.7701,1373.0
2025-01-31,A UN,13.5074,22.3676,18.9173,26.7412,55.7989,13.4286,22.2264,1.3872,1312.0
2025-04-30,A UN,12.7034,17.9856,12.8897,25.5582,56.9589,10.3448,32.5581,6.0394,1189.0
2025-07-31,A UN,12.8167,20.7135,19.3326,25.4862,56.4207,12.8571,20.9619,10.1394,1088.0
2025-10-31,A UN,13.0426,23.8044,23.3208,25.4318,52.559,16.4074,16.1714,9.4062,1152.0
2026-01-31,A UN,12.7756,19.6329,16.9633,24.6143,48.5524,14.12,23.6607,6.9601,993.0
2026-04-30,A UN,13.286,21.7439,18.4741,25.3319,47.1076,15.96,21.2389,10.012,1087.0
2010-03-27,AAPL UW,31.4434,29.4763,22.7721,30.9645,0.0,,0.0,48.6019,12136.0
2010-06-26,AAPL UW,34.619,26.9682,20.7197,30.6942,0.0,,0.0,61.2903,14318.0
2010-09-25,AAPL UW,36.03,26.7758,21.1768,29.7616,0.0,,0.0,66.6503,16590.0
2010-12-25,AAPL UW,35.1356,29.2697,22.4524,29.7065,0.0,,0.0,70.5095,19744.0
2011-03-26,AAPL UW,36.8212,31.9212,24.2713,30.616,0.0,,0.0,82.7321,23283.0
2011-06-25,AAPL UW,41.0421,32.827,25.5784,32.0239,0.0,,0.0,81.9809,29408.0
2011-09-24,AAPL UW,43.5022,30.81,23.4277,32.8908,0.0,,0.0,38.9667,33269.0
2011-12-31,AAPL UW,44.285,37.4247,28.1959,35.577,0.0,,0.0,73.2658,40943.0
2012-03-31,AAPL UW,45.9421,39.2589,29.6586,37.4389,0.0,,0.0,58.86,47868.0
2012-06-30,AAPL UW,43.0999,33.044,25.1949,37.5279,0.0,,,22.5823,45670.0
2012-09-29,AAPL UW,45.7435,30.4287,22.8633,37.3898,0.0,,30.2397,27.2232,42561.0
2012-12-29,AAPL UW,37.0254,31.571,23.991,35.9804,0.0,,19.0253,17.6526,47437.0
2013-03-30,AAPL UW,32.2696,28.8008,21.8953,33.9324,0.0,,26.0817,11.2719,45413.0
2013-06-29,AAPL UW,29.0164,26.0482,19.534,32.9792,13.7474,173.6038,40.6056,0.8566,43223.0
