date,ticker,revenue,oper_inc,net_income,ebitda,eps,tot_asset,tot_liab,fcf,cfo,roe,nd_to_ebitda,gross_margin
2010-01-31,A UN,1213.0,94.0,79.0,133.0,0.23,7574.0,4976.0,5.0,30.0,-0.62,1.5145,54.4106
2010-04-30,A UN,1271.0,154.0,108.0,190.0,0.31,7767.0,5135.0,195.0,224.0,7.6542,0.5011,55.9402
2010-07-31,A UN,1384.0,115.0,205.0,175.0,0.59,9100.0,6290.0,57.0,90.0,15.7626,2.2385,52.3844
2010-10-31,A UN,1576.0,203.0,232.0,270.0,0.67,9696.0,6460.0,335.0,367.0,21.7649,1.3568,52.9188
2011-01-31,A UN,1519.0,211.0,193.0,274.0,0.56,8044.0,4705.0,82.0,120.0,24.924,-0.5677,53.7196
2011-04-30,A UN,1677.0,266.0,200.0,330.0,0.58,8649.0,4688.0,327.0,378.0,25.2395,-0.7922,53.6673
2011-07-31,A UN,1691.0,281.0,330.0,344.0,0.95,8753.0,4553.0,203.0,252.0,27.3091,-0.766,52.7499
2011-10-31,A UN,1728.0,313.0,289.0,376.0,0.83,9057.0,4741.0,460.0,510.0,26.8577,-1.0136,53.2986
2012-01-31,A UN,1635.0,271.0,230.0,333.0,0.66,9099.0,4600.0,104.0,150.0,26.8012,-1.0709,53.4557
2012-04-30,A UN,1733.0,300.0,255.0,361.0,0.73,9413.0,4688.0,316.0,353.0,25.4524,-1.2157,52.9717
2012-07-31,A UN,1723.0,270.0,243.0,354.0,0.7,9757.0,4884.0,191.0,240.0,22.4454,0.2044,51.6541
2012-10-31,A UN,1767.0,278.0,425.0,372.0,1.22,10536.0,5351.0,423.0,485.0,24.2993,0.0077,52.1788
2013-01-31,A UN,1680.0,217.0,179.0,311.0,0.52,10653.0,5302.0,186.0,245.0,22.3893,-0.0637,52.381
2013-04-30,A UN,1732.0,213.0,166.0,305.0,0.48,10587.0,5279.0,264.0,315.0,20.2054,-0.1215,51.4434
2013-07-31,A UN,1652.0,236.0,168.0,327.0,0.5,10278.0,5488.0,162.0,215.0,19.4263,0.2821,51.816
2013-10-31,A UN,1718.0,285.0,211.0,380.0,0.64,10686.0,5397.0,345.0,377.0,13.8326,0.0181,52.8522
2014-01-31,A UN,1008.0,124.0,195.0,220.0,0.59,10638.0,5191.0,149.0,194.0,13.7139,-0.0381,50.5952
2014-04-30,A UN,988.0,94.0,139.0,191.0,0.42,11026.0,5397.0,272.0,325.0,13.0455,-0.2299,49.0891
2014-07-31,A UN,1009.0,131.0,147.0,229.0,0.44,10380.0,4740.0,-36.0,28.0,13.2771,-0.1716,49.7522
2014-10-31,A UN,1043.0,70.0,23.0,163.0,0.07,10815.0,5511.0,121.0,164.0,9.5211,-0.6912,45.9252
2015-01-31,A UN,1026.0,115.0,63.0,183.0,0.19,7519.0,3279.0,-52.0,-20.0,7.6852,-0.6005,50.0
2015-04-30,A UN,963.0,107.0,87.0,170.0,0.26,7412.0,3251.0,163.0,183.0,6.5413,-0.7262,49.8442
2015-07-31,A UN,1014.0,144.0,111.0,206.0,0.33,7251.0,3145.0,72.0,91.0,5.8316,-0.5817,50.5917
2015-10-31,A UN,1035.0,156.0,140.0,216.0,0.42,7479.0,3309.0,210.0,237.0,8.4706,-0.449,51.6908
2016-01-31,A UN,1028.0,155.0,121.0,221.0,0.37,7302.0,3254.0,73.0,111.0,11.0843,-0.2435,52.2374
2016-04-30,A UN,1019.0,131.0,91.0,195.0,0.28,7640.0,3475.0,229.0,254.0,11.1298,-0.2983,52.0118
