asof,ticker,rtg_sp,rtg_moody,rtg_fitch,gics_sector,gics_ind_grp,gics_industry,gics_sub_ind,inst_pct,free_float_pct,float_shares,next_earnings_dt,crncy
2026-06-18,A UN,BBB+,Baa1,BBB+,Health Care,"Pharmaceuticals, Biotechnology",Life Sciences Tools & Services,Life Sciences Tools & Services,105.54312468705007,99.71898,281.6382,2026-08-27,USD
2026-06-18,AAPL UW,AA+,Aaa,,Information Technology,Technology Hardware & Equipmen,"Technology Hardware, Storage &","Technology Hardware, Storage &",77.11120577585943,97.99869,14393.42,2026-07-31,USD
2026-06-18,ABBV UN,A-,A2,,Health Care,"Pharmaceuticals, Biotechnology",Biotechnology,Biotechnology,86.60708301001105,99.9051,1765.116,2026-07-31,USD
2026-06-18,ABNB UW,A-,Baa1,,Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure","Hotels, Resorts & Cruise Lines",94.71636606911751,96.17081,401.9269,2026-08-06,USD
2026-06-18,ABT UN,A+,Aa3,WD,Health Care,Health Care Equipment & Servic,Health Care Equipment & Suppli,Health Care Equipment,92.00247125564711,98.37403,1713.491,2026-07-17,USD
2026-06-18,ACGL UW,A,A3,A,Financials,Insurance,Insurance,Property & Casualty Insurance,112.97577973543025,96.28079,336.3951,2026-07-29,USD
2026-06-18,ACN UN,AA-,Aa3,WD,Information Technology,Software & Services,IT Services,IT Consulting & Other Services,93.94668461342039,99.96403,613.7184,2026-06-18,USD
2026-06-18,ADBE UW,A+,A1,,Information Technology,Software & Services,Software,Application Software,96.05954846543355,99.81293,396.7564,2026-09-11,USD
2026-06-18,ADI UW,A,A2,A,Information Technology,Semiconductors & Semiconductor,Semiconductors & Semiconductor,Semiconductors,103.02360905691556,99.74606,485.8502,2026-08-20,USD
2026-06-18,ADM UN,A,A2,A,Consumer Staples,"Food, Beverage & Tobacco",Food Products,Agricultural Products & Servic,98.20061124979908,99.25594,478.3705,2026-08-05,USD
2026-06-18,ADP UW,AA-,Aa3,AA-,Industrials,Commercial & Professional Serv,Professional Services,Human Resource & Employment Se,99.50570672628005,99.57098,398.0193,2026-07-30,USD
2026-06-18,ADSK UW,BBB+,A3,,Information Technology,Software & Services,Software,Application Software,106.76630936458,99.72691,210.4238,2026-08-28,USD
2026-06-18,AEE UN,BBB+,Baa1,WD,Utilities,Utilities,Multi-Utilities,Multi-Utilities,98.36840596620634,99.51527,275.3588,2026-07-31,USD
2026-06-18,AEP UW,BBB+,Baa2,BBB,Utilities,Utilities,Electric Utilities,Electric Utilities,89.90531488201589,99.47241,564.6534,2026-07-30,USD
2026-06-18,AES UN,BBB-,Baa3,BBB-,Utilities,Utilities,Independent Power and Renewabl,Independent Power Producers &,109.45520353079694,93.5603,667.2325,2026-07-31,USD
2026-06-18,AFL UN,A-,A3,WD,Financials,Insurance,Insurance,Life & Health Insurance,77.94949902597149,99.2956,505.3996,2026-08-06,USD
2026-06-18,AIG UN,A-,Baa1,A,Financials,Insurance,Insurance,Property & Casualty Insurance,113.19899222112323,99.53941,527.7642,2026-08-06,USD
2026-06-18,AIZ UN,BBB,Baa2,WD,Financials,Insurance,Insurance,Property & Casualty Insurance,111.25130807395468,99.13568,49.11939,2026-08-05,USD
2026-06-18,AJG UN,BBB+,Baa2,BBB+,Financials,Insurance,Insurance,Insurance Brokers,111.91099569123392,99.00551,254.3451,2026-07-31,USD
2026-06-18,AKAM UW,BBB-,Baa2,,Information Technology,Software & Services,IT Services,Internet Services & Infrastruc,125.11157771958412,97.83071,142.2316,2026-08-07,USD
2026-06-18,ALB UN,BBB-,Baa3,BBB-,Materials,Materials,Chemicals,Specialty Chemicals,112.43966245283872,99.65145,117.5236,2026-07-30,USD
2026-06-18,ALGN UW,,,,Health Care,Health Care Equipment & Servic,Health Care Equipment & Suppli,Health Care Supplies,105.6343849992788,99.22058,71.05992,2026-07-29,USD
2026-06-18,ALL UN,BBB+,A3,BBB+u,Financials,Insurance,Insurance,Property & Casualty Insurance,95.77045200319996,98.28134,252.9967,2026-08-05,USD
2026-06-18,ALLE UN,BBB,Baa2,BBB,Industrials,Capital Goods,Building Products,Building Products,121.13966941971026,98.69771,84.81673,2026-07-24,USD
2026-06-18,AMAT UW,A,A2,,Information Technology,Semiconductors & Semiconductor,Semiconductors & Semiconductor,Semiconductor Materials & Equi,93.81247845949093,99.63066,791.027,2026-08-13,USD
2026-06-18,AMCR UN,BBB,Baa2,BBB+,Materials,Materials,Containers & Packaging,Paper & Plastic Packaging Prod,84.04398563361944,99.7265,461.0812,2026-08-14,USD
2026-06-18,AMD UW,A,A1,NR,Information Technology,Semiconductors & Semiconductor,Semiconductors & Semiconductor,Semiconductors,78.56673843319479,99.61939,1624.394,2026-08-05,USD
2026-06-18,AME UN,BBB+,A3,NR,Industrials,Capital Goods,Electrical Equipment,Electrical Components & Equipm,103.2847849782611,99.55513,228.1833,2026-07-31,USD
2026-06-18,AMGN UW,BBB+,Baa1,BBB+,Health Care,"Pharmaceuticals, Biotechnology",Biotechnology,Biotechnology,98.21751209230192,99.79456,538.5995,2026-08-05,USD
2026-06-18,AMP UN,A-,A3,A-,Financials,Financial Services,Capital Markets,Asset Management & Custody Ban,101.8946794634901,99.74714,90.46035,2026-07-24,USD
2026-06-18,AMT UN,BBB+,Baa2,BBB+,Real Estate,Equity Real Estate Investment,Specialized REITs,Telecom Tower REITs,107.45611316010068,99.79424,464.9344,2026-07-29,USD
2026-06-18,AMZN UW,AA,A1,AA-,Consumer Discretionary,Consumer Discretionary Distrib,Broadline Retail,Broadline Retail,76.24708264036603,91.75665,9870.363,2026-07-31,USD
2026-06-18,ANET UN,,,,Information Technology,Technology Hardware & Equipmen,Communications Equipment,Communications Equipment,82.19063094138998,82.96541,1044.703,2026-08-05,USD
2026-06-18,AON UN,A-,(P)Baa2,BBB+,Financials,Insurance,Insurance,Insurance Brokers,106.63862962415378,96.83992,206.8277,2026-07-24,USD
2026-06-18,AOS UN,,,,Industrials,Capital Goods,Building Products,Building Products,121.80056555529066,99.21019,111.0811,2026-07-24,USD
