date,ticker,px_to_book,ev_to_ebitda,px_to_sales,pe,peg
2010-01-29,A UN,3.7662,36.9701,2.1407,44.1108,
2010-02-26,A UN,4.2271,41.3052,2.4027,49.5085,
2010-03-31,A UN,4.6207,44.923,2.6264,54.1195,
2010-04-30,A UN,4.8089,27.2067,2.6712,37.0035,
2010-05-31,A UN,4.2916,24.3361,2.3839,33.0235,
2010-06-30,A UN,3.7704,21.4385,2.0944,29.0129,
2010-07-30,A UN,3.4489,18.2408,1.9263,14.3395,
2010-08-31,A UN,3.3303,17.6912,1.8601,13.8466,
2010-09-30,A UN,4.1206,21.2621,2.3015,17.1324,
2010-10-29,A UN,3.7301,17.0621,2.2192,14.8042,
2010-11-30,A UN,3.7537,17.1613,2.2332,14.8978,
2010-12-31,A UN,4.4408,20.1188,2.642,17.6246,
2011-01-31,A UN,4.3311,15.436,2.524,16.1907,
2011-02-28,A UN,4.357,15.5316,2.539,16.2875,
2011-03-31,A UN,4.6366,16.4418,2.702,17.3326,
2011-04-29,A UN,4.3938,15.6359,2.8112,17.5807,
2011-05-31,A UN,4.3903,15.6227,2.809,17.5666,
2011-06-30,A UN,4.4994,16.1731,2.8788,18.0034,
2011-07-29,A UN,3.4899,11.2878,2.2637,15.9199,
2011-08-31,A UN,3.052,9.7762,1.9797,13.9224,
2011-09-30,A UN,2.5868,8.149,1.6779,11.8002,
2011-10-31,A UN,2.9859,8.7139,1.946,13.3521,
2011-11-30,A UN,3.0205,8.8267,1.9686,13.507,
2011-12-30,A UN,2.8135,8.1767,1.8337,12.5813,
2012-01-31,A UN,3.2873,9.6217,2.1925,14.4499,
2012-02-29,A UN,3.3763,9.9112,2.2519,14.8412,
2012-03-30,A UN,3.4452,10.1192,2.2979,15.144,
2012-04-30,A UN,3.1086,9.1562,2.1612,13.8531,
2012-05-31,A UN,2.9965,8.7825,2.0833,13.3539,
2012-06-29,A UN,2.8919,8.4299,2.0105,12.8876,
2012-07-31,A UN,2.744,9.5504,1.9527,13.1807,
2012-08-31,A UN,2.663,9.2747,1.895,12.7917,
2012-09-28,A UN,2.7555,9.6149,1.9608,13.2357,
2012-10-31,A UN,2.403,8.8412,1.8263,14.6296,
2012-11-30,A UN,2.5566,9.3397,1.943,15.5645,
2012-12-31,A UN,2.7335,10.0412,2.0774,16.6417,
