date,ticker,short_interest,short_int_ratio
2015-01-15,A UN,2989543.0,1.18
2015-01-30,A UN,2280102.0,0.821
2015-02-13,A UN,2412979.0,0.988
2015-02-27,A UN,2497250.0,0.802
2015-03-13,A UN,2727372.0,1.322
2015-03-31,A UN,2418557.0,1.198
2015-04-15,A UN,2956868.0,1.24
2015-04-30,A UN,2636048.0,1.238
2015-05-15,A UN,2888768.0,1.786
2015-05-29,A UN,3227527.0,1.104
2015-06-15,A UN,3270070.0,1.424
2015-06-30,A UN,2754935.0,0.899
2015-07-15,A UN,3116513.0,1.178
2015-07-31,A UN,2810287.0,1.214
2015-08-14,A UN,2758966.0,1.38
2015-08-31,A UN,3305141.0,1.001
2015-09-15,A UN,4500745.0,2.169
2015-09-30,A UN,4544952.0,1.897
2015-10-15,A UN,6825514.0,2.913
2015-10-30,A UN,6412775.0,2.591
2015-11-13,A UN,5442554.0,2.258
2015-11-30,A UN,5972228.0,1.181
2015-12-15,A UN,5960314.0,1.645
2015-12-31,A UN,6455077.0,3.654
2016-01-15,A UN,5976545.0,1.984
2016-01-29,A UN,4486058.0,1.959
2016-02-12,A UN,5012146.0,1.593
2016-02-29,A UN,4702556.0,2.14
2016-03-15,A UN,4444362.0,2.686
2016-03-31,A UN,3304645.0,1.921
2016-04-15,A UN,3270577.0,1.885
2016-04-29,A UN,3173646.0,2.031
2016-05-13,A UN,3403073.0,1.809
2016-05-31,A UN,3327562.0,1.054
2016-06-15,A UN,3274407.0,1.881
2016-06-30,A UN,3551704.0,1.189
2016-07-15,A UN,3419127.0,2.012
2016-07-29,A UN,3054170.0,1.723
2016-08-15,A UN,2847373.0,1.961
2016-08-31,A UN,3574903.0,1.468
2016-09-15,A UN,3691786.0,2.084
2016-09-30,A UN,4792076.0,2.492
2016-10-14,A UN,5419155.0,3.245
2016-10-31,A UN,5011958.0,2.681
2016-11-15,A UN,5219858.0,1.953
2016-11-30,A UN,4131881.0,1.732
2016-12-15,A UN,4446767.0,2.31
2016-12-30,A UN,3828940.0,2.966
2017-01-13,A UN,4419094.0,1.763
2017-01-31,A UN,5375967.0,2.619
2017-02-15,A UN,6019896.0,2.596
2017-02-28,A UN,5321377.0,3.119
2017-03-15,A UN,4727165.0,2.475
2017-03-31,A UN,5058877.0,3.054
2017-04-13,A UN,4936926.0,3.47
2017-04-28,A UN,4713603.0,2.411
2017-05-15,A UN,4789859.0,2.745
2017-05-31,A UN,4221665.0,1.461
2017-06-15,A UN,3554060.0,1.856
2017-06-30,A UN,3115033.0,1.579
2017-07-14,A UN,2687096.0,1.586
2017-07-31,A UN,2628609.0,1.694
2017-08-15,A UN,2711441.0,1.691
2017-08-31,A UN,3551618.0,1.653
2017-09-15,A UN,3601536.0,2.493
2017-09-29,A UN,2227391.0,1.628
2017-10-13,A UN,2390638.0,1.872
2017-10-31,A UN,1950049.0,1.333
2017-11-15,A UN,2570351.0,1.704
2017-11-30,A UN,3957709.0,1.559
2017-12-15,A UN,4257746.0,1.879
2017-12-29,A UN,4197300.0,3.401
2018-01-12,A UN,5137321.0,2.751
2018-01-31,A UN,5357450.0,2.952
2018-02-15,A UN,5464884.0,1.66
2018-02-28,A UN,4135308.0,1.239
2018-03-15,A UN,5674998.0,2.486
2018-03-29,A UN,3747082.0,1.587
2018-04-13,A UN,4587637.0,1.729
2018-04-30,A UN,4853569.0,1.876
2018-05-15,A UN,4181963.0,1.288
2018-05-31,A UN,4484922.0,1.316
2018-06-15,A UN,4751959.0,1.564
2018-06-29,A UN,5015042.0,1.583
2018-07-13,A UN,5108038.0,3.099
2018-07-31,A UN,5255310.0,2.729
2018-08-15,A UN,4686717.0,1.704
2018-08-31,A UN,4233272.0,1.948
2018-09-14,A UN,4281663.0,2.564
2018-09-28,A UN,3538270.0,1.697
2018-10-15,A UN,5266314.0,1.911
2018-10-31,A UN,5193980.0,1.792
2018-11-15,A UN,4343674.0,1.57
2018-11-30,A UN,4348710.0,1.36
2018-12-14,A UN,4621809.0,1.569
2018-12-31,A UN,4570966.0,1.908
2019-01-15,A UN,4469913.0,1.851
2019-01-31,A UN,4163690.0,2.284
2019-02-15,A UN,3980340.0,2.481
2019-02-28,A UN,4234902.0,1.852
2019-03-15,A UN,4366727.0,2.551
2019-03-29,A UN,4022177.0,2.877
2019-04-15,A UN,3687978.0,2.614
2019-04-30,A UN,3240487.0,1.23
2019-05-15,A UN,4636334.0,1.495
2019-05-31,A UN,4945756.0,1.261
2019-06-14,A UN,3907231.0,1.815
2019-06-28,A UN,4130628.0,2.129
