ticker,name,window,ohlcv_rows,voliv_rows,liq_rows,dropped,status
0289640Q UN,GENENTECH INC-SPECIAL COMMON,1990-01-01..1990-07-01,126,126,126,0,ok
1323Q US,NORTON COMPANY,1990-01-01..1990-07-01,126,126,126,0,ok
1691Q UN,PHILIP INDUSTRIES INC,1990-01-01..1990-10-01,163,189,163,0,ok
2246800Q UN,PRIME HOSPITALITY CORP,1990-01-01..1990-10-01,190,190,190,0,ok
SVFI US,SOVRAN FINANCIAL CORP,1990-01-01..1990-10-01,152,156,0,0,ok
2683Q US,WILLIS CORROON GROUP-SP ADR,1990-01-01..1991-01-01,227,218,29,0,ok
FBNIQ US,FURNITURE BRANDS INTL INC,1990-01-01..1991-01-01,215,220,187,0,ok
LCE UN,LONE STAR INDUSTRIES INC,1990-01-01..1991-01-01,253,253,253,0,ok
MCAI US,UNIVERSAL STUDIOS INC,1990-01-01..1991-01-01,238,224,0,0,ok
NKE US,NIKE INC -CL B,1990-01-01..1991-01-01,253,253,253,0,ok
923022Q US,BROADWAY STORES INC,1990-01-01..1991-04-01,315,315,315,0,ok
KATE US,KATE SPADE & CO LLC,1990-01-01..1991-04-01,315,315,315,0,ok
PNAA US,PAN AM CORP,1990-01-01..1991-04-01,234,219,0,0,ok
3123863Q UN,SCHNEIDER ELECTRIC USA INC,1990-01-01..1991-07-01,355,378,355,0,ok
643319Q UN,TONKA CORP,1990-01-01..1991-07-01,379,379,379,0,ok
8384662Q US,CATTLESALE CO/THE,1990-01-01..1991-07-01,379,379,379,0,ok
BF/B UA,BROWN-FORMAN CORP-CLASS B,1990-01-01..1991-07-01,341,378,342,0,ok
MRO US,MARATHON OIL CORP,1990-01-01..1991-07-01,379,379,379,0,ok
PRSU US,PURSUIT ATTRACTIONS AND HOSP,1990-01-01..1991-07-01,379,379,379,0,ok
UH UN,U S HOME CORP,1990-01-01..1991-07-01,379,379,379,0,ok
1028411Q US,GILLETTE COMPANY,1990-01-01..1991-10-01,443,443,443,0,ok
1503Q UN,NCR CORP-OLD,1990-01-01..1991-10-01,435,442,435,0,ok
1708Q US,CROSS & TRECKER CORP,1990-01-01..1992-01-01,465,506,465,0,ok
HBJ UN,HARCOURT BRACE JOVANOVICH IN,1990-01-01..1992-01-01,482,506,482,0,ok
TRV US,TRAVELERS COS INC/THE,1990-01-01..1992-01-01,506,506,506,0,ok
0848680D US,SPRINT COMMUNICATIONS LLC,1990-01-01..1992-04-01,570,570,571,0,ok
2390302D UN,USG CORP,1990-01-01..1992-04-01,570,570,570,0,ok
292356Z US,MANUFACTURERS HANOVER CORP,1990-01-01..1992-04-01,496,544,0,0,ok
601964Q US,C & S SOVRAN CORP,1990-07-01..1992-04-01,321,369,0,0,ok
1789494D US,NIELSEN AUDIO INC,1990-01-01..1992-07-01,633,633,633,0,ok
AZA UA,ALZA CORP,1990-10-01..1992-07-01,420,443,458,0,ok
BAC1 US,SECURITY PACIFIC CORP,1990-01-01..1992-07-01,583,632,583,0,ok
FBF US,FLEETBOSTON FINANCIAL CORP,1990-01-01..1992-07-01,631,633,633,2,ok
2056Q UN,ACME-CLEVELAND CORP,1990-01-01..1992-10-01,695,696,697,0,ok
BNSSA US,BNS HOLDING INC-CL A,1990-01-01..1992-10-01,697,697,718,0,ok
GWOW UN,GENESIS WORLDWIDE INC,1990-01-01..1992-10-01,692,697,697,0,ok
WAN/B UA,WANG LABORATORIES  -CL B,1990-01-01..1992-10-01,696,697,697,0,ok
1684442D UA,PALL CORP,1990-01-01..1993-01-01,697,760,760,0,ok
WETT US,SUPERVALU HOLDINGS INC,1990-01-01..1993-01-01,715,760,717,0,ok
739306Q US,HARCOURT GENERAL INC,1990-01-01..1993-04-01,821,823,849,2,ok
2292198Q UN,GALEN HEALTH CARE INC,1993-01-01..1993-10-01,124,130,95,0,ok
BCO US,BRINK'S CO/THE,1990-01-01..1993-10-01,950,950,950,0,ok
IK UN,INTERLAKE CORP,1990-01-01..1993-10-01,948,950,950,0,ok
WLBAQ US,WESTMORELAND COAL CO,1990-01-01..1993-10-01,948,950,950,1,ok
1166Q US,AMAX INC,1990-01-01..1994-01-01,982,1012,984,0,ok
1539547D UN,QUANTUM CHEMICAL CORP,1990-01-01..1994-01-01,947,1012,949,0,ok
1671Q UN,PARAMOUNT COMMUNICATIONS INC,1990-01-01..1994-01-01,1012,1013,1013,0,ok
2340361Q UN,TRAVELERS CORP,1990-01-01..1994-01-01,1012,1013,1013,0,ok
2603Q US,PRICE CO/THE,1990-01-01..1994-01-01,963,1012,964,1,ok
263179Q US,CORESTATES FINANCIAL CORP,1990-10-01..1994-01-01,824,824,824,0,ok
HST US,HOST HOTELS & RESORTS INC,1990-01-01..1994-01-01,1013,1013,1013,0,ok
JWPI UN,JWP INC,1990-07-01..1994-01-01,827,886,887,0,ok
3691661Q UN,LITTON INDUSTRIES INC,1990-01-01..1994-04-01,1074,1076,1076,0,ok
CNA UN,CNA FINANCIAL CORP,1990-01-01..1994-04-01,1075,1077,1076,0,ok
MKG US,MALLINCKRODT INC,1990-01-01..1994-04-01,1076,1076,1076,0,ok
NEU UN,NEWMARKET CORP,1990-01-01..1994-04-01,1073,1077,1076,0,ok
NL UN,NLI HOLDINGS INC,1990-01-01..1994-04-01,1075,1076,1076,0,ok
1618Q US,COMMONWEALTH GENERAL CORP,1990-01-01..1994-07-01,1139,1139,1139,0,ok
1953Q UN,SYNTEX CORP,1990-01-01..1994-07-01,1138,1139,1139,0,ok
FJCC US,FC LIQUIDATING INC,1990-01-01..1994-07-01,1139,1139,1174,0,ok
GQ UN,GRUMMAN CORP,1990-01-01..1994-07-01,1085,1138,1086,0,ok
NAE US,CENTERPOINT ENERGY RESOURCES,1990-01-01..1994-07-01,1139,1139,1139,0,ok
1199Q US,PCS HOLDING CORP,1990-01-01..1994-10-01,1202,1202,1202,0,ok
1856Q UN,WYETH HOLDINGS LLC,1990-01-01..1994-10-01,1200,1202,1202,0,ok
2254Q UN,GERBER PRODUCTS CO,1990-01-01..1994-10-01,1175,1201,1176,0,ok
54279Q UN,BLOCKBUSTER ENMNT CORP,1991-01-01..1994-10-01,947,948,948,0,ok
AVATQ US,AVATEX CORP-CL A,1990-01-01..1994-10-01,1202,1202,1202,0,ok
MCAWA US,MCCAW CELLULAR COMMUNICATION,1993-07-01..1994-10-01,311,316,314,0,ok
UALAQ UN,UAL CORP-OLD,1990-01-01..1994-10-01,1197,1202,1202,0,ok
1719Q UN,PSI RESOURCES INC,1990-01-01..1995-01-01,1217,1264,1218,0,ok
2245Q UN,BORDEN INC,1990-01-01..1995-01-01,1263,1265,1265,0,ok
GCO UN,GENESCO INC,1990-01-01..1995-01-01,1264,1269,1265,0,ok
JWN US,NORDSTROM INC,1990-01-01..1995-01-01,1265,1265,1265,0,ok
TAP US,MOLSON COORS BEVERAGE CO - B,1990-01-01..1995-01-01,1265,1265,1265,0,ok
0598884D US,MCI COMMUNICATIONS,1990-01-01..1995-04-01,1327,1328,1328,1,ok
1237Q UN,PET INC,1991-04-01..1995-04-01,1012,998,984,0,ok
1270Q US,BRUNO'S INC/OLD,1991-04-01..1995-04-01,1014,1014,1014,0,ok
1291Q US,TRANSCO ENERGY CO,1991-04-01..1995-04-01,1014,1014,1014,0,ok
1377Q UN,MARTIN MARIETTA CORP,1990-01-01..1995-04-01,1315,1327,1316,0,ok
1624Q US,LOTUS DEVELOPMENT CORP,1990-01-01..1995-04-01,1327,1328,1328,1,ok
1712414D UN,LOCKHEED CORP,1990-01-01..1995-04-01,1315,1327,1316,0,ok
2206Q US,ALCATEL-LUCENT HOLDINGS INC,1990-01-01..1995-04-01,1328,1328,1328,0,ok
304024Q US,SPRINGS INDUSTRIES INC-CL A,1990-01-01..1995-04-01,1328,1328,1370,0,ok
3277Q US,J.P. MORGAN & COMPANY-OLD,1990-01-01..1995-04-01,1328,1328,1328,0,ok
8375930Q UN,CONOCOPHILLIPS CO,1990-01-01..1995-04-01,1327,1328,1328,0,ok
FWLT UN,FOSTER WHEELER AG,1990-01-01..1995-04-01,1327,1333,1328,0,ok
GIDL US,GIDDINGS & LEWIS INC,1992-07-01..1995-04-01,696,696,696,0,ok
MXS UN,MAXUS ENERGY CORP,1990-01-01..1995-04-01,1327,1328,1328,0,ok
NEC UN,NATIONAL EDUCATION CORP,1990-01-01..1995-04-01,1327,1328,1328,0,ok
TCOMA US,COMCAST CABLE HOLDINGS LLC-A,1990-01-01..1995-04-01,1328,1328,1328,0,ok
USB US,US BANCORP,1990-10-01..1995-04-01,1139,1139,1139,0,ok
USHC US,U S HEALTHCARE INC,1994-04-01..1995-04-01,252,252,252,0,ok
WOR US,WORTHINGTON ENTERPRISES INC,1990-01-01..1995-04-01,1328,1328,1328,0,ok
2650Q UN,RAYTHEON E-SYSTEMS INC,1990-01-01..1995-07-01,1352,1390,1353,0,ok
CINL UN,CONTINENTAL CORP,1990-01-01..1995-07-01,1354,1390,1355,0,ok
CKL UN,DOOSAN BOBCAT NORTH AMERICA,1990-01-01..1995-07-01,1365,1390,1366,0,ok
GOSHA UQ,OSHKOSH B'GOSH INC,1990-01-01..1995-07-01,1391,1391,1425,0,ok
HTMXQ UN,XMH CORP 1,1990-01-01..1995-07-01,1390,1391,1391,0,ok
SKLNQ UN,SAFETY-KLEEN CORP,1990-01-01..1995-07-01,1390,1391,1391,0,ok
1270Q UQ,BRUNO'S INC/OLD,1995-01-01..1995-10-01,160,177,160,0,ok
1456Q UN,M/A-COM RFID INC,1990-01-01..1995-10-01,1390,1453,1391,0,ok
1624Q UQ,LOTUS DEVELOPMENT CORP,1995-01-01..1995-10-01,128,117,151,0,ok
2576Q UN,SANTA FE PACIFIC CORP,1990-01-01..1995-10-01,1445,1453,1448,0,ok
HET US,CAESARS ENTERTAINMENT CORP,1995-01-01..1995-10-01,189,190,189,0,ok
SKY UN,CHAMPION HOMES INC,1990-01-01..1995-10-01,1453,1454,1454,0,ok
SPXC UN,SPX TECHNOLOGIES INC,1990-01-01..1995-10-01,1453,1463,1454,0,ok
1297Q UN,CBS BROADCASTING INC,1990-01-01..1996-01-01,1492,1517,1493,0,ok
1455Q UN,SHAWMUT NATIONAL CORP,1990-01-01..1996-01-01,1496,1517,1497,0,ok
1530Q UN,KIMBERLY-CLARK TISSUE CO,1990-01-01..1996-01-01,1503,1517,1505,0,ok
204923Q US,CALIBER SYSTEM INC,1990-01-01..1996-01-01,1517,1517,1517,0,ok
210811Q UN,FIRST MISSISSIPPI CORP,1990-01-01..1996-01-01,1516,1517,1517,0,ok
2288005Q US,PIONEER HI-BRED INTL INC,1993-10-01..1996-01-01,568,568,568,0,ok
279776Q UN,FIRST CHICAGO CORP,1990-01-01..1996-01-01,1496,1517,1497,0,ok
BSET UQ,BASSETT FURNITURE INDS,1990-01-01..1996-01-01,1517,1517,1517,0,ok
MRNKQ US,MORRISON KNUDSEN CORP-OLD,1990-04-01..1996-01-01,1454,1454,1454,0,ok
UPJ UN,UPJOHN CO,1990-01-01..1996-01-01,1477,1517,1478,0,ok
ZETHQ US,ZENITH ELECTRONICS CORP,1990-01-01..1996-01-01,1517,1517,1517,0,ok
ZRN UN,ZURN INDUSTRIES INC,1990-01-01..1996-01-01,1516,1517,1517,0,ok
1423Q UN,CAPITAL CITIES/ABC INC,1990-01-01..1996-04-01,1545,1580,1546,0,ok
2987Q UN,CRAY RESEARCH,1990-01-01..1996-04-01,1580,1581,1581,0,ok
BCO UN,BRINK'S CO/THE,1993-07-01..1996-04-01,679,665,696,0,ok
FBO UN,FEDERAL PAPER BOARD CO,1990-01-01..1996-04-01,1566,1580,1567,0,ok
FFB UN,FIRST FIDELITY INC,1990-01-01..1996-04-01,1516,1580,1517,0,ok
HDLM UN,HANDLEMAN CO,1990-01-01..1996-04-01,1580,1581,1581,0,ok
0440296D UN,FIRST INTERSTATE BANCORP,1990-01-01..1996-07-01,1579,1643,1581,0,ok
1327Q UN,CHASE MANHATTAN CORP-PM W CH,1990-01-01..1996-07-01,1579,1643,1580,0,ok
1356Q UN,LOCKHEED MARTIN TACTICAL,1990-01-01..1996-07-01,1599,1643,1600,0,ok
2784Q UN,PREMARK INTERNATIONAL LLC,1990-01-01..1996-07-01,1643,1644,1644,0,ok
1463Q UN,FRESENIUS MEDICAL CARE HOLDI,1990-01-01..1996-10-01,1705,1707,1706,0,ok
2659104D UN,VARITY CORP,1990-01-01..1996-10-01,1684,1707,1690,0,ok
2746Q UN,TELEDYNE INC,1990-01-01..1996-10-01,1673,1707,1676,0,ok
CAL UN,CALERES INC,1990-01-01..1996-10-01,1707,1708,1708,0,ok
CVGYQ US,REWORLD WASTE LLC,1990-01-01..1996-10-01,1708,1708,1708,0,ok
PRSU UN,PURSUIT ATTRACTIONS AND HOSP,1991-04-01..1996-10-01,1360,1347,1394,0,ok
USHC UQ,U S HEALTHCARE INC,1995-01-01..1996-10-01,392,431,392,0,ok
1511Q UN,EL PASO TENNESSEE PIPELINE C,1990-01-01..1997-01-01,1757,1771,1758,0,ok
1513Q UN,ROCKWELL INTL CORP-OLD,1990-01-01..1997-01-01,1753,1771,1755,0,ok
1789530D UN,TRANSITIONAL HOSPITALS CORP,1990-01-01..1997-01-01,1770,1771,1771,0,ok
1824174D UN,OUTBOARD MARINE CORP,1990-01-01..1997-01-01,1770,1771,1771,0,ok
228510Q US,WILLAMETTE INDUSTRIES INC,1995-07-01..1997-01-01,380,380,380,0,ok
BLY UN,BALLY ENTERTAINMENT CORP,1990-01-01..1997-01-01,1762,1771,1763,0,ok
CNW UN,XPO CNW INC,1990-01-01..1997-01-01,1770,1787,1771,0,ok
STJ US,ST JUDE MEDICAL INC,1990-01-01..1997-01-01,1771,1771,1771,0,ok
YELLQ UQ,YELLOW CORP,1990-01-01..1997-01-01,1771,1781,1771,0,ok
1897359D UQ,RYAN'S RESTAURANT GROUP LLC,1990-01-01..1997-04-01,1833,1833,1833,0,ok
1958Q US,BOATMEN'S BANCSHARES INC,1991-01-01..1997-04-01,1521,1579,1521,0,ok
AALEA UN,ALEXANDER & ALEXANDER SVCS-A,1990-01-01..1997-04-01,1805,1832,1810,0,ok
LUB UN,LUBY'S INC,1990-01-01..1997-04-01,1831,1833,1833,0,ok
SHOY US,SHOLAND LLC,1990-01-01..1997-04-01,1833,1833,1833,0,ok
1581Q UN,MORTON INTL INC-OLD,1990-01-01..1997-07-01,1853,1896,1854,0,ok
1618Q UN,COMMONWEALTH GENERAL CORP,1994-04-01..1997-07-01,778,777,806,0,ok
1680Q UN,CONRAIL INC,1990-01-01..1997-07-01,1875,1896,1876,0,ok
202550Q UN,SANTA FE PACIFIC GOLD CORP/D,1994-10-01..1997-07-01,655,694,655,0,ok
2036Q UN,MORGAN STANLEY GROUP INC,1995-07-01..1997-07-01,484,505,484,0,ok
316419Q UN,PANENERGY CORP,1990-01-01..1997-07-01,1887,1896,1888,0,ok
693365Q UN,PACIFIC TELESIS GROUP,1990-01-01..1997-07-01,1830,1896,1832,0,ok
90457Q UN,USLIFE CORP,1990-01-01..1997-07-01,1885,1896,1887,0,ok
0376152D US,INTERGRAPH CORP,1990-01-01..1997-10-01,1961,1961,1961,0,ok
1013207D UN,DEVON SFS OPERATING INC,1990-10-01..1997-10-01,1771,1772,1772,0,ok
126784Q US,GENERAL SEMICONDUCTOR INC,1990-01-01..1997-10-01,1473,1458,1315,0,ok
1974Q UA,FUJITSU IT HOLDINGS INC,1990-01-01..1997-10-01,1949,1960,1952,0,ok
210967Q UN,NYNEX CORP,1990-01-01..1997-10-01,1927,1960,1928,0,ok
2168Q UQ,U S BANCORP-OLD,1995-01-01..1997-10-01,654,684,654,0,ok
231330Q UN,GREAT WESTERN FINANCIAL,1990-01-01..1997-10-01,1896,1960,1961,0,ok
2731112Q US,SIEMENS MEDICAL SOLUTIONS,1990-01-01..1997-10-01,1961,1961,1961,0,ok
3147596Q UN,MCDONNELL DOUGLAS CORP,1990-01-01..1997-10-01,1917,1960,1918,0,ok
334702Q UN,TXU GAS CO,1990-01-01..1997-10-01,1919,1960,1921,0,ok
GIDL UQ,GIDDINGS & LEWIS INC,1995-01-01..1997-10-01,694,684,696,0,ok
NAE UN,CENTERPOINT ENERGY RESOURCES,1994-04-01..1997-10-01,819,842,846,0,ok
NYT US,NEW YORK TIMES CO-A,1990-01-01..1997-10-01,1962,1961,1962,0,ok
TDM UN,TANDEM COMPUTERS INC,1990-01-01..1997-10-01,1938,1960,1939,0,ok
1005945D US,OHIO EDISON COMPANY,1990-01-01..1998-01-01,1988,2024,1988,0,ok
1802Q UN,BEVERLY ENTERPRISES-(OLD),1990-01-01..1998-01-01,2004,2024,2005,0,ok
2822069Q UN,SALOMON INC,1990-01-01..1998-01-01,2000,2024,2001,0,ok
FLMIQ UN,FLEMING COMPANIES INC,1990-01-01..1998-01-01,2023,2024,2024,0,ok
HFS UN,HFS INC,1996-07-01..1998-01-01,372,381,372,0,ok
LLX UN,LOUISIANA LAND & EXPLORATION,1990-01-01..1998-01-01,1975,2024,1976,0,ok
SRR UN,STRIDE RITE CORP/THE,1990-01-01..1998-01-01,2023,2024,2024,0,ok
0948669D US,AMERICAN GREETINGS CORP-CL A,1990-01-01..1998-04-01,2085,2086,2088,1,ok
204923Q UN,CALIBER SYSTEM INC,1995-10-01..1998-04-01,546,575,587,0,ok
2332645D UA,ECHO BAY MINES LTD,1990-01-01..1998-04-01,2084,2086,2086,0,ok
2638Q UN,BARNETT BANKS INC,1990-01-01..1998-04-01,2029,2085,2030,0,ok
3147Q UN,HOST HOLDING CORP,1995-10-01..1998-04-01,552,563,552,0,ok
PAS UN,PEPSIAMERICAS INC,1990-01-01..1998-04-01,2084,2086,2086,0,ok
UEP UN,UNION ELECTRIC CO,1991-07-01..1998-04-01,1645,1707,1646,0,ok
