date,ticker,open,high,low,close,volume,which,window
1990-03-26,FBF US Equity,10.75,10.75,10.75,10.8125,685600.0,rotation,1990-01-01..1992-07-01
1990-08-01,FBF US Equity,8.25,8.3125,8.125,8.25,443800.0,rotation,1990-01-01..1992-07-01
1991-01-10,739306Q US Equity,16.5231,16.629,16.0994,16.0994,59000.0,rotation,1990-01-01..1993-04-01
1992-06-01,739306Q US Equity,19.8065,19.8065,23.6196,19.7006,111700.0,rotation,1990-01-01..1993-04-01
1990-05-23,WLBAQ US Equity,4.625,22.25,21.75,22.0,43500.0,rotation,1990-01-01..1993-10-01
1993-06-16,2603Q US Equity,39.0,38.5,34.0,33.25,4684400.0,rotation,1990-01-01..1994-01-01
1992-09-09,0598884D US Equity,17.125,17.4375,16.9375,16.9375,2602600.0,rotation,1990-01-01..1995-04-01
1991-12-10,1624Q US Equity,22.5,22.75,22.25,23.0,817100.0,rotation,1990-01-01..1995-04-01
1990-05-07,0948669D US Equity,17.1875,16.6875,16.875,16.9375,208600.0,rotation,1990-01-01..1998-04-01
2002-07-11,RDPL UN Equity,50.17,50.56,50.17,50.73,11207500.0,rotation,1990-01-01..2002-10-01
1993-10-13,CMCSK UQ Equity,8.2778,8.0556,8.1389,7.6667,28660050.0,rotation,1993-10-01..2003-01-01
2001-10-24,DVN UA Equity,18.725,18.565,18.565,18.145,2730600.0,rotation,2000-07-01..2005-01-01
1993-03-19,DALRQ UN Equity,25.4375,25.4375,25.375,25.5,572400.0,rotation,1990-01-01..2005-10-01
1991-12-18,1649858D UQ Equity,21.8125,21.5,21.625,21.6875,332200.0,rotation,1990-01-01..2006-10-01
1996-07-25,1683997D UQ Equity,1.6211,1.6172,1.543,1.5313,120115200.0,rotation,1996-07-01..2006-10-01
1993-08-09,1920486D UQ Equity,3.6406,3.5313,3.5156,3.5,15043200.0,rotation,1992-07-01..2006-10-01
1995-12-07,1920486D UQ Equity,11.8047,11.6406,11.2969,11.8125,70463200.0,rotation,1992-07-01..2006-10-01
1993-07-23,AAPL UQ Equity,0.2455,0.2344,0.2321,0.2467,234236800.0,rotation,1990-01-01..2006-10-01
1994-01-21,AAPL UQ Equity,0.2991,0.298,0.2879,0.2813,995825600.0,rotation,1990-01-01..2006-10-01
1995-06-20,AAPL UQ Equity,0.4263,0.423,0.4152,0.4107,738472000.0,rotation,1990-01-01..2006-10-01
1996-02-08,AAPL UQ Equity,0.2511,0.2489,0.2467,0.2455,263166400.0,rotation,1990-01-01..2006-10-01
1997-09-23,AAPL UQ Equity,0.1975,0.1942,0.1936,0.1987,200670400.0,rotation,1990-01-01..2006-10-01
1996-04-03,AMGN UQ Equity,14.906,14.813,14.781,14.719,7540400.0,rotation,1992-01-01..2006-10-01
1997-07-08,AMGN UQ Equity,14.609,14.375,14.344,14.625,15807600.0,rotation,1992-01-01..2006-10-01
1990-06-21,CMCSA UQ Equity,1.5354,1.5093,1.4963,1.4833,1821600.0,rotation,1990-01-01..2006-10-01
1997-05-19,COST UQ Equity,16.813,16.688,16.125,16.063,4491200.0,rotation,1993-10-01..2006-10-01
1996-07-03,CSCO UQ Equity,6.5278,6.375,6.3611,6.5417,44219700.0,rotation,1993-10-01..2006-10-01
1997-05-08,CSCO UQ Equity,6.8889,6.8194,6.5556,6.5417,188563500.0,rotation,1993-10-01..2006-10-01
1997-09-26,HBAN UQ Equity,26.8595,26.7186,26.5778,26.3899,409682.0,rotation,1997-07-01..2006-10-01
1993-01-06,INTC UQ Equity,3.1172,3.082,2.9336,2.9141,268259200.0,rotation,1990-01-01..2006-10-01
1993-10-01,INTC UQ Equity,4.6094,4.5469,4.4375,4.4219,83206400.0,rotation,1990-01-01..2006-10-01
1996-07-05,MSFT UQ Equity,7.4609,7.3984,7.3984,7.5078,35331200.0,rotation,1994-04-01..2006-10-01
1996-08-26,NOVL UQ Equity,11.125,11.0,10.875,11.25,1545800.0,rotation,1991-10-01..2006-10-01
1997-05-21,ORCL UQ Equity,5.2361,5.2153,5.1667,5.0972,80142300.0,rotation,1990-01-01..2006-10-01
1996-07-05,TLAB UQ Equity,15.9375,15.25,15.125,16.0,4066400.0,rotation,1995-07-01..2006-10-01
2002-05-20,GDW UN Equity,34.905,34.62,34.42,34.95,717200.0,rotation,1990-01-01..2007-01-01
2006-12-18,0964591D UW Equity,41.7,41.59,40.96,42.5,6167857.0,rotation,2006-07-01..2007-10-01
1990-05-07,0910150D US Equity,8.3958,8.2083,8.2292,8.375,535600.0,rotation,1990-01-01..2008-01-01
2005-11-01,0910150D US Equity,19.45,19.12,19.07,19.47,3319200.0,rotation,1990-01-01..2008-01-01
2006-03-09,0910150D US Equity,23.65,23.48,23.35,23.671,4281400.0,rotation,1990-01-01..2008-01-01
2006-03-14,0910150D US Equity,23.02,23.0,22.76,23.052,3610900.0,rotation,1990-01-01..2008-01-01
2006-12-18,0910150D US Equity,35.14,34.64,34.63,35.33,2620500.0,rotation,1990-01-01..2008-01-01
2000-08-31,TXU US Equity,17.7188,17.052,17.1875,17.1875,2474600.0,rotation,1990-01-01..2008-01-01
2002-07-12,WAMUQ UN Equity,34.7,32.85,32.75,34.73,4963700.0,rotation,1998-10-01..2008-10-01
1997-08-14,ADP UN Equity,18.7396,18.3949,18.3949,18.2717,2170200.0,rotation,1990-01-01..2009-01-01
1998-05-07,HPC US Equity,48.5,47.0625,47.0,49.5,230700.0,rotation,1990-01-01..2009-01-01
2003-02-24,0772031D UN Equity,3.57,3.8,3.32,3.5,6576800.0,rotation,2000-07-01..2011-04-01
2000-02-25,TXN UN Equity,80.25,76.375,76.5,78.6875,7851200.0,rotation,1990-01-01..2012-04-01
1998-11-03,0848680D UN Equity,31.9634,31.9888,31.2548,31.5838,1683244.0,rotation,1992-01-01..2013-10-01
2002-07-10,1500785D UN Equity,22.07,22.11,21.92,23.1,1076400.0,rotation,2001-10-01..2016-07-01
1996-07-05,EMN UN Equity,30.625,30.5,30.4375,30.75,279600.0,rotation,1994-01-01..2026-01-01
