announcement_date,effective_date,action_type,ratio,amount,ticker
2014-11-20,2015-01-02,Regular Cash,,0.1,A UN
2015-03-18,2015-03-27,Regular Cash,,0.1,A UN
2015-05-20,2015-06-26,Regular Cash,,0.1,A UN
2015-09-16,2015-09-25,Regular Cash,,0.1,A UN
2015-11-19,2015-12-31,Regular Cash,,0.115,A UN
2016-03-16,2016-04-01,Regular Cash,,0.115,A UN
2016-05-18,2016-06-30,Regular Cash,,0.115,A UN
2016-09-21,2016-09-30,Regular Cash,,0.115,A UN
2016-11-17,2016-12-29,Regular Cash,,0.132,A UN
2017-03-15,2017-03-31,Regular Cash,,0.132,A UN
2017-05-17,2017-06-29,Regular Cash,,0.132,A UN
2017-09-20,2017-10-02,Regular Cash,,0.132,A UN
2017-11-15,2017-12-29,Regular Cash,,0.149,A UN
2018-03-21,2018-04-02,Regular Cash,,0.149,A UN
2018-05-16,2018-07-02,Regular Cash,,0.149,A UN
2018-09-19,2018-10-01,Regular Cash,,0.149,A UN
2018-11-14,2018-12-28,Regular Cash,,0.164,A UN
2019-03-20,2019-04-01,Regular Cash,,0.164,A UN
2019-05-22,2019-07-01,Regular Cash,,0.164,A UN
2019-09-18,2019-09-30,Regular Cash,,0.164,A UN
2019-11-20,2019-12-30,Regular Cash,,0.18,A UN
2020-03-18,2020-03-30,Regular Cash,,0.18,A UN
2020-05-20,2020-06-29,Regular Cash,,0.18,A UN
2020-09-16,2020-10-05,Regular Cash,,0.18,A UN
2020-11-18,2021-01-04,Regular Cash,,0.194,A UN
2021-03-17,2021-04-05,Regular Cash,,0.194,A UN
2021-05-19,2021-07-02,Regular Cash,,0.194,A UN
2021-09-22,2021-10-04,Regular Cash,,0.194,A UN
2021-11-17,2022-01-03,Regular Cash,,0.21,A UN
2022-02-15,2022-04-04,Regular Cash,,0.21,A UN
2022-05-18,2022-07-01,Regular Cash,,0.21,A UN
2022-09-21,2022-10-03,Regular Cash,,0.21,A UN
2022-11-16,2022-12-30,Regular Cash,,0.225,A UN
2023-02-22,2023-04-03,Regular Cash,,0.225,A UN
2023-05-17,2023-06-30,Regular Cash,,0.225,A UN
2023-09-20,2023-10-02,Regular Cash,,0.225,A UN
2023-11-15,2023-12-29,Regular Cash,,0.236,A UN
2024-02-21,2024-04-01,Regular Cash,,0.236,A UN
2024-05-22,2024-07-02,Regular Cash,,0.236,A UN
2024-09-18,2024-10-01,Regular Cash,,0.236,A UN
2024-11-20,2024-12-31,Regular Cash,,0.248,A UN
2025-02-19,2025-04-01,Regular Cash,,0.248,A UN
2025-05-21,2025-07-01,Regular Cash,,0.248,A UN
2025-09-17,2025-09-30,Regular Cash,,0.248,A UN
2025-11-19,2026-01-06,Regular Cash,,0.255,A UN
2026-02-11,2026-03-31,Regular Cash,,0.255,A UN
2026-05-20,2026-06-30,Regular Cash,,0.255,A UN
2015-01-27,2015-02-05,Regular Cash,,0.1175,AAPL UW
2015-04-27,2015-05-07,Regular Cash,,0.13,AAPL UW
2015-07-21,2015-08-06,Regular Cash,,0.13,AAPL UW
2015-10-27,2015-11-05,Regular Cash,,0.13,AAPL UW
2016-01-26,2016-02-04,Regular Cash,,0.13,AAPL UW
2016-04-26,2016-05-05,Regular Cash,,0.1425,AAPL UW
2016-07-26,2016-08-04,Regular Cash,,0.1425,AAPL UW
2016-10-25,2016-11-03,Regular Cash,,0.1425,AAPL UW
2017-01-31,2017-02-09,Regular Cash,,0.1425,AAPL UW
2017-05-02,2017-05-11,Regular Cash,,0.1575,AAPL UW
2017-08-01,2017-08-10,Regular Cash,,0.1575,AAPL UW
2017-11-02,2017-11-10,Regular Cash,,0.1575,AAPL UW
2018-02-01,2018-02-09,Regular Cash,,0.1575,AAPL UW
2018-05-01,2018-05-11,Regular Cash,,0.1825,AAPL UW
2018-07-31,2018-08-10,Regular Cash,,0.1825,AAPL UW
2018-11-01,2018-11-08,Regular Cash,,0.1825,AAPL UW
2019-01-29,2019-02-08,Regular Cash,,0.1825,AAPL UW
2019-04-30,2019-05-10,Regular Cash,,0.1925,AAPL UW
2019-07-30,2019-08-09,Regular Cash,,0.1925,AAPL UW
2019-10-30,2019-11-07,Regular Cash,,0.1925,AAPL UW
2020-01-28,2020-02-07,Regular Cash,,0.1925,AAPL UW
2020-04-30,2020-05-08,Regular Cash,,0.205,AAPL UW
2020-07-30,2020-08-07,Regular Cash,,0.205,AAPL UW
2020-07-30,2020-08-31,Stock Split,4.0,,AAPL UW
2020-10-29,2020-11-06,Regular Cash,,0.205,AAPL UW
2021-01-27,2021-02-05,Regular Cash,,0.205,AAPL UW
2021-04-28,2021-05-07,Regular Cash,,0.22,AAPL UW
2021-07-27,2021-08-06,Regular Cash,,0.22,AAPL UW
2021-10-28,2021-11-05,Regular Cash,,0.22,AAPL UW
2022-01-27,2022-02-04,Regular Cash,,0.22,AAPL UW
2022-04-28,2022-05-06,Regular Cash,,0.23,AAPL UW
2022-07-28,2022-08-05,Regular Cash,,0.23,AAPL UW
2022-10-27,2022-11-04,Regular Cash,,0.23,AAPL UW
2023-02-02,2023-02-10,Regular Cash,,0.23,AAPL UW
2023-05-04,2023-05-12,Regular Cash,,0.24,AAPL UW
2023-08-03,2023-08-11,Regular Cash,,0.24,AAPL UW
2023-11-02,2023-11-10,Regular Cash,,0.24,AAPL UW
2024-02-01,2024-02-09,Regular Cash,,0.24,AAPL UW
2024-05-02,2024-05-10,Regular Cash,,0.25,AAPL UW
2024-08-01,2024-08-12,Regular Cash,,0.25,AAPL UW
2024-10-31,2024-11-08,Regular Cash,,0.25,AAPL UW
2025-01-30,2025-02-10,Regular Cash,,0.25,AAPL UW
2025-05-01,2025-05-12,Regular Cash,,0.26,AAPL UW
2025-07-31,2025-08-11,Regular Cash,,0.26,AAPL UW
2025-10-30,2025-11-10,Regular Cash,,0.26,AAPL UW
2026-01-29,2026-02-09,Regular Cash,,0.26,AAPL UW
2026-04-30,2026-05-11,Regular Cash,,0.27,AAPL UW
2014-10-20,2015-01-13,Regular Cash,,0.49,ABBV UN
2015-02-19,2015-04-13,Regular Cash,,0.51,ABBV UN
2015-06-18,2015-07-13,Regular Cash,,0.51,ABBV UN
2015-09-11,2015-10-13,Regular Cash,,0.51,ABBV UN
2015-10-30,2016-01-13,Regular Cash,,0.57,ABBV UN
2016-02-18,2016-04-13,Regular Cash,,0.57,ABBV UN
2016-06-16,2016-07-13,Regular Cash,,0.57,ABBV UN
2016-09-09,2016-10-12,Regular Cash,,0.57,ABBV UN
2016-10-28,2017-01-11,Regular Cash,,0.64,ABBV UN
2017-02-16,2017-04-11,Regular Cash,,0.64,ABBV UN
2017-06-22,2017-07-12,Regular Cash,,0.64,ABBV UN
2017-09-08,2017-10-12,Regular Cash,,0.64,ABBV UN
2017-10-27,2018-01-11,Regular Cash,,0.71,ABBV UN
2018-02-15,2018-04-12,Regular Cash,,0.96,ABBV UN
2018-06-14,2018-07-12,Regular Cash,,0.96,ABBV UN
2018-09-07,2018-10-12,Regular Cash,,0.96,ABBV UN
2018-11-02,2019-01-14,Regular Cash,,1.07,ABBV UN
2019-02-21,2019-04-12,Regular Cash,,1.07,ABBV UN
2019-06-20,2019-07-12,Regular Cash,,1.07,ABBV UN
2019-09-06,2019-10-11,Regular Cash,,1.07,ABBV UN
2019-11-01,2020-01-14,Regular Cash,,1.18,ABBV UN
2020-02-20,2020-04-14,Regular Cash,,1.18,ABBV UN
2020-06-17,2020-07-14,Regular Cash,,1.18,ABBV UN
2020-09-11,2020-10-14,Regular Cash,,1.18,ABBV UN
2020-10-30,2021-01-14,Regular Cash,,1.3,ABBV UN
2021-02-18,2021-04-14,Regular Cash,,1.3,ABBV UN
2021-06-17,2021-07-14,Regular Cash,,1.3,ABBV UN
2021-09-10,2021-10-14,Regular Cash,,1.3,ABBV UN
2021-10-29,2022-01-13,Regular Cash,,1.41,ABBV UN
2022-02-17,2022-04-13,Regular Cash,,1.41,ABBV UN
2022-06-23,2022-07-14,Regular Cash,,1.41,ABBV UN
2022-09-09,2022-10-13,Regular Cash,,1.41,ABBV UN
2022-10-28,2023-01-12,Regular Cash,,1.48,ABBV UN
2023-02-16,2023-04-13,Regular Cash,,1.48,ABBV UN
2023-06-22,2023-07-13,Regular Cash,,1.48,ABBV UN
