ticker,cur_mkt_cap,pe_ratio,best_pe_ratio,beta_raw_overridable,eqy_dvd_yld_12m,return_com_eqy,tot_debt_to_tot_eqy,free_cash_flow_yield,gics_sector_name,gics_industry_group_name,volatility_30d,30day_impvol_100.0%mny_df
ABBV US Equity,364559597568.0,101.03432,12.718662,0.305,3.36,,,,Healthcare,Drug Manufacturers - General,26.435395446647476,
A US Equity,33214248960.0,26.002213,17.855894,1.219,0.87,19.945998,51.39,2.5768308325463942,Healthcare,Diagnostics & Research,33.88988953463452,
AAPL US Equity,4173852573696.0,34.362755,29.691374,1.065,0.38,141.47099,79.548,2.4220008872637986,Technology,Consumer Electronics,24.8518724199336,
ABNB US Equity,83073007616.0,34.758705,24.257458,1.208,,30.232999999999997,27.698,4.264923307432548,Consumer Cyclical,Travel Services,33.04941687448946,
ABT US Equity,151833853952.0,24.417366,14.375118,0.647,2.89,12.333999599999999,64.773,4.176357877344437,Healthcare,Medical Devices,26.69526653315191,
ACGL US Equity,33250248704.0,7.2415385,9.428756,0.33,,21.305999,11.282,18.82429603375276,Financial Services,Insurance - Diversified,23.33637127341274,
ADBE US Equity,103321600000.0,14.904956,9.687599,1.417,,58.774,58.34,9.021709613478691,Technology,Software - Application,41.77508703513733,
ACN US Equity,110169038848.0,14.6609335,12.008766,1.071,3.64,24.762999999999998,25.469,11.041498786953273,Technology,Information Technology Services,38.07051702100946,
ADI US Equity,197610389504.0,74.1337,30.780169,1.194,1.01,7.861999999999999,25.753,2.0947940856703835,Technology,Semiconductors,37.84786393473606,
ADSK US Equity,52629729280.0,47.601147,17.685305,1.322,,39.675,89.787,5.295486224473317,Technology,Software - Application,42.49268407164748,
ADP US Equity,84184039424.0,19.645523,17.3406,0.841,3.23,71.208,69.259,5.641671861431252,Technology,Software - Application,33.25764372419951,
ADM US Equity,38161272832.0,35.35268,16.097296,,2.63,4.7659997,40.38,4.888463862860705,Consumer Defensive,Farm Products,29.486480640897287,
AEE US Equity,30885564416.0,20.86729,19.250666,0.511,2.69,11.337,147.125,-4.80604796469587,Utilities,Utilities - Regulated Electric,16.079406677431518,
AEP US Equity,74489929728.0,20.576576,19.929611,0.552,2.82,12.486,154.237,-6.900765054779996,Utilities,Utilities - Regulated Electric,15.967676338097256,
AES US Equity,10246839296.0,10.969466,6.0155983,0.957,4.9,1.9539999999999997,259.393,-30.11782430514659,Utilities,Utilities - Diversified,6.368091789570543,
AFL US Equity,58435260416.0,13.09611,14.988954,0.619,2.13,16.469,26.394,,Financial Services,Insurance - Life,16.808303067620884,
AIG US Equity,41605279744.0,13.815142,8.853381,0.541,2.55,7.722999999999999,22.647,22.875100454942874,Financial Services,Insurance - Diversified,24.354383674796924,
AIZ US Equity,11806488576.0,12.148565,10.72625,0.556,1.42,15.899,38.845,18.52879336576762,Financial Services,Insurance - Property & Casualty,19.42070630432916,
AKAM US Equity,17363486720.0,38.41694,15.513971,0.454,,9.1730006,114.024,3.332636453330959,Technology,Software - Infrastructure,78.29676328297491,
AJG US Equity,52878663680.0,33.354942,13.849708,0.545,1.36,7.007,56.18,,Financial Services,Insurance Brokers,24.84641209472968,
ALB US Equity,22966724608.0,,21.581802,1.365,0.83,-4.656,33.954,1.9736657087014782,Basic Materials,Specialty Chemicals,69.19249565818778,
ALGN US Equity,12082550784.0,28.307049,13.637397,1.695,,10.824,2.01,4.83520735351374,Healthcare,Medical Instruments & Supplies,40.812418977870095,
ALLE US Equity,11368455168.0,18.072403,13.8598585,0.903,1.6,34.179002000000004,105.863,4.348545943089389,Industrials,Security & Protection Services,32.25336402848901,
ALL US Equity,56249044992.0,4.833223,8.3837,0.207,1.98,45.221000000000004,23.719,22.096374581591046,Financial Services,Insurance - Property & Casualty,21.369858717045588,
AMAT US Equity,326030819328.0,42.178646,29.196365,1.654,0.52,38.863,33.108,1.3316991838222592,Technology,Semiconductor Equipment & Materials,53.90365347242088,
AMCR US Equity,17391398912.0,28.30075,8.628594,0.633,6.91,7.734000000000001,138.731,2.5659234559451636,Consumer Cyclical,Packaging & Containers,40.247136691498035,
AMD US Equity,579219816448.0,137.16603,31.665981,2.399,,7.081999999999999,6.359,0.791970517191693,Technology,Semiconductors,66.1027970560501,
AME US Equity,53757272064.0,35.4826,26.62864,1.033,0.58,14.626999,22.489,2.577058862567807,Industrials,Specialty Industrial Machinery,28.344643092746864,
AMGN US Equity,177978605568.0,22.935978,14.027321,0.435,3.06,101.318,623.754,4.17838136907905,Healthcare,Drug Manufacturers - General,24.599200882184803,
AMP US Equity,42765963264.0,11.833707,9.995868,1.201,1.43,66.93599999999999,52.785,,Financial Services,Asset Management,25.026602409538327,
AMT US Equity,82984869888.0,28.729033,25.791616,0.9,3.87,29.952,444.55,5.560486664891739,Real Estate,REIT - Specialty,25.930888358035915,
AMZN US Equity,2942607294464.0,32.682198,27.68363,1.468,,24.285,53.3,0.3332631162319704,Consumer Cyclical,Internet Retail,30.354267316565924,
ANET US Equity,214335815680.0,58.494843,38.864525,1.673,,31.4,0.732,1.580679651345893,Technology,Computer Hardware,56.22165380415984,
AON US Equity,67180625920.0,17.273476,14.699216,0.714,1.04,46.447,155.05,4.97409043491091,Financial Services,Insurance Brokers,29.1676670544464,
AOS US Equity,8115349504.0,15.701334,14.088181,1.217,2.41,28.266999999999996,34.981,6.107100030081464,Industrials,Specialty Industrial Machinery,31.228036984165254,
APA US Equity,14659049472.0,10.395989,10.292012,0.374,2.41,25.319999999999997,68.685,13.376549494190835,Energy,Oil & Gas E&P,55.23476494879842,
APD US Equity,67679338496.0,32.060127,21.337929,0.776,2.38,12.353,101.611,-5.199869641468193,Basic Materials,Specialty Chemicals,16.421677542917585,
APH US Equity,168050884608.0,39.16619,24.289173,1.297,0.73,36.825,133.051,2.120622610415197,Technology,Electronic Components,40.42021481123718,
APO US Equity,75120435200.0,23.519855,12.269605,1.519,1.57,14.698,99.468,,Financial Services,Asset Management,35.98199169472204,
APP US Equity,160769703936.0,47.620518,22.483551,2.366,,212.945,171.801,1.6789153266553911,Communication Services,Advertising Agencies,66.62093431374407,
APTV US Equity,13770340352.0,32.636906,8.190575,,,4.0799997999999995,102.331,8.867790924446135,Consumer Cyclical,Auto Parts,50.74636562225858,
ARE US Equity,7633002496.0,,-49.772728,1.137,9.32,-4.144,66.509,18.455687296555027,Real Estate,REIT - Office,56.13681976930249,
ARES US Equity,40649674752.0,71.90643,16.545073,1.521,4.39,,163.448,,Financial Services,Asset Management,45.44878376478172,
ATO US Equity,30978443264.0,24.381512,21.120867,0.648,2.14,9.237,67.443,-6.041855673797102,Utilities,Utilities - Regulated Gas,17.11727737983007,
AVB US Equity,25770510336.0,22.926981,37.74796,0.798,3.84,9.719,79.902,,Real Estate,REIT - Residential,20.936481819675777,
AVGO US Equity,2023407747072.0,83.30604,23.587656,1.44,0.61,33.370999,82.704,1.2604355291663558,Technology,Semiconductors,42.36859451302458,
AVY US Equity,12389147648.0,18.239864,14.505526,0.847,2.47,30.857,164.751,6.154176265088611,Consumer Cyclical,Packaging & Containers,26.119929095108795,
AWK US Equity,24615110656.0,22.388988,19.168976,0.634,2.84,10.217,142.33,-7.705124914958253,Utilities,Utilities - Regulated Water,22.6323989896157,
AXON US Equity,30665779200.0,250.39474,36.381363,1.435,,4.476,59.107,0.7501231861735964,Industrials,Aerospace & Defense,66.00931237907548,
