date,ticker,pe_ratio,eps,revenue,ebitda,book_value_per_share
1999-01-31,A UN,,0.16,1786.0,,
1999-04-30,A UN,,0.35,2010.0,,
1999-07-31,A UN,,0.3,2087.0,,8.4737
1999-10-31,A UN,,0.32,2448.0,,8.9
1999-12-31,A UN,46.9287,,,,
2000-01-31,A UN,,0.3,2246.0,267.0,9.9248
2000-03-31,A UN,56.0577,,,,
2000-04-30,A UN,,0.37,2142.0,287.0,10.2637
2000-06-30,A UN,42.1107,,,,
2000-07-31,A UN,,0.34,2351.0,510.0,10.8208
2000-09-29,A UN,27.4772,,,,
2000-10-31,A UN,,0.67,3372.0,608.0,11.5975
2000-12-29,A UN,23.9539,,,,
2001-01-31,A UN,,0.22,2565.0,428.0,12.1308
2001-03-30,A UN,11.8994,,,,
2001-04-30,A UN,,0.22,2406.0,122.0,12.2869
2001-06-29,A UN,14.5017,,,,
2001-07-31,A UN,,-0.49,1819.0,-120.0,11.9118
2001-09-28,A UN,13.8655,,,,
2001-10-31,A UN,,0.43,1606.0,-474.0,12.2747
2001-12-31,A UN,15.745,,,,
2002-01-31,A UN,,-0.68,1426.0,-243.0,11.6307
2002-04-30,A UN,,-0.55,1457.0,-180.0,11.0458
2002-07-31,A UN,,-0.49,1391.0,-249.0,10.7155
2002-10-31,A UN,,-0.51,1736.0,-200.0,9.9079
2003-01-31,A UN,,-0.78,1412.0,-174.0,9.2288
2003-04-30,A UN,,-0.31,1467.0,-235.0,8.9136
2003-07-31,A UN,,-3.28,1502.0,-99.0,5.7202
2003-10-31,A UN,,0.03,1675.0,145.0,5.9309
2004-01-31,A UN,,0.15,1643.0,218.0,6.3837
2004-03-31,A UN,112.1651,,,,
2004-04-30,A UN,,0.22,1831.0,224.0,6.6258
2004-06-30,A UN,34.0138,,,,
2004-07-31,A UN,,0.21,1885.0,253.0,6.8498
2004-09-30,A UN,16.148,,,,
2004-10-31,A UN,,0.19,1336.0,132.0,7.3285
2004-12-31,A UN,15.7649,,,,
2005-01-31,A UN,,0.21,1212.0,86.0,7.6741
2005-03-31,A UN,15.4203,,,,
2005-04-30,A UN,,0.19,1278.0,86.0,7.8798
2005-06-30,A UN,18.2473,,,,
2005-07-31,A UN,,0.21,1242.0,69.0,7.9919
2005-09-30,A UN,27.1081,,,,
2005-10-31,A UN,,0.05,953.0,146.0,8.1133
2005-12-30,A UN,22.1201,,,,
2006-01-31,A UN,,5.95,1167.0,74.0,9.7256
2006-03-31,A UN,22.1155,,,,
2006-04-30,A UN,,0.27,1239.0,88.0,9.5634
2006-06-30,A UN,18.2682,,,,
2006-07-31,A UN,,0.55,1239.0,225.0,9.2714
2006-09-29,A UN,16.5677,,,,
