member_ticker_and_exchange_code,percentage_weight,as_of_date
1284849D UN,-2.4245362661989844e-14,2015-01-01
1288453D UW,-2.4245362661989844e-14,2015-01-01
1436513D UN,-2.4245362661989844e-14,2015-01-01
1448062D UW,-2.4245362661989844e-14,2015-01-01
1500785D UN,-2.4245362661989844e-14,2015-01-01
1518855D US,-2.4245362661989844e-14,2015-01-01
1539941D UN,-2.4245362661989844e-14,2015-01-01
1541931D UW,-2.4245362661989844e-14,2015-01-01
1566019D UN,-2.4245362661989844e-14,2015-01-01
1684442D UN,-2.4245362661989844e-14,2015-01-01
1697067D UN,-2.4245362661989844e-14,2015-01-01
1715651D UN,-2.4245362661989844e-14,2015-01-01
1806854D UN,-2.4245362661989844e-14,2015-01-01
1831877D UN,-2.4245362661989844e-14,2015-01-01
1856613D UN,-2.4245362661989844e-14,2015-01-01
1922150D UN,-2.4245362661989844e-14,2015-01-01
1927294D UN,-2.4245362661989844e-14,2015-01-01
2078185D UN,-2.4245362661989844e-14,2015-01-01
2258717D UN,-2.4245362661989844e-14,2015-01-01
2326248D UW,-2.4245362661989844e-14,2015-01-01
2370058D UN,-2.4245362661989844e-14,2015-01-01
2544554D UW,-2.4245362661989844e-14,2015-01-01
2557974D UN,-2.4245362661989844e-14,2015-01-01
2558202D UN,-2.4245362661989844e-14,2015-01-01
2584271D UN,-2.4245362661989844e-14,2015-01-01
2596482D UN,-2.4245362661989844e-14,2015-01-01
2596516D UN,-2.4245362661989844e-14,2015-01-01
2616271D UN,-2.4245362661989844e-14,2015-01-01
2619871D UW,-2.4245362661989844e-14,2015-01-01
9876549D UN,-2.4245362661989844e-14,2015-01-01
9876566D UN,-2.4245362661989844e-14,2015-01-01
9903115D UN,-2.4245362661989844e-14,2015-01-01
9980328D UN,-2.4245362661989844e-14,2015-01-01
9983490D UN,-2.4245362661989844e-14,2015-01-01
9990213D UN,-2.4245362661989844e-14,2015-01-01
9991429D UN,-2.4245362661989844e-14,2015-01-01
A UN,-2.4245362661989844e-14,2015-01-01
AA UN,-2.4245362661989844e-14,2015-01-01
AAPL UW,-2.4245362661989844e-14,2015-01-01
ABBV UN,-2.4245362661989844e-14,2015-01-01
ABT UN,-2.4245362661989844e-14,2015-01-01
ACN UN,-2.4245362661989844e-14,2015-01-01
ADBE UW,-2.4245362661989844e-14,2015-01-01
ADI UW,-2.4245362661989844e-14,2015-01-01
ADM UN,-2.4245362661989844e-14,2015-01-01
ADP UW,-2.4245362661989844e-14,2015-01-01
ADSK UW,-2.4245362661989844e-14,2015-01-01
AEE UN,-2.4245362661989844e-14,2015-01-01
AEP UN,-2.4245362661989844e-14,2015-01-01
AES UN,-2.4245362661989844e-14,2015-01-01
AET UN,-2.4245362661989844e-14,2015-01-01
AFL UN,-2.4245362661989844e-14,2015-01-01
AGN UN,-2.4245362661989844e-14,2015-01-01
AIG UN,-2.4245362661989844e-14,2015-01-01
AIV UN,-2.4245362661989844e-14,2015-01-01
AIZ UN,-2.4245362661989844e-14,2015-01-01
AKAM UW,-2.4245362661989844e-14,2015-01-01
ALL UN,-2.4245362661989844e-14,2015-01-01
ALLE UN,-2.4245362661989844e-14,2015-01-01
ALXN UW,-2.4245362661989844e-14,2015-01-01
AMAT UW,-2.4245362661989844e-14,2015-01-01
AME UN,-2.4245362661989844e-14,2015-01-01
AMG UN,-2.4245362661989844e-14,2015-01-01
AMGN UW,-2.4245362661989844e-14,2015-01-01
AMP UN,-2.4245362661989844e-14,2015-01-01
AMT UN,-2.4245362661989844e-14,2015-01-01
AMZN UW,-2.4245362661989844e-14,2015-01-01
AN UN,-2.4245362661989844e-14,2015-01-01
ANDV UN,-2.4245362661989844e-14,2015-01-01
AON UN,-2.4245362661989844e-14,2015-01-01
APA UN,-2.4245362661989844e-14,2015-01-01
APD UN,-2.4245362661989844e-14,2015-01-01
APH UN,-2.4245362661989844e-14,2015-01-01
ARG UN,-2.4245362661989844e-14,2015-01-01
ATI UN,-2.4245362661989844e-14,2015-01-01
AVB UN,-2.4245362661989844e-14,2015-01-01
AVGO UW,-2.4245362661989844e-14,2015-01-01
AVP UN,-2.4245362661989844e-14,2015-01-01
AVY UN,-2.4245362661989844e-14,2015-01-01
AXP UN,-2.4245362661989844e-14,2015-01-01
AZO UN,-2.4245362661989844e-14,2015-01-01
BA UN,-2.4245362661989844e-14,2015-01-01
BAC UN,-2.4245362661989844e-14,2015-01-01
BALL UN,-2.4245362661989844e-14,2015-01-01
BAX UN,-2.4245362661989844e-14,2015-01-01
BBBYQ UW,-2.4245362661989844e-14,2015-01-01
BBWI UN,-2.4245362661989844e-14,2015-01-01
BBY UN,-2.4245362661989844e-14,2015-01-01
BCR UN,-2.4245362661989844e-14,2015-01-01
BDX UN,-2.4245362661989844e-14,2015-01-01
BEN UN,-2.4245362661989844e-14,2015-01-01
BF/B UN,-2.4245362661989844e-14,2015-01-01
BFH UN,-2.4245362661989844e-14,2015-01-01
BHI UN,-2.4245362661989844e-14,2015-01-01
BIIB UW,-2.4245362661989844e-14,2015-01-01
BK UN,-2.4245362661989844e-14,2015-01-01
BKNG UW,-2.4245362661989844e-14,2015-01-01
BMY UN,-2.4245362661989844e-14,2015-01-01
BRCM UW,-2.4245362661989844e-14,2015-01-01
BRK/B UN,-2.4245362661989844e-14,2015-01-01
BSX UN,-2.4245362661989844e-14,2015-01-01
BWA UN,-2.4245362661989844e-14,2015-01-01
BXP UN,-2.4245362661989844e-14,2015-01-01
C UN,-2.4245362661989844e-14,2015-01-01
CAG UN,-2.4245362661989844e-14,2015-01-01
CAH UN,-2.4245362661989844e-14,2015-01-01
CAT UN,-2.4245362661989844e-14,2015-01-01
CB UN,-2.4245362661989844e-14,2015-01-01
CBRE UN,-2.4245362661989844e-14,2015-01-01
CCEP UN,-2.4245362661989844e-14,2015-01-01
CCI UN,-2.4245362661989844e-14,2015-01-01
CCL UN,-2.4245362661989844e-14,2015-01-01
CELG UW,-2.4245362661989844e-14,2015-01-01
CERN UW,-2.4245362661989844e-14,2015-01-01
CF UN,-2.4245362661989844e-14,2015-01-01
CFN UN,-2.4245362661989844e-14,2015-01-01
CHKAQ UN,-2.4245362661989844e-14,2015-01-01
CHRW UW,-2.4245362661989844e-14,2015-01-01
CI UN,-2.4245362661989844e-14,2015-01-01
CINF UW,-2.4245362661989844e-14,2015-01-01
CL UN,-2.4245362661989844e-14,2015-01-01
CLX UN,-2.4245362661989844e-14,2015-01-01
CMA UN,-2.4245362661989844e-14,2015-01-01
CMCSA UW,-2.4245362661989844e-14,2015-01-01
CME UW,-2.4245362661989844e-14,2015-01-01
CMG UN,-2.4245362661989844e-14,2015-01-01
CMI UN,-2.4245362661989844e-14,2015-01-01
CMS UN,-2.4245362661989844e-14,2015-01-01
CNP UN,-2.4245362661989844e-14,2015-01-01
CNX UN,-2.4245362661989844e-14,2015-01-01
COF UN,-2.4245362661989844e-14,2015-01-01
COL UN,-2.4245362661989844e-14,2015-01-01
COP UN,-2.4245362661989844e-14,2015-01-01
COR UN,-2.4245362661989844e-14,2015-01-01
COST UW,-2.4245362661989844e-14,2015-01-01
COV UN,-2.4245362661989844e-14,2015-01-01
CPB UN,-2.4245362661989844e-14,2015-01-01
CPRI UN,-2.4245362661989844e-14,2015-01-01
CRM UN,-2.4245362661989844e-14,2015-01-01
CSCO UW,-2.4245362661989844e-14,2015-01-01
CSX UN,-2.4245362661989844e-14,2015-01-01
CTAS UW,-2.4245362661989844e-14,2015-01-01
CTRA UN,-2.4245362661989844e-14,2015-01-01
CTSH UW,-2.4245362661989844e-14,2015-01-01
CTXS UW,-2.4245362661989844e-14,2015-01-01
CVC UN,-2.4245362661989844e-14,2015-01-01
CVS UN,-2.4245362661989844e-14,2015-01-01
CVX UN,-2.4245362661989844e-14,2015-01-01
D UN,-2.4245362661989844e-14,2015-01-01
DAL UN,-2.4245362661989844e-14,2015-01-01
DE UN,-2.4245362661989844e-14,2015-01-01
