date,open,high,low,close,instrument
2015-01-01,2.1712,2.1712,2.1712,2.1712,us_10y
2015-01-02,2.1712,2.2109,2.1,2.1105,us_10y
2015-01-05,2.0992,2.1315,2.025,2.032,us_10y
2015-01-06,2.0372,2.0372,1.8852,1.9402,us_10y
2015-01-07,1.9402,2.0075,1.9237,1.9677,us_10y
2015-01-08,1.9746,2.0283,1.9659,2.0179,us_10y
2015-01-09,2.0153,2.0203,1.9415,1.9449,us_10y
2015-01-12,1.9475,1.9769,1.9001,1.907,us_10y
2015-01-13,1.9052,1.9431,1.8622,1.9,us_10y
2015-01-14,1.9,1.9,1.7819,1.8553,us_10y
2015-01-15,1.857,1.8982,1.7005,1.7149,us_10y
2015-01-16,1.7199,1.8377,1.6966,1.8368,us_10y
2015-01-19,1.8368,1.8368,1.8368,1.8368,us_10y
2015-01-20,1.8368,1.8368,1.7583,1.788,us_10y
2015-01-21,1.794,1.8735,1.7709,1.8717,us_10y
2015-01-22,1.8666,1.9467,1.8091,1.8631,us_10y
2015-01-23,1.8725,1.8734,1.7789,1.7968,us_10y
2015-01-26,1.7653,1.8412,1.7508,1.8241,us_10y
2015-01-27,1.8241,1.8301,1.7463,1.8231,us_10y
2015-01-28,1.8188,1.8333,1.6996,1.7207,us_10y
2015-01-29,1.7224,1.7836,1.7123,1.7512,us_10y
2015-01-30,1.758,1.7588,1.6357,1.6407,us_10y
2015-02-02,1.65,1.7099,1.6475,1.6642,us_10y
2015-02-03,1.6701,1.8009,1.659,1.7915,us_10y
2015-02-04,1.7881,1.8446,1.7351,1.7513,us_10y
2015-02-05,1.7334,1.8273,1.7163,1.8204,us_10y
2015-02-06,1.817,1.9636,1.7944,1.9567,us_10y
2015-02-09,1.9384,1.9845,1.882,1.9775,us_10y
2015-02-10,1.9653,2.0142,1.9583,1.9967,us_10y
2015-02-11,2.0001,2.0264,1.9687,2.0176,us_10y
2015-02-12,1.9948,2.0469,1.9568,1.9844,us_10y
2015-02-13,1.9818,2.0774,1.974,2.0504,us_10y
2015-02-16,2.0504,2.0504,2.0504,2.0504,us_10y
2015-02-17,2.0504,2.1502,1.9965,2.1379,us_10y
2015-02-18,2.1343,2.1625,2.0417,2.08,us_10y
2015-02-19,2.08,2.1239,2.0417,2.1142,us_10y
2015-02-20,2.1168,2.1398,2.0435,2.1117,us_10y
2015-02-23,2.1117,2.1345,2.0522,2.0574,us_10y
2015-02-24,2.0644,2.1029,1.9705,1.98,us_10y
2015-02-25,1.9844,2.0,1.9549,1.9688,us_10y
2015-02-26,1.9688,2.0365,1.9273,2.0295,us_10y
2015-02-27,2.0243,2.0505,1.9904,1.993,us_10y
2015-03-02,2.0034,2.0943,1.9895,2.082,us_10y
2015-03-03,2.0803,2.126,2.0715,2.1189,us_10y
2015-03-04,2.1189,2.1392,2.0926,2.1172,us_10y
2015-03-05,2.1084,2.1445,2.0943,2.1154,us_10y
2015-03-06,2.1199,2.2575,2.0935,2.2414,us_10y
2015-03-09,2.2414,2.2467,2.1845,2.1907,us_10y
2015-03-10,2.1987,2.2094,2.1156,2.1297,us_10y
2015-03-11,2.127,2.158,2.0945,2.1086,us_10y
2015-03-12,2.1015,2.1218,2.0401,2.1156,us_10y
2015-03-13,2.1139,2.1458,2.0822,2.114,us_10y
2015-03-16,2.1034,2.1052,2.0629,2.0717,us_10y
2015-03-17,2.0779,2.0787,2.0366,2.0507,us_10y
2015-03-18,2.0524,2.0542,1.9035,1.9199,us_10y
2015-03-19,1.9122,1.9877,1.8975,1.9685,us_10y
2015-03-20,1.9616,1.9729,1.9216,1.9303,us_10y
2015-03-23,1.9233,1.9398,1.9042,1.912,us_10y
2015-03-24,1.9181,1.9241,1.8645,1.8731,us_10y
2015-03-25,1.8757,1.9302,1.8506,1.925,us_10y
2015-03-26,1.925,2.0104,1.8886,1.9894,us_10y
2015-03-27,1.9973,1.9999,1.9423,1.9615,us_10y
2015-03-30,1.9615,1.9737,1.9388,1.9475,us_10y
2015-03-31,1.951,1.9675,1.9214,1.9231,us_10y
2015-04-01,1.9292,1.9457,1.8504,1.8573,us_10y
2015-04-02,1.8581,1.9143,1.8295,1.9117,us_10y
