release_date,event,importance,country,ticker
2025-01-02,US Initial Jobless Claims SA,,US,INJCJC Index
2025-01-03,ISM Manufacturing PMI SA,,US,NAPMPMI Index
2025-01-08,US Initial Jobless Claims SA,,US,INJCJC Index
2025-01-10,US Employees on Nonfarm Payrol,,US,NFP TCH Index
2025-01-15,US CPI Urban Consumers YoY NSA,,US,CPI YOY Index
2025-01-16,US Initial Jobless Claims SA,,US,INJCJC Index
2025-01-16,Adjusted Retail & Food Service,,US,RSTAMOM Index
2025-01-23,US Initial Jobless Claims SA,,US,INJCJC Index
2025-01-28,Conference Board Consumer Conf,,US,CONCCONF Index
2025-01-29,Federal Funds Target Rate - Up,,US,FDTR Index
2025-01-30,GDP US Chained Dollars QoQ SAA,,US,GDP CQOQ Index
2025-01-30,US Initial Jobless Claims SA,,US,INJCJC Index
2025-02-03,ISM Manufacturing PMI SA,,US,NAPMPMI Index
2025-02-06,US Initial Jobless Claims SA,,US,INJCJC Index
2025-02-07,US Employees on Nonfarm Payrol,,US,NFP TCH Index
2025-02-12,US CPI Urban Consumers YoY NSA,,US,CPI YOY Index
2025-02-13,US Initial Jobless Claims SA,,US,INJCJC Index
2025-02-14,Adjusted Retail & Food Service,,US,RSTAMOM Index
2025-02-20,US Initial Jobless Claims SA,,US,INJCJC Index
2025-02-25,Conference Board Consumer Conf,,US,CONCCONF Index
2025-02-27,GDP US Chained Dollars QoQ SAA,,US,GDP CQOQ Index
2025-02-27,US Initial Jobless Claims SA,,US,INJCJC Index
2025-03-03,ISM Manufacturing PMI SA,,US,NAPMPMI Index
2025-03-06,US Initial Jobless Claims SA,,US,INJCJC Index
2025-03-07,US Employees on Nonfarm Payrol,,US,NFP TCH Index
2025-03-12,US CPI Urban Consumers YoY NSA,,US,CPI YOY Index
2025-03-13,US Initial Jobless Claims SA,,US,INJCJC Index
2025-03-17,Adjusted Retail & Food Service,,US,RSTAMOM Index
2025-03-19,Federal Funds Target Rate - Up,,US,FDTR Index
2025-03-20,US Initial Jobless Claims SA,,US,INJCJC Index
2025-03-25,Conference Board Consumer Conf,,US,CONCCONF Index
2025-03-27,GDP US Chained Dollars QoQ SAA,,US,GDP CQOQ Index
2025-03-27,US Initial Jobless Claims SA,,US,INJCJC Index
2025-04-01,ISM Manufacturing PMI SA,,US,NAPMPMI Index
2025-04-03,US Initial Jobless Claims SA,,US,INJCJC Index
2025-04-04,US Employees on Nonfarm Payrol,,US,NFP TCH Index
2025-04-10,US CPI Urban Consumers YoY NSA,,US,CPI YOY Index
2025-04-10,US Initial Jobless Claims SA,,US,INJCJC Index
2025-04-16,Adjusted Retail & Food Service,,US,RSTAMOM Index
2025-04-17,US Initial Jobless Claims SA,,US,INJCJC Index
2025-04-24,US Initial Jobless Claims SA,,US,INJCJC Index
2025-04-29,Conference Board Consumer Conf,,US,CONCCONF Index
2025-04-30,GDP US Chained Dollars QoQ SAA,,US,GDP CQOQ Index
2025-05-01,US Initial Jobless Claims SA,,US,INJCJC Index
2025-05-01,ISM Manufacturing PMI SA,,US,NAPMPMI Index
2025-05-02,US Employees on Nonfarm Payrol,,US,NFP TCH Index
2025-05-07,Federal Funds Target Rate - Up,,US,FDTR Index
2025-05-08,US Initial Jobless Claims SA,,US,INJCJC Index
2025-05-13,US CPI Urban Consumers YoY NSA,,US,CPI YOY Index
2025-05-15,US Initial Jobless Claims SA,,US,INJCJC Index
2025-05-15,Adjusted Retail & Food Service,,US,RSTAMOM Index
2025-05-22,US Initial Jobless Claims SA,,US,INJCJC Index
2025-05-27,Conference Board Consumer Conf,,US,CONCCONF Index
2025-05-29,GDP US Chained Dollars QoQ SAA,,US,GDP CQOQ Index
2025-05-29,US Initial Jobless Claims SA,,US,INJCJC Index
2025-06-02,ISM Manufacturing PMI SA,,US,NAPMPMI Index
2025-06-05,US Initial Jobless Claims SA,,US,INJCJC Index
2025-06-06,US Employees on Nonfarm Payrol,,US,NFP TCH Index
2025-06-11,US CPI Urban Consumers YoY NSA,,US,CPI YOY Index
2025-06-12,US Initial Jobless Claims SA,,US,INJCJC Index
2025-06-17,Adjusted Retail & Food Service,,US,RSTAMOM Index
2025-06-18,Federal Funds Target Rate - Up,,US,FDTR Index
2025-06-18,US Initial Jobless Claims SA,,US,INJCJC Index
2025-06-24,Conference Board Consumer Conf,,US,CONCCONF Index
2025-06-26,GDP US Chained Dollars QoQ SAA,,US,GDP CQOQ Index
2025-06-26,US Initial Jobless Claims SA,,US,INJCJC Index
2025-07-01,ISM Manufacturing PMI SA,,US,NAPMPMI Index
2025-07-03,US Initial Jobless Claims SA,,US,INJCJC Index
2025-07-03,US Employees on Nonfarm Payrol,,US,NFP TCH Index
2025-07-10,US Initial Jobless Claims SA,,US,INJCJC Index
2025-07-15,US CPI Urban Consumers YoY NSA,,US,CPI YOY Index
2025-07-17,US Initial Jobless Claims SA,,US,INJCJC Index
2025-07-17,Adjusted Retail & Food Service,,US,RSTAMOM Index
2025-07-24,US Initial Jobless Claims SA,,US,INJCJC Index
2025-07-29,Conference Board Consumer Conf,,US,CONCCONF Index
2025-07-30,Federal Funds Target Rate - Up,,US,FDTR Index
2025-07-30,GDP US Chained Dollars QoQ SAA,,US,GDP CQOQ Index
2025-07-31,US Initial Jobless Claims SA,,US,INJCJC Index
2025-08-01,ISM Manufacturing PMI SA,,US,NAPMPMI Index
2025-08-01,US Employees on Nonfarm Payrol,,US,NFP TCH Index
2025-08-07,US Initial Jobless Claims SA,,US,INJCJC Index
2025-08-12,US CPI Urban Consumers YoY NSA,,US,CPI YOY Index
2025-08-14,US Initial Jobless Claims SA,,US,INJCJC Index
2025-08-15,Adjusted Retail & Food Service,,US,RSTAMOM Index
2025-08-21,US Initial Jobless Claims SA,,US,INJCJC Index
2025-08-26,Conference Board Consumer Conf,,US,CONCCONF Index
2025-08-28,GDP US Chained Dollars QoQ SAA,,US,GDP CQOQ Index
2025-08-28,US Initial Jobless Claims SA,,US,INJCJC Index
2025-09-02,ISM Manufacturing PMI SA,,US,NAPMPMI Index
2025-09-04,US Initial Jobless Claims SA,,US,INJCJC Index
2025-09-05,US Employees on Nonfarm Payrol,,US,NFP TCH Index
2025-09-11,US CPI Urban Consumers YoY NSA,,US,CPI YOY Index
2025-09-11,US Initial Jobless Claims SA,,US,INJCJC Index
2025-09-16,Adjusted Retail & Food Service,,US,RSTAMOM Index
2025-09-17,Federal Funds Target Rate - Up,,US,FDTR Index
2025-09-18,US Initial Jobless Claims SA,,US,INJCJC Index
