date,ticker,short_interest,short_interest_pct_float,borrow_rate_net,shares_out,float_pct
2020-01-31,A UN,5091993.0,1.65,,310.18342,99.48887661371457
2020-02-28,A UN,5029326.0,1.6307,,310.0,99.49
2020-03-31,A UN,4767556.0,1.5475,,309.65136,99.49124718845091
2020-04-30,A UN,5305071.0,1.7221,,309.65136,99.48608008697265
2020-05-29,A UN,5135292.0,1.6758,,308.0,99.48993506493505
2020-06-30,A UN,3880721.0,1.2632,,308.7774,99.49465213451502
2020-07-31,A UN,3971156.0,1.2926,,308.7774,99.49529985031288
2020-08-31,A UN,3686771.0,1.1992,,309.0,99.49611650485436
2020-09-30,A UN,2620892.0,0.8544,,308.30964,99.49542933526179
2020-10-30,A UN,3132384.0,1.0211,,308.30964,99.49542933526179
2020-11-30,A UN,3480670.0,1.1434,,306.0,99.48071895424837
2020-12-31,A UN,2502573.0,0.8195,,306.84953,99.51685440091761
2021-01-29,A UN,2272817.0,0.7443,,306.84953,99.52206868297957
2021-02-26,A UN,2380017.0,0.7827,,305.38935,99.5647032222964
2021-03-31,A UN,2670587.0,0.8804,,304.69752,99.55742337515579
2021-04-30,A UN,2132809.0,0.703,,304.69752,99.56858198255108
2021-05-31,A UN,2532112.0,0.8308,,306.0,99.59934640522876
2021-06-30,A UN,2456982.0,0.8129,,303.44323,99.61204275343366
2021-07-30,A UN,3344717.0,1.1065,,303.44323,99.61204275343366
2021-08-31,A UN,3748555.0,1.242,,303.0,99.61221122112211
2021-09-30,A UN,2907141.0,0.9641,,302.72267,99.61163463575424
2021-10-29,A UN,4632252.0,1.5362,,302.72267,99.61163463575424
2021-11-30,A UN,4359098.0,1.4497,,302.0,99.56920529801326
2021-12-31,A UN,4272231.0,1.4202,,302.0008,99.61165665786315
2022-01-31,A UN,5244690.0,1.7434,,302.0008,99.61165665786315
2022-02-28,A UN,4417007.0,1.468,,302.0,99.62781456953643
2022-03-31,A UN,4164074.0,1.3928,,300.11338,99.61768448977516
2022-04-29,A UN,5289050.0,1.7691,,300.11338,99.61768448977516
2022-05-31,A UN,2882647.0,0.9688,,298.70806,99.61465385299614
2022-06-30,A UN,2295345.0,0.7714,,298.70806,99.6166625031812
2022-07-29,A UN,3011237.0,1.012,,298.70806,99.61699727821205
2022-08-31,A UN,2705705.0,0.9174,,296.0,99.63378378378378
2022-09-30,A UN,2716611.0,0.9207,,296.04057,99.6694473328436
2022-10-31,A UN,2893740.0,0.9807,,296.04057,99.67417641440159
2022-11-30,A UN,2725376.0,0.9273,,295.0,99.62542372881356
