date,vix,vix_3m,vix_6m
2018-01-02,9.77,12.61,14.72
2018-01-03,9.15,12.32,14.41
2018-01-04,9.22,12.24,14.38
2018-01-05,9.22,12.06,14.19
2018-01-08,9.52,12.15,14.21
2018-01-09,10.08,12.41,14.32
2018-01-10,9.82,12.36,14.31
2018-01-11,9.88,12.16,14.11
2018-01-12,10.16,12.2,14.18
2018-01-16,11.66,13.23,14.99
2018-01-17,11.91,13.25,14.88
2018-01-18,12.22,13.58,15.15
2018-01-19,11.27,13.04,14.86
2018-01-22,11.03,12.99,14.84
2018-01-23,11.1,13.22,14.94
2018-01-24,11.47,13.53,15.25
2018-01-25,11.58,13.68,15.39
2018-01-26,11.08,13.46,15.11
2018-01-29,13.84,14.99,16.14
2018-01-30,14.79,15.83,16.78
2018-01-31,13.54,14.9,16.06
2018-02-01,13.47,14.72,15.9
2018-02-02,17.31,17.03,17.49
2018-02-05,37.32,28.13,24.55
2018-02-06,29.98,23.75,21.54
2018-02-07,27.73,23.03,21.76
2018-02-08,33.46,27.33,24.89
2018-02-09,29.06,24.92,23.18
2018-02-12,25.61,22.86,22.08
2018-02-13,24.97,22.65,21.67
2018-02-14,19.26,19.34,19.75
2018-02-15,19.13,19.08,19.4
2018-02-16,19.46,19.17,19.48
2018-02-20,20.6,20.01,20.04
2018-02-21,20.02,20.03,20.14
2018-02-22,18.72,19.06,19.36
2018-02-23,16.49,17.5,18.21
2018-02-26,15.8,16.92,17.6
2018-02-27,18.59,19.02,19.26
2018-02-28,19.85,19.89,19.99
2018-03-01,22.47,21.42,21.1
2018-03-02,19.59,19.86,19.97
2018-03-05,18.73,19.21,19.52
2018-03-06,18.36,19.24,19.6
2018-03-07,17.76,18.84,19.44
2018-03-08,16.54,18.18,18.88
2018-03-09,14.64,17.01,17.95
2018-03-12,15.78,17.8,18.65
2018-03-13,16.35,18.05,18.86
2018-03-14,17.23,18.78,19.4
2018-03-15,16.59,18.21,19.11
2018-03-16,15.8,17.74,18.69
2018-03-19,19.02,19.38,19.7
2018-03-20,18.2,18.88,19.54
2018-03-21,17.86,18.71,19.49
2018-03-22,23.34,21.66,21.44
2018-03-23,24.87,22.79,22.86
2018-03-26,21.03,20.7,20.9
2018-03-27,22.5,21.94,22.0
2018-03-28,22.87,22.31,22.29
2018-03-29,19.97,20.55,21.05
2018-04-02,23.62,22.57,22.33
2018-04-03,21.1,21.02,21.26
2018-04-04,20.06,20.42,20.85
2018-04-05,18.94,19.61,20.13
2018-04-06,21.49,21.2,21.41
2018-04-09,21.77,21.23,21.29
2018-04-10,20.47,20.4,20.75
2018-04-11,20.24,20.37,20.8
2018-04-12,18.49,19.28,19.98
2018-04-13,17.41,18.55,19.35
2018-04-16,16.56,17.82,18.77
2018-04-17,15.25,16.8,18.03
2018-04-18,15.6,16.8,17.93
2018-04-19,15.96,17.12,18.21
2018-04-20,16.88,17.72,18.65
2018-04-23,16.34,17.35,18.38
2018-04-24,18.02,18.23,19.0
2018-04-25,17.84,18.23,18.99
2018-04-26,16.24,17.29,18.29
2018-04-27,15.41,17.08,18.22
2018-04-30,15.93,17.34,18.33
2018-05-01,15.49,16.91,18.08
2018-05-02,15.97,17.26,18.32
2018-05-03,15.9,17.03,18.16
2018-05-04,14.77,16.65,17.84
2018-05-07,14.75,16.65,17.89
2018-05-08,14.71,16.48,17.76
2018-05-09,13.42,15.78,17.27
2018-05-10,13.23,15.24,16.83
2018-05-11,12.65,14.82,16.57
2018-05-14,12.93,14.53,16.26
2018-05-15,14.63,15.79,17.05
2018-05-16,13.42,15.14,16.6
2018-05-17,13.43,15.02,16.63
2018-05-18,13.42,15.19,16.79
2018-05-21,13.08,14.69,16.28
2018-05-22,13.22,14.88,16.4
2018-05-23,12.58,14.48,16.19
2018-05-24,12.53,14.43,16.16
2018-05-25,13.22,14.83,16.43
2018-05-29,17.02,17.13,17.94
2018-05-30,14.94,16.0,17.26
2018-05-31,15.43,16.33,17.54
2018-06-01,13.46,15.27,16.81
2018-06-04,12.74,14.9,16.47
2018-06-05,12.4,14.72,16.31
2018-06-06,11.64,14.19,15.97
2018-06-07,12.13,14.43,16.06
2018-06-08,12.18,14.6,16.13
2018-06-11,12.35,14.55,16.12
2018-06-12,12.34,14.59,16.17
2018-06-13,12.94,14.92,16.43
2018-06-14,12.12,14.4,16.09
2018-06-15,11.98,14.42,16.32
2018-06-18,12.31,14.48,16.35
2018-06-19,13.35,15.17,16.89
2018-06-20,12.79,14.79,16.52
2018-06-21,14.64,15.87,17.2
2018-06-22,13.77,15.5,16.92
2018-06-25,17.33,17.52,18.27
2018-06-26,15.92,16.87,17.79
2018-06-27,17.91,18.05,18.66
2018-06-28,16.85,17.52,18.29
2018-06-29,16.09,17.14,18.09
2018-07-02,15.6,16.95,17.97
2018-07-03,16.14,17.35,18.23
2018-07-05,14.97,16.53,17.63
2018-07-06,13.37,15.71,17.07
2018-07-09,12.69,14.87,16.29
2018-07-10,12.64,14.71,16.11
2018-07-11,13.63,15.38,16.54
2018-07-12,12.58,14.76,16.1
2018-07-13,12.18,14.54,15.9
2018-07-16,12.83,14.85,16.1
2018-07-17,12.06,14.4,15.83
2018-07-18,12.1,14.39,15.88
2018-07-19,12.87,14.97,16.22
2018-07-20,12.86,15.08,16.41
2018-07-23,12.62,14.86,16.24
2018-07-24,12.41,14.7,16.09
2018-07-25,12.29,14.55,15.89
2018-07-26,12.14,14.4,15.87
2018-07-27,13.03,15.0,16.22
2018-07-30,14.26,15.66,16.68
2018-07-31,12.83,14.87,16.21
2018-08-01,13.15,15.22,16.41
2018-08-02,12.19,14.76,16.08
2018-08-03,11.64,14.49,15.9
2018-08-06,11.27,14.23,15.68
2018-08-07,10.93,13.93,15.41
2018-08-08,10.85,13.96,15.45
2018-08-09,11.27,14.13,15.54
2018-08-10,13.16,15.22,16.29
2018-08-13,14.78,16.21,16.97
2018-08-14,13.31,15.35,16.39
2018-08-15,14.64,16.19,16.94
2018-08-16,13.45,15.51,16.47
2018-08-17,12.64,15.17,16.26
2018-08-20,12.49,15.0,16.15
2018-08-21,12.86,15.19,16.33
2018-08-22,12.25,15.08,16.25
2018-08-23,12.41,15.06,16.28
2018-08-24,11.99,14.82,16.07
2018-08-27,12.16,14.79,16.0
2018-08-28,12.5,15.11,16.25
2018-08-29,12.25,14.95,16.2
2018-08-30,13.53,15.54,16.69
2018-08-31,12.86,15.15,16.43
2018-09-04,13.16,15.45,16.59
2018-09-05,13.91,15.92,16.93
2018-09-06,14.65,16.34,17.26
2018-09-07,14.88,16.59,17.47
2018-09-10,14.16,16.17,17.15
2018-09-11,13.22,15.54,16.64
2018-09-12,13.14,15.32,16.4
2018-09-13,12.37,14.77,15.86
2018-09-14,12.07,14.37,15.6
2018-09-17,13.68,15.28,16.1
2018-09-18,12.79,15.04,15.99
2018-09-19,11.75,14.65,15.85
2018-09-20,11.8,14.51,15.7
2018-09-21,11.68,14.58,15.9
2018-09-24,12.2,14.77,15.96
2018-09-25,12.42,14.92,16.05
2018-09-26,12.89,15.15,16.2
2018-09-27,12.41,14.89,16.07
2018-09-28,12.12,14.77,15.98
2018-10-01,12.0,14.74,15.95
2018-10-02,12.05,14.84,16.03
2018-10-03,11.61,14.68,15.96
2018-10-04,14.22,15.84,16.7
2018-10-05,14.82,16.25,17.14
2018-10-08,15.69,16.51,17.36
2018-10-09,15.95,16.63,17.4
2018-10-10,22.96,20.7,20.31
2018-10-11,24.98,21.56,20.88
2018-10-12,21.31,19.84,19.87
2018-10-15,21.3,20.29,20.27
2018-10-16,17.62,17.96,18.58
2018-10-17,17.4,18.1,18.64
2018-10-18,20.06,19.86,19.93
2018-10-19,19.89,19.84,20.03
2018-10-22,19.64,19.82,20.01
2018-10-23,20.71,20.28,20.29
2018-10-24,25.23,22.62,22.04
2018-10-25,24.22,22.44,21.84
2018-10-26,24.16,22.48,21.97
2018-10-29,24.7,23.06,22.27
2018-10-30,23.35,22.23,21.72
2018-10-31,21.23,21.15,21.0
2018-11-01,19.34,20.07,20.23
2018-11-02,19.51,20.3,20.45
2018-11-05,19.96,20.2,20.25
2018-11-06,19.91,19.58,19.7
2018-11-07,16.36,17.62,18.29
2018-11-08,16.72,17.68,18.24
2018-11-09,17.36,18.46,18.94
2018-11-12,20.45,20.23,20.16
2018-11-13,20.02,20.27,20.29
2018-11-14,21.25,21.22,21.04
2018-11-15,19.98,20.31,20.48
2018-11-16,18.14,19.35,19.82
2018-11-19,20.1,20.64,20.79
2018-11-20,22.48,22.27,22.09
2018-11-21,20.8,21.32,21.47
2018-11-23,21.52,21.75,21.79
2018-11-26,18.9,20.11,20.55
2018-11-27,19.02,19.94,20.4
2018-11-28,18.49,19.28,19.79
2018-11-29,18.79,19.59,19.92
2018-11-30,18.07,18.89,19.49
2018-12-03,16.44,17.95,18.66
2018-12-04,20.74,20.75,20.6
2018-12-06,21.19,21.06,20.83
2018-12-07,23.23,22.44,21.89
2018-12-10,22.64,22.01,21.68
2018-12-11,21.76,21.72,21.57
2018-12-12,21.46,21.59,21.57
2018-12-13,20.65,21.35,21.61
2018-12-14,21.63,21.96,22.02
2018-12-17,24.52,23.41,23.05
2018-12-18,25.58,23.9,23.39
2018-12-19,25.58,24.02,23.62
2018-12-20,28.38,25.24,24.33
2018-12-21,30.11,26.23,24.86
2018-12-24,36.07,28.84,26.36
2018-12-26,30.41,25.69,24.37
2018-12-27,29.96,25.89,24.23
2018-12-28,28.34,25.32,23.95
2018-12-31,25.42,23.73,22.93
2019-01-02,23.22,22.75,22.31
2019-01-03,25.45,24.11,23.36
2019-01-04,21.38,21.86,21.76
2019-01-07,21.4,21.62,21.53
2019-01-08,20.47,21.14,21.17
2019-01-09,19.98,20.69,20.9
2019-01-10,19.5,20.52,20.86
2019-01-11,18.19,19.74,20.35
2019-01-14,19.07,19.93,20.39
2019-01-15,18.6,19.24,19.73
2019-01-16,19.04,19.53,19.84
2019-01-17,18.06,19.17,19.62
2019-01-18,17.8,18.84,19.27
2019-01-22,20.8,20.69,20.55
2019-01-23,19.52,20.08,20.09
2019-01-24,18.89,19.67,19.85
2019-01-25,17.42,18.82,19.3
2019-01-28,18.87,19.58,19.68
2019-01-29,19.13,19.6,19.68
2019-01-30,17.66,18.68,19.04
2019-01-31,16.57,17.88,18.44
2019-02-01,16.14,17.59,18.32
2019-02-04,15.73,17.19,17.96
2019-02-05,15.57,17.07,17.79
2019-02-06,15.38,16.9,17.69
2019-02-07,16.37,17.52,18.05
2019-02-08,15.72,17.26,17.9
2019-02-11,15.97,17.22,17.85
2019-02-12,15.43,16.82,17.51
2019-02-13,15.65,16.96,17.62
