date,vix,vix_run,nav_suppressed,nav_active,nav_persist5,nav_persist10,nav_persist20
2021-01-04,26.97,1,1004525.9219399999,1001142.443,1004525.9219399999,1004525.9219399999,1004525.9219399999
2021-01-05,25.34,2,1000882.2759540888,1000188.6561815615,1000882.2759540888,1000882.2759540888,1000882.2759540888
2021-01-06,25.07,3,1001254.790688192,999660.3932777542,1001254.790688192,1001254.790688192,1001254.790688192
2021-01-07,22.37,0,1002796.8548344274,1000764.6811998992,1002796.8548344274,1002796.8548344274,1002796.8548344274
2021-01-08,21.56,0,1003609.7645127849,1001823.1897359572,1003609.7645127849,1003609.7645127849,1003609.7645127849
2021-01-11,24.08,0,1002403.264334198,999859.799097665,1002403.264334198,1002403.264334198,1002403.264334198
2021-01-12,23.33,0,1002430.3668153796,999682.2602179765,1002430.3668153796,1002430.3668153796,1002430.3668153796
2021-01-13,22.21,0,1002777.1960707804,999953.385300787,1002777.1960707804,1002777.1960707804,1002777.1960707804
2021-01-14,23.25,0,1002292.904362631,999461.693071713,1002292.904362631,1002292.904362631,1002292.904362631
2021-01-15,24.34,0,1001211.702086545,997422.2683735206,1001211.702086545,1001211.702086545,1001211.702086545
2021-01-18,24.34,0,1002588.7094652605,999634.2399196663,1002588.7094652605,1002588.7094652605,1002588.7094652605
2021-01-19,23.24,0,1002967.2184865662,1000110.267668021,1002967.2184865662,1002967.2184865662,1002967.2184865662
2021-01-20,21.58,0,1003646.9024243843,1000796.3928123257,1003646.9024243843,1003646.9024243843,1003646.9024243843
2021-01-21,21.32,0,1002532.5159117958,998668.7836627564,1002532.5159117958,1002532.5159117958,1002532.5159117958
2021-01-22,21.91,0,1000704.474689335,995888.4579467028,1000704.474689335,1000704.474689335,1000704.474689335
2021-01-25,23.19,0,998779.3211359598,992914.3378455864,998779.3211359598,998779.3211359598,998779.3211359598
2021-01-26,23.02,0,997354.1842117575,990766.0309871858,997354.1842117575,997354.1842117575,997354.1842117575
2021-01-27,37.21,1,988028.0502726552,980318.9016857034,988028.0502726552,988028.0502726552,988028.0502726552
2021-01-28,30.21,2,999979.8829614983,994162.3260064294,999979.8829614983,999979.8829614983,999979.8829614983
2021-01-29,33.09,3,993569.118036059,986243.762852162,993569.118036059,993569.118036059,993569.118036059
2021-02-01,30.24,4,999808.4875418673,992690.0423789078,999808.4875418673,999808.4875418673,999808.4875418673
2021-02-02,25.56,5,1005035.9835952529,999543.0864259668,1005035.9835952529,1005035.9835952529,1005035.9835952529
2021-02-03,22.91,0,1004120.5055661962,997574.0268165513,1004170.3320206499,1004120.5055661962,1004120.5055661962
2021-02-04,21.77,0,1007110.8844451827,1002119.202035454,1007165.8895867845,1007110.8844451827,1007110.8844451827
2021-02-05,20.87,0,1007962.2303388873,1003539.617649085,1008021.1662421372,1007962.2303388873,1007962.2303388873
2021-02-08,21.24,0,1008615.1102171744,1005065.8903290088,1008681.9006484688,1008615.1102171744,1008615.1102171744
2021-02-09,21.63,0,1009018.4211584621,1005243.0749930743,1009065.2675837616,1009018.4211584621,1009018.4211584621
2021-02-10,21.99,0,1009077.1201867844,1008035.1699534608,1009128.9992696618,1009077.1201867844,1009077.1201867844
2021-02-11,21.25,0,1009180.0385550683,1008559.4556469155,1009237.0387798052,1009180.0385550683,1009180.0385550683
2021-02-12,19.97,0,1009748.4973560518,1009125.2106307822,1009788.967723914,1009748.4973560518,1009748.4973560518
