date,ticker,open,high,low,close,volume
2018-04-25,COHR UN Equity,40.65,38.4,38.35,40.65,3430.0
2018-04-26,COHR UN Equity,39.95,39.7,38.9,38.9,3618.0
2018-04-27,COHR UN Equity,39.8,39.05,38.95,39.8,3349.0
2018-04-30,COHR UN Equity,39.15,38.1,38.1,39.05,7145.0
2018-05-01,COHR UN Equity,41.65,41.35,40.025,40.2,5119.0
2018-05-02,COHR UN Equity,45.15,43.05,41.65,41.65,18233.0
2018-05-03,COHR UN Equity,43.25,42.8,41.95,43.25,10829.0
2018-05-04,COHR UN Equity,43.55,43.15,42.4,42.8,3482.0
2018-05-07,COHR UN Equity,44.75,44.725,43.4,43.45,8149.0
2018-05-08,COHR UN Equity,45.15,43.8,43.75,44.4,11141.0
2018-05-09,COHR UN Equity,45.65,45.35,44.15,44.15,4481.0
2018-05-10,COHR UN Equity,45.65,45.65,44.7,44.7,3474.0
2018-05-11,COHR UN Equity,45.45,44.9,44.75,45.45,2447.0
2018-05-14,COHR UN Equity,45.5,44.925,44.85,45.45,4650.0
2018-05-15,COHR UN Equity,44.85,44.75,44.3,44.5,4904.0
2018-05-16,COHR UN Equity,45.6,45.6,44.7,44.8,4117.0
2018-05-17,COHR UN Equity,45.65,45.0,44.6,45.5,6338.0
2018-05-18,COHR UN Equity,44.8,44.4,44.4,44.8,3188.0
2018-05-21,COHR UN Equity,45.9,44.9,44.7,45.15,3291.0
2018-05-22,COHR UN Equity,45.55,45.4,44.9,45.0,3002.0
2018-05-23,COHR UN Equity,45.35,45.35,45.05,45.15,2086.0
2018-05-24,COHR UN Equity,45.6,44.9,44.875,45.4,2769.0
2018-05-25,COHR UN Equity,45.5,45.2,44.7,44.7,4226.0
2018-05-29,COHR UN Equity,45.55,44.6,44.6,45.35,4543.0
2018-05-30,COHR UN Equity,44.975,44.1,43.7,44.65,6970.0
2018-05-31,COHR UN Equity,44.55,43.9,43.65,44.55,5658.0
2018-06-01,COHR UN Equity,46.0,46.0,44.3,44.4,5818.0
2018-06-04,COHR UN Equity,46.85,46.45,45.7,46.05,9502.0
2018-06-05,COHR UN Equity,47.35,47.05,46.6,47.35,2788.0
2018-06-06,COHR UN Equity,47.35,47.35,46.05,47.05,2903.0
2018-06-07,COHR UN Equity,47.5,47.0,46.4,47.5,2073.0
2018-06-08,COHR UN Equity,47.95,47.85,46.5,46.5,7944.0
2018-06-11,COHR UN Equity,48.2,48.05,47.55,47.75,3788.0
2018-06-12,COHR UN Equity,48.65,48.65,48.0,48.35,4687.0
2018-06-13,COHR UN Equity,49.15,48.35,48.35,48.6,2992.0
2018-06-14,COHR UN Equity,49.0,48.15,47.8,48.55,10879.0
2018-06-15,COHR UN Equity,47.55,46.55,46.5,47.45,8631.0
2018-06-18,COHR UN Equity,47.4,47.1,46.15,46.15,7688.0
2018-06-19,COHR UN Equity,46.8,46.6,45.5,46.75,4519.0
2018-06-20,COHR UN Equity,47.85,47.3,46.45,46.95,7053.0
2018-06-21,COHR UN Equity,47.95,47.85,47.35,47.35,4918.0
2018-06-22,COHR UN Equity,47.65,47.2,46.8,47.5,3142.0
2018-06-25,COHR UN Equity,45.95,43.75,43.5,45.95,21151.0
2018-06-26,COHR UN Equity,45.75,45.6,43.7,43.7,5875.0
2018-06-27,COHR UN Equity,46.05,44.35,44.3,45.7,7055.0
2018-06-28,COHR UN Equity,44.4,43.55,43.4,44.4,6788.0
2018-06-29,COHR UN Equity,44.4,43.4,43.1,43.5,9686.0
2018-07-02,COHR UN Equity,42.95,42.3,41.7,42.2,9355.0
2018-07-03,COHR UN Equity,41.75,40.7,40.7,41.75,10058.0
2018-07-05,COHR UN Equity,42.15,42.05,41.1,41.5,9311.0
2018-07-06,COHR UN Equity,42.5,42.0,41.5,42.4,7598.0
2018-07-09,COHR UN Equity,43.0,43.0,42.0,42.6,9622.0
2018-07-10,COHR UN Equity,43.5,43.2,43.1,43.2,8496.0
2018-07-11,COHR UN Equity,43.3,42.7,42.65,42.9,3075.0
2018-07-12,COHR UN Equity,44.0,43.7,42.9,42.95,6517.0
2018-07-13,COHR UN Equity,44.2,43.4,43.4,43.85,3642.0
2018-07-16,COHR UN Equity,43.85,43.2,43.05,43.55,2565.0
2018-07-17,COHR UN Equity,44.25,44.15,43.15,43.15,2835.0
2018-07-18,COHR UN Equity,45.3,44.9,44.55,44.6,6873.0
2018-07-19,COHR UN Equity,45.25,45.0,44.75,44.9,4880.0
2018-07-20,COHR UN Equity,44.1,43.8,43.75,43.95,4069.0
2018-07-23,COHR UN Equity,45.05,44.825,43.4,43.6,4675.0
2018-07-24,COHR UN Equity,45.75,44.9,44.5,45.55,3128.0
2018-07-25,COHR UN Equity,45.6,45.45,44.8,45.4,4043.0
2018-07-26,COHR UN Equity,46.2,45.9,45.35,45.35,5704.0
2018-07-27,COHR UN Equity,45.6,44.9,44.8,45.5,8007.0
2018-07-30,COHR UN Equity,44.95,42.2,42.15,44.95,8188.0
2018-07-31,COHR UN Equity,41.65,39.2,38.5,41.25,23268.0
2018-08-01,COHR UN Equity,40.95,39.55,38.65,40.9,10334.0
2018-08-02,COHR UN Equity,39.5,39.1,38.95,39.5,6891.0
2018-08-03,COHR UN Equity,40.0,38.9,38.5,39.5,13032.0
2018-08-06,COHR UN Equity,40.4,40.35,39.45,40.0,7925.0
2018-08-07,COHR UN Equity,46.1,45.35,43.3,43.3,23985.0
2018-08-08,COHR UN Equity,45.8,43.95,43.55,45.45,5064.0
2018-08-09,COHR UN Equity,45.1,44.8,44.5,44.6,8322.0
2018-08-10,COHR UN Equity,45.55,45.25,44.3,44.3,6959.0
2018-08-13,COHR UN Equity,45.85,44.8,44.8,45.85,2415.0
2018-08-14,COHR UN Equity,45.8,45.6,44.75,44.75,2089.0
2018-08-15,COHR UN Equity,45.35,45.2,44.8,45.25,4683.0
2018-08-16,COHR UN Equity,45.85,45.8,45.2,45.2,1857.0
2018-08-17,COHR UN Equity,45.85,45.65,45.6,45.6,1387.0
2018-08-20,COHR UN Equity,45.95,45.75,45.4,45.4,1991.0
2018-08-21,COHR UN Equity,46.8,46.7,46.3,46.65,1595.0
2018-08-22,COHR UN Equity,47.35,47.2,46.05,46.45,2200.0
2018-08-23,COHR UN Equity,48.2,47.775,47.25,47.35,5231.0
2018-08-24,COHR UN Equity,48.45,47.825,47.75,48.0,5282.0
2018-08-27,COHR UN Equity,48.85,48.6,48.45,48.85,5524.0
2018-08-28,COHR UN Equity,49.9,49.875,49.5,49.6,3401.0
2018-08-29,COHR UN Equity,50.0,50.0,49.6,49.7,3119.0
2018-08-30,COHR UN Equity,50.55,50.45,49.85,49.85,2506.0
2018-08-31,COHR UN Equity,50.2,49.75,49.65,50.2,2756.0
2018-09-04,COHR UN Equity,48.55,48.25,47.15,47.15,4565.0
2018-09-05,COHR UN Equity,48.4,48.25,47.8,47.8,2507.0
2018-09-06,COHR UN Equity,48.05,47.25,47.15,48.05,4481.0
2018-09-07,COHR UN Equity,48.05,46.95,46.95,47.35,2767.0
2018-09-10,COHR UN Equity,48.15,47.35,47.25,47.5,4427.0
2018-09-11,COHR UN Equity,47.1,47.05,46.6,47.05,3833.0
2018-09-12,COHR UN Equity,47.5,47.05,46.1,46.7,4225.0
2018-09-13,COHR UN Equity,47.2,47.05,46.9,47.0,1635.0
2018-09-14,COHR UN Equity,47.85,47.575,47.0,47.0,1956.0
2018-09-17,COHR UN Equity,48.05,47.775,47.25,47.35,3094.0
2018-09-18,COHR UN Equity,48.95,48.3,48.25,48.25,3692.0
2018-09-19,COHR UN Equity,48.4,47.85,47.75,48.4,2662.0
2018-09-20,COHR UN Equity,48.2,48.2,46.2,46.45,6311.0
2018-09-21,COHR UN Equity,48.05,48.0,47.7,47.8,967.0
2018-09-24,COHR UN Equity,48.6,48.35,47.7,47.8,6891.0
2018-09-25,COHR UN Equity,48.95,48.85,48.65,48.75,2277.0
2018-09-26,COHR UN Equity,48.4,46.2,46.2,48.4,5230.0
2018-09-27,COHR UN Equity,47.0,46.85,46.05,46.6,5351.0
2018-09-28,COHR UN Equity,47.35,47.25,46.95,47.15,2472.0
2018-10-01,COHR UN Equity,47.95,46.62,46.43,47.15,7819.0
2018-10-02,COHR UN Equity,46.99,45.22,45.17,46.93,9664.0
2018-10-03,COHR UN Equity,46.27,45.96,44.65,45.25,3997.0
2018-10-04,COHR UN Equity,45.67,43.38,43.34,45.67,16034.0
2018-10-05,COHR UN Equity,43.08,39.87,39.58,42.3,17211.0
2018-10-08,COHR UN Equity,40.45,39.92,38.9,39.55,17552.0
2018-10-09,COHR UN Equity,40.4,39.2,38.86,40.24,12243.0
2018-10-10,COHR UN Equity,38.85,37.4,37.11,37.9,11799.0
2018-10-11,COHR UN Equity,38.97,37.55,37.55,37.68,7466.0
