date,ticker,open,high,low,close,volume
2018-01-02,CPB UN Equity,48.31,47.39,47.21,48.2,507863.0
2018-01-03,CPB UN Equity,47.53,46.72,46.71,47.43,453452.0
2018-01-04,CPB UN Equity,47.28,47.11,46.76,46.87,533860.0
2018-01-05,CPB UN Equity,47.52,47.29,46.92,47.25,320807.0
2018-01-08,CPB UN Equity,47.67,47.63,47.21,47.27,361288.0
2018-01-09,CPB UN Equity,47.52,47.3,47.18,47.26,497189.0
2018-01-10,CPB UN Equity,46.91,45.82,45.58,46.76,564786.0
2018-01-11,CPB UN Equity,46.06,45.75,45.66,45.93,331359.0
2018-01-12,CPB UN Equity,45.93,45.51,45.27,45.78,382834.0
2018-01-16,CPB UN Equity,47.09,46.44,46.23,46.97,691366.0
2018-01-17,CPB UN Equity,47.6,46.96,46.74,46.87,488500.0
2018-01-18,CPB UN Equity,46.82,46.25,46.22,46.82,405985.0
2018-01-19,CPB UN Equity,47.39,47.39,46.28,46.42,590210.0
2018-01-22,CPB UN Equity,47.96,47.65,47.46,47.47,660848.0
2018-01-23,CPB UN Equity,47.75,47.57,47.22,47.52,342390.0
2018-01-24,CPB UN Equity,47.8,47.1,46.96,47.79,1386745.0
2018-01-25,CPB UN Equity,47.6,47.46,46.99,47.28,306390.0
2018-01-26,CPB UN Equity,47.76,47.34,47.025,47.66,347737.0
2018-01-29,CPB UN Equity,47.43,46.95,46.93,47.2,431609.0
2018-01-30,CPB UN Equity,47.16,46.4,46.25,46.84,462456.0
2018-01-31,CPB UN Equity,46.9,46.55,46.13,46.47,524798.0
2018-02-01,CPB UN Equity,47.13,46.78,46.12,46.46,426971.0
2018-02-02,CPB UN Equity,46.47,44.6,44.45,46.47,751946.0
2018-02-05,CPB UN Equity,45.26,44.22,44.2,44.36,896440.0
2018-02-06,CPB UN Equity,45.35,45.14,43.5,43.6,880350.0
2018-02-07,CPB UN Equity,45.79,44.8,44.78,45.0,402244.0
2018-02-08,CPB UN Equity,45.72,44.83,44.82,44.98,561549.0
2018-02-09,CPB UN Equity,46.07,45.73,44.91,45.26,515221.0
2018-02-12,CPB UN Equity,46.69,46.31,45.98,46.03,507344.0
2018-02-13,CPB UN Equity,46.87,46.65,45.93,46.11,437870.0
2018-02-14,CPB UN Equity,47.511,46.96,46.25,46.29,704765.0
2018-02-15,CPB UN Equity,48.09,47.7,46.12,47.0,642454.0
2018-02-16,CPB UN Equity,46.66,46.17,45.47,46.23,1258821.0
2018-02-20,CPB UN Equity,46.51,46.08,45.75,46.19,566746.0
2018-02-21,CPB UN Equity,46.39,42.9,42.82,46.11,1593458.0
2018-02-22,CPB UN Equity,44.43,43.96,43.09,43.09,817910.0
2018-02-23,CPB UN Equity,44.3,44.12,43.52,44.13,580237.0
2018-02-26,CPB UN Equity,44.73,44.37,43.98,44.17,457572.0
2018-02-27,CPB UN Equity,44.81,43.94,43.94,44.42,548234.0
2018-02-28,CPB UN Equity,44.07,43.05,43.05,44.07,961566.0
2018-03-01,CPB UN Equity,43.2,42.28,42.0,42.55,1078605.0
2018-03-02,CPB UN Equity,43.01,42.02,41.9,42.07,949139.0
2018-03-05,CPB UN Equity,43.62,43.52,41.78,41.81,1100030.0
2018-03-06,CPB UN Equity,43.94,43.9,43.27,43.57,487984.0
2018-03-07,CPB UN Equity,43.54,43.08,42.51,43.32,754373.0
