date,ticker,open,high,low,close,volume
2025-01-02,DPZ UW Equity,435.77,434.93,421.6,421.6,216366.0
2025-01-03,DPZ UW Equity,440.12,438.08,433.38,436.92,214266.0
2025-01-06,DPZ UW Equity,440.73,424.5,424.0,440.73,218050.0
2025-01-07,DPZ UW Equity,420.65,410.9,409.03,419.88,287378.0
2025-01-08,DPZ UW Equity,414.5,412.69,408.0,411.52,166200.0
2025-01-10,DPZ UW Equity,410.0,402.33,401.975,410.0,194430.0
2025-01-13,DPZ UW Equity,411.0,410.14,397.12,401.25,243207.0
2025-01-14,DPZ UW Equity,419.0,416.08,412.08,412.08,179706.0
2025-01-15,DPZ UW Equity,423.82,413.93,410.16,420.79,159763.0
2025-01-16,DPZ UW Equity,422.53,418.91,411.9,413.93,199522.0
2025-01-17,DPZ UW Equity,427.71,427.35,420.41,424.16,209199.0
2025-01-21,DPZ UW Equity,441.09,440.8,429.25,429.25,256578.0
2025-01-22,DPZ UW Equity,442.865,442.12,433.45,441.78,185577.0
2025-01-23,DPZ UW Equity,448.08,447.76,439.19,441.57,178841.0
2025-01-24,DPZ UW Equity,447.76,434.23,433.15,447.76,196869.0
2025-01-27,DPZ UW Equity,438.94,431.15,425.33,431.11,201635.0
2025-01-28,DPZ UW Equity,436.46,429.81,429.01,430.0,149450.0
2025-01-29,DPZ UW Equity,432.145,427.78,424.56,429.81,152705.0
2025-01-30,DPZ UW Equity,470.5,450.8,440.02,441.65,308523.0
2025-01-31,DPZ UW Equity,455.49,449.12,448.445,449.46,170171.0
2025-02-03,DPZ UW Equity,460.12,455.85,443.02,445.23,250647.0
2025-02-04,DPZ UW Equity,467.0,465.93,451.48,451.48,200588.0
2025-02-05,DPZ UW Equity,466.96,454.75,451.07,466.07,249535.0
2025-02-06,DPZ UW Equity,471.13,470.56,454.88,454.88,147354.0
2025-02-07,DPZ UW Equity,470.5,466.74,464.17,467.77,146278.0
2025-02-10,DPZ UW Equity,478.98,474.94,467.61,469.47,141216.0
2025-02-11,DPZ UW Equity,474.63,474.06,465.96,469.51,120889.0
2025-02-12,DPZ UW Equity,471.96,471.47,465.82,469.67,148655.0
2025-02-13,DPZ UW Equity,482.73,479.88,472.0,473.99,166637.0
2025-02-14,DPZ UW Equity,481.93,476.66,474.36,480.05,114452.0
2025-02-18,DPZ UW Equity,485.25,477.53,476.43,484.64,255409.0
2025-02-19,DPZ UW Equity,478.91,475.35,470.15,475.94,172176.0
2025-02-20,DPZ UW Equity,475.285,471.76,468.31,473.0,180245.0
2025-02-21,DPZ UW Equity,473.0,462.37,459.09,472.74,274039.0
2025-02-24,DPZ UW Equity,459.89,455.64,431.59,440.91,421386.0
2025-02-25,DPZ UW Equity,475.91,470.14,449.95,450.14,290595.0
2025-02-26,DPZ UW Equity,484.36,479.11,466.47,473.14,278490.0
2025-02-27,DPZ UW Equity,487.6,482.28,477.22,482.53,175999.0
2025-02-28,DPZ UW Equity,490.3,489.71,484.28,484.47,239300.0
2025-03-03,DPZ UW Equity,500.17,483.82,479.64,498.0,282455.0
2025-03-04,DPZ UW Equity,488.385,481.77,477.31,480.95,259456.0
2025-03-05,DPZ UW Equity,480.88,476.18,469.875,475.1,258252.0
2025-03-06,DPZ UW Equity,480.96,480.24,466.86,469.67,229297.0
2025-03-07,DPZ UW Equity,484.28,472.05,459.48,480.5,249574.0
2025-03-10,DPZ UW Equity,465.655,440.03,437.0,464.9,364594.0
2025-03-11,DPZ UW Equity,443.2,430.56,426.99,443.2,286414.0
2025-03-12,DPZ UW Equity,440.85,438.71,426.84,433.56,306441.0
2025-03-13,DPZ UW Equity,438.53,428.67,427.82,437.0,219953.0
2025-03-14,DPZ UW Equity,433.01,425.58,420.37,433.01,226053.0
2025-03-17,DPZ UW Equity,451.0,449.6,428.0,428.0,241634.0
2025-03-18,DPZ UW Equity,453.51,452.68,445.35,448.07,228857.0
2025-03-19,DPZ UW Equity,463.77,461.67,453.07,454.31,174106.0
2025-03-20,DPZ UW Equity,470.0,466.05,461.46,462.0,186866.0
2025-03-21,DPZ UW Equity,464.04,461.4,456.96,460.96,316597.0
2025-03-24,DPZ UW Equity,468.52,466.04,452.21,468.52,311782.0
2025-03-25,DPZ UW Equity,468.24,460.27,455.48,467.23,245216.0
2025-03-26,DPZ UW Equity,468.81,466.84,457.61,460.9,283140.0
2025-03-27,DPZ UW Equity,473.665,471.28,463.91,466.17,236055.0
2025-03-28,DPZ UW Equity,468.37,447.12,446.86,468.37,230764.0
2025-03-31,DPZ UW Equity,461.15,459.45,440.33,444.36,230882.0
2025-04-01,DPZ UW Equity,465.88,465.47,456.53,459.26,163485.0
2025-04-02,DPZ UW Equity,470.04,468.35,460.43,462.18,172636.0
2025-04-03,DPZ UW Equity,475.96,463.78,455.85,455.85,219846.0
2025-04-04,DPZ UW Equity,454.72,444.21,433.68,453.66,328066.0
2025-04-07,DPZ UW Equity,453.19,436.57,419.585,434.3,308232.0
2025-04-08,DPZ UW Equity,453.96,430.72,428.34,448.3,244960.0
2025-04-09,DPZ UW Equity,459.95,456.35,426.24,428.24,384698.0
