date,ticker,open,high,low,close,volume
2025-05-30,KMB UW Equity,144.23,143.76,143.06,143.06,1860108.0
2025-06-02,KMB UW Equity,143.6,141.68,141.15,143.6,893611.0
2025-06-03,KMB UW Equity,141.02,139.5,139.47,140.94,715345.0
2025-06-04,KMB UW Equity,140.35,138.43,138.28,139.44,771815.0
2025-06-05,KMB UW Equity,136.795,135.3,133.32,136.75,967414.0
2025-06-06,KMB UW Equity,134.46,133.55,133.31,134.16,1074982.0
2025-06-09,KMB UW Equity,134.19,132.69,132.64,133.55,820938.0
2025-06-10,KMB UW Equity,133.74,133.04,132.18,132.53,737158.0
2025-06-11,KMB UW Equity,133.615,132.85,132.39,133.01,680138.0
2025-06-12,KMB UW Equity,133.92,133.89,132.52,133.24,566447.0
2025-06-13,KMB UW Equity,133.9,130.84,130.58,133.76,666232.0
2025-06-16,KMB UW Equity,131.83,130.67,130.41,131.09,650615.0
2025-06-17,KMB UW Equity,130.29,128.93,128.79,130.0,1468904.0
2025-06-18,KMB UW Equity,128.93,127.96,127.77,128.85,1505171.0
2025-06-20,KMB UW Equity,128.79,128.29,127.75,127.96,3247305.0
2025-06-23,KMB UW Equity,130.46,130.13,128.25,128.31,1851377.0
2025-06-24,KMB UW Equity,130.28,129.95,129.53,129.94,1581034.0
2025-06-25,KMB UW Equity,129.67,128.15,127.78,129.67,777079.0
2025-06-26,KMB UW Equity,128.21,126.84,126.31,128.04,859925.0
2025-06-27,KMB UW Equity,128.5,127.89,126.88,126.88,852658.0
2025-06-30,KMB UW Equity,129.29,128.92,127.715,127.95,792212.0
2025-07-01,KMB UW Equity,132.49,131.61,129.69,129.69,1007244.0
2025-07-02,KMB UW Equity,132.48,132.36,131.01,131.73,801450.0
2025-07-03,KMB UW Equity,132.73,132.12,131.49,132.73,414119.0
2025-07-07,KMB UW Equity,132.96,131.65,131.215,132.23,750519.0
2025-07-08,KMB UW Equity,131.98,131.4,130.41,131.04,737759.0
2025-07-09,KMB UW Equity,131.79,131.49,130.3,131.53,502296.0
2025-07-10,KMB UW Equity,133.04,131.95,130.545,131.43,761502.0
2025-07-11,KMB UW Equity,131.95,129.38,129.24,131.95,655948.0
2025-07-14,KMB UW Equity,129.29,127.46,125.17,129.24,1019560.0
2025-07-15,KMB UW Equity,127.87,126.75,126.2,127.44,834711.0
2025-07-16,KMB UW Equity,127.67,127.63,126.33,126.89,743133.0
2025-07-17,KMB UW Equity,128.22,127.91,126.34,127.0,726452.0
2025-07-18,KMB UW Equity,128.535,127.53,127.11,128.38,2576741.0
2025-07-21,KMB UW Equity,127.765,126.71,126.54,127.28,880616.0
2025-07-22,KMB UW Equity,129.14,128.89,126.7,126.77,773972.0
