date,ticker,open,high,low,close,volume
2018-01-02,LITE UW Equity,50.35,50.15,48.6,49.35,327242.0
2018-01-03,LITE UW Equity,51.25,50.9,49.85,51.15,268779.0
2018-01-04,LITE UW Equity,51.6,50.2,49.1,51.3,386698.0
2018-01-05,LITE UW Equity,51.275,51.1,49.5,50.4,294349.0
2018-01-08,LITE UW Equity,52.05,51.75,50.4,51.1,339995.0
2018-01-09,LITE UW Equity,51.8,50.45,50.1,51.8,477379.0
2018-01-10,LITE UW Equity,51.85,51.65,50.55,51.85,477263.0
2018-01-11,LITE UW Equity,53.625,53.0,51.7,51.7,426694.0
2018-01-12,LITE UW Equity,53.8,53.2,52.25,53.45,339505.0
2018-01-16,LITE UW Equity,53.4,51.65,50.65,53.2,591727.0
2018-01-17,LITE UW Equity,52.375,51.5,50.65,51.65,323639.0
2018-01-18,LITE UW Equity,51.8,51.7,50.2,51.15,276395.0
2018-01-19,LITE UW Equity,51.8,48.85,48.625,51.8,676401.0
2018-01-22,LITE UW Equity,48.1,45.2,44.35,48.05,1528155.0
2018-01-23,LITE UW Equity,45.7,44.1,43.2,45.65,979916.0
2018-01-24,LITE UW Equity,44.55,44.45,42.65,43.85,723101.0
2018-01-25,LITE UW Equity,44.95,44.5,43.8,44.5,568483.0
2018-01-26,LITE UW Equity,44.65,44.25,43.8,44.2,338799.0
2018-01-29,LITE UW Equity,45.9,44.35,44.025,45.35,557720.0
2018-01-30,LITE UW Equity,46.0,44.95,43.85,43.85,392625.0
2018-01-31,LITE UW Equity,46.55,46.3,45.3,46.2,592597.0
2018-02-01,LITE UW Equity,48.45,47.9,45.8,46.0,736929.0
2018-02-02,LITE UW Equity,47.825,44.85,44.55,47.8,693626.0
2018-02-05,LITE UW Equity,45.7,42.6,42.0,44.5,738427.0
2018-02-06,LITE UW Equity,52.35,51.65,46.1,46.5,2583948.0
2018-02-07,LITE UW Equity,55.95,53.6,52.2,52.5,1379777.0
2018-02-08,LITE UW Equity,56.9,55.4,53.75,53.75,1183357.0
2018-02-09,LITE UW Equity,57.7,57.2,54.75,55.85,1212310.0
2018-02-12,LITE UW Equity,58.2,56.9,55.65,57.8,619629.0
2018-02-13,LITE UW Equity,57.9,57.55,54.8,55.05,686482.0
2018-02-14,LITE UW Equity,57.95,57.1,56.55,56.75,561649.0
2018-02-15,LITE UW Equity,58.5,58.45,56.25,57.35,464310.0
2018-02-16,LITE UW Equity,59.2,59.05,57.6,58.05,478721.0
2018-02-20,LITE UW Equity,59.55,58.75,58.4,58.5,342910.0
2018-02-21,LITE UW Equity,59.95,58.8,58.45,58.8,303210.0
2018-02-22,LITE UW Equity,59.3,58.1,57.8,58.55,277863.0
2018-02-23,LITE UW Equity,59.6,59.4,57.55,58.3,288870.0
2018-02-26,LITE UW Equity,60.6,60.55,59.25,59.5,307757.0
2018-02-27,LITE UW Equity,60.85,60.1,59.65,60.3,271996.0
2018-02-28,LITE UW Equity,62.025,61.0,59.3,60.0,446760.0
2018-03-01,LITE UW Equity,62.45,61.55,60.7,61.3,393525.0
2018-03-02,LITE UW Equity,63.7,63.275,60.7,61.05,399833.0
2018-03-05,LITE UW Equity,64.7,63.9,62.75,63.15,434736.0
2018-03-06,LITE UW Equity,65.7,65.3,63.6,64.55,392776.0
2018-03-07,LITE UW Equity,66.0,65.3,64.3,64.4,351263.0
2018-03-08,LITE UW Equity,67.375,65.35,64.85,65.4,337220.0
2018-03-09,LITE UW Equity,69.25,68.975,65.75,65.9,532742.0
2018-03-12,LITE UW Equity,74.35,72.0,70.4,71.0,1292814.0
2018-03-13,LITE UW Equity,73.5,71.9,71.2,72.55,451655.0
2018-03-14,LITE UW Equity,73.85,73.2,71.55,72.0,434287.0
2018-03-15,LITE UW Equity,74.05,71.2,70.3,73.75,512453.0
2018-03-16,LITE UW Equity,71.5,69.95,69.2,71.3,816339.0
2018-03-19,LITE UW Equity,70.6,69.05,67.075,69.3,362722.0
2018-03-20,LITE UW Equity,70.9,69.4,68.85,69.45,242749.0
2018-03-21,LITE UW Equity,71.45,69.8,69.1,69.1,304877.0
2018-03-22,LITE UW Equity,70.9,69.05,68.9,69.1,330300.0
2018-03-23,LITE UW Equity,69.5,67.35,67.35,68.8,886178.0
2018-03-26,LITE UW Equity,69.2,67.95,67.15,68.5,327240.0
2018-03-27,LITE UW Equity,69.5,66.4,65.85,68.25,437041.0
2018-03-28,LITE UW Equity,65.0,62.2,62.05,64.55,715583.0
2018-03-29,LITE UW Equity,64.4,63.8,61.55,62.5,558828.0
2018-04-02,LITE UW Equity,64.1,61.5,60.8,63.1,422289.0
2018-04-03,LITE UW Equity,62.475,60.4,60.05,61.85,6614711.0
2018-04-04,LITE UW Equity,62.5,62.3,58.5,59.0,640260.0
2018-04-05,LITE UW Equity,64.35,60.5,60.5,63.25,706642.0
2018-04-06,LITE UW Equity,61.0,59.15,58.2,60.0,497551.0
2018-04-09,LITE UW Equity,60.75,59.3,58.5,59.85,310484.0
2018-04-10,LITE UW Equity,61.1,60.75,59.9,60.35,288924.0
2018-04-11,LITE UW Equity,63.925,63.5,60.75,60.75,379366.0
