date,hist_put_imp_vol,hist_call_imp_vol,volatility_30d,volatility_60d,volatility_90d,volatility_260d,ticker
2018-01-02,57.2945,57.2945,55.674,50.584,49.191,52.33,LITE UW
2018-01-03,60.8195,60.8195,55.861,50.714,49.228,52.349,LITE UW
2018-01-04,58.3569,58.3569,55.242,50.715,49.276,52.359,LITE UW
2018-01-05,54.7719,54.7719,55.329,50.878,49.356,52.367,LITE UW
2018-01-08,60.0966,60.0966,55.57,50.825,49.343,52.359,LITE UW
2018-01-09,62.3491,62.3491,55.1,50.9,49.517,52.236,LITE UW
2018-01-10,60.7545,60.7545,55.653,50.714,49.68,52.283,LITE UW
2018-01-11,52.201,52.201,53.718,51.009,49.803,52.311,LITE UW
2018-01-12,63.3929,63.3929,53.734,50.99,49.802,52.181,LITE UW
2018-01-16,60.7664,60.7664,53.502,51.323,50.029,52.269,LITE UW
2018-01-17,60.4341,60.4341,43.118,51.324,49.95,52.22,LITE UW
2018-01-18,59.3104,59.3104,43.109,49.552,49.534,52.215,LITE UW
2018-01-19,60.1071,60.1071,46.387,49.092,50.315,52.533,LITE UW
2018-01-22,64.0596,64.0596,50.133,51.223,51.711,53.036,LITE UW
2018-01-23,64.7531,64.7531,49.993,51.338,51.619,53.031,LITE UW
2018-01-24,65.0141,65.0141,43.674,51.226,51.637,53.015,LITE UW
2018-01-25,64.5277,64.5277,42.917,50.549,51.204,53.01,LITE UW
2018-01-26,65.4059,65.4059,42.284,50.392,51.205,52.85,LITE UW
2018-01-29,68.9251,68.9251,42.0,50.402,50.705,52.846,LITE UW
2018-01-30,70.2261,70.2261,41.459,48.586,50.58,52.85,LITE UW
2018-01-31,68.0609,68.0609,42.675,49.05,50.87,52.928,LITE UW
2018-02-01,64.6125,64.6125,43.614,49.313,50.239,52.981,LITE UW
2018-02-02,69.9345,69.9345,47.178,50.851,51.335,52.622,LITE UW
2018-02-05,76.1312,76.1312,49.071,51.473,50.106,52.836,LITE UW
2018-02-06,58.3186,58.3186,77.488,65.768,60.223,56.193,LITE UW
2018-02-07,55.9754,55.9754,75.995,65.93,60.512,56.298,LITE UW
2018-02-08,61.3016,61.3016,76.533,66.289,60.652,56.354,LITE UW
2018-02-09,61.3642,61.3642,76.627,66.281,60.807,56.354,LITE UW
2018-02-12,57.0788,57.0788,76.652,66.248,60.64,56.357,LITE UW
2018-02-13,53.5726,53.5726,76.428,66.142,60.623,56.36,LITE UW
2018-02-14,51.5466,51.5466,76.452,66.16,59.817,56.314,LITE UW
2018-02-15,49.7142,49.7142,76.459,66.324,59.953,56.356,LITE UW
2018-02-16,49.1617,49.1617,76.377,66.174,59.931,56.26,LITE UW
2018-02-20,49.1084,49.1084,76.397,66.098,59.935,54.722,LITE UW
2018-02-21,48.5204,48.5204,75.847,66.098,59.871,54.7,LITE UW
2018-02-22,48.3498,48.3498,75.8,65.702,59.793,54.688,LITE UW
2018-02-23,48.938,48.938,75.71,65.788,59.611,54.563,LITE UW
2018-02-26,46.898,46.898,75.847,64.713,59.687,54.564,LITE UW
2018-02-27,45.951,45.951,75.212,64.741,59.694,54.526,LITE UW
2018-02-28,45.7159,45.7159,75.222,64.344,59.723,54.343,LITE UW
2018-03-01,47.0582,47.0582,75.225,60.292,59.737,54.328,LITE UW
2018-03-02,46.9666,46.9666,72.899,60.478,59.0,54.326,LITE UW
2018-03-05,48.008,48.008,67.777,60.319,58.165,54.025,LITE UW
2018-03-06,46.8367,46.8367,66.869,59.821,58.072,54.026,LITE UW
2018-03-07,47.7374,47.7374,66.973,59.727,58.068,53.989,LITE UW
2018-03-08,46.802,46.802,66.979,57.771,58.013,53.906,LITE UW
2018-03-09,45.5074,45.5074,67.792,58.192,58.457,54.147,LITE UW
2018-03-12,46.0073,46.0073,68.158,58.276,58.726,54.149,LITE UW
2018-03-13,45.1968,45.1968,68.368,58.279,58.728,53.939,LITE UW
2018-03-14,46.5265,46.5265,68.245,58.211,57.428,53.93,LITE UW
2018-03-15,45.7745,45.7745,69.211,58.632,57.651,54.003,LITE UW
2018-03-16,45.0637,45.0637,65.482,58.742,57.443,54.012,LITE UW
2018-03-19,46.2029,46.2029,62.794,58.847,57.315,53.981,LITE UW
2018-03-20,44.6129,44.6129,31.1,58.766,57.197,53.979,LITE UW
2018-03-21,45.5684,45.5684,29.981,58.682,56.863,53.98,LITE UW
2018-03-22,46.3557,46.3557,29.603,57.111,56.706,53.946,LITE UW
2018-03-23,48.2575,48.2575,30.15,57.468,56.882,53.852,LITE UW
2018-03-26,50.3611,50.3611,29.972,57.219,56.583,53.564,LITE UW
2018-03-27,48.935,48.935,31.163,57.507,56.723,53.191,LITE UW
2018-03-28,56.8783,56.8783,37.47,59.21,57.771,53.597,LITE UW
2018-03-29,49.9929,49.9929,37.577,59.341,57.919,53.65,LITE UW
2018-04-02,59.4823,59.4823,39.329,59.838,58.267,53.758,LITE UW
2018-04-03,60.1866,60.1866,39.717,59.926,58.22,53.461,LITE UW
2018-04-04,57.8921,57.8921,40.721,60.183,58.4,53.547,LITE UW
2018-04-05,59.9135,59.9135,41.595,60.271,58.62,53.499,LITE UW
2018-04-06,59.1252,59.1252,41.68,60.347,58.415,53.536,LITE UW
2018-04-09,59.6182,59.6182,41.259,60.138,58.359,53.528,LITE UW
2018-04-10,58.4381,58.4381,41.861,60.319,57.631,53.537,LITE UW
2018-04-11,59.525,59.525,43.693,60.564,58.096,53.716,LITE UW
2018-04-12,57.7164,57.7164,43.745,60.573,57.79,53.722,LITE UW
2018-04-13,62.4853,62.4853,42.986,60.576,54.866,53.6,LITE UW
2018-04-16,60.7354,60.7354,51.496,62.778,57.387,54.412,LITE UW
2018-04-17,54.9743,54.9743,54.166,61.394,58.067,54.465,LITE UW
2018-04-18,52.9353,52.9353,54.476,61.109,57.666,54.451,LITE UW
2018-04-19,54.7882,54.7882,56.297,62.18,58.246,54.651,LITE UW
2018-04-20,56.3997,56.3997,53.654,62.402,56.961,54.644,LITE UW
2018-04-23,59.4994,59.4994,55.67,64.73,58.244,55.115,LITE UW
2018-04-24,59.3072,59.3072,56.246,64.802,58.096,55.043,LITE UW
2018-04-25,63.657,63.657,59.424,67.092,59.677,55.631,LITE UW
2018-04-26,61.6343,61.6343,59.646,66.869,59.571,55.608,LITE UW
2018-04-27,60.1307,60.1307,59.929,66.871,59.806,55.696,LITE UW
2018-04-30,60.9278,60.9278,60.127,65.345,59.71,55.435,LITE UW
2018-05-01,60.0895,60.0895,62.074,64.879,60.145,55.555,LITE UW
2018-05-02,47.8818,47.8818,70.89,55.369,62.767,56.465,LITE UW
2018-05-03,46.7783,46.7783,70.911,54.864,62.736,56.262,LITE UW
2018-05-04,45.1005,45.1005,70.735,54.46,61.828,56.264,LITE UW
2018-05-07,45.8902,45.8902,71.977,54.739,62.192,55.765,LITE UW
2018-05-08,45.1833,45.1833,72.542,55.14,62.297,55.857,LITE UW
2018-05-09,44.32,44.32,69.79,55.102,62.289,55.797,LITE UW
2018-05-10,44.03,44.03,69.385,55.082,62.183,55.763,LITE UW
2018-05-11,44.2395,44.2395,68.473,54.9,62.156,55.716,LITE UW
2018-05-14,43.2881,43.2881,68.494,55.04,62.181,55.753,LITE UW
2018-05-15,44.2659,44.2659,68.083,55.131,62.199,54.983,LITE UW
2018-05-16,43.4888,43.4888,67.444,55.131,62.174,54.756,LITE UW
2018-05-17,42.6571,42.6571,67.211,55.157,62.056,54.777,LITE UW
2018-05-18,42.525,42.525,67.25,54.995,61.963,54.662,LITE UW
2018-05-21,42.2093,42.2093,66.89,54.856,61.828,54.595,LITE UW
2018-05-22,41.6812,41.6812,65.636,54.88,61.851,54.554,LITE UW
2018-05-23,41.8339,41.8339,65.533,54.798,61.611,54.45,LITE UW
2018-05-24,42.7708,42.7708,65.694,54.878,61.684,54.436,LITE UW
2018-05-25,41.0327,41.0327,59.05,54.68,61.734,54.343,LITE UW
2018-05-29,43.8474,43.8474,56.576,54.656,60.906,53.697,LITE UW
2018-05-30,44.3801,44.3801,58.254,55.419,59.994,53.902,LITE UW
2018-05-31,45.2106,45.2106,56.698,55.545,59.929,53.936,LITE UW
2018-06-01,42.9873,42.9873,57.798,56.316,60.299,53.617,LITE UW
2018-06-04,42.4722,42.4722,52.544,55.111,60.353,53.622,LITE UW
2018-06-05,42.3485,42.3485,52.351,54.278,60.333,53.61,LITE UW
2018-06-06,41.6019,41.6019,45.608,54.334,60.339,53.616,LITE UW
2018-06-07,42.9064,42.9064,45.678,54.156,60.329,53.499,LITE UW
2018-06-08,43.3803,43.3803,45.961,54.326,60.512,53.615,LITE UW
2018-06-11,43.6676,43.6676,45.991,54.241,60.272,53.556,LITE UW
2018-06-12,42.7555,42.7555,44.656,54.34,59.151,53.516,LITE UW
2018-06-13,42.9567,42.9567,32.345,54.41,58.505,53.544,LITE UW
