date,ticker,open,high,low,close,volume
2024-11-26,PLTR UW Equity,65.85,65.74,63.9,64.55,10308527.0
2024-11-27,PLTR UW Equity,67.56,66.05,64.25,66.24,9795162.0
2024-11-29,PLTR UW Equity,67.16,67.08,65.47,65.85,6153409.0
2024-12-02,PLTR UW Equity,67.88,66.39,65.965,67.43,8114364.0
2024-12-03,PLTR UW Equity,71.36,70.96,66.39,66.41,19791130.0
2024-12-04,PLTR UW Equity,71.06,69.85,67.28,71.0,15604566.0
2024-12-05,PLTR UW Equity,72.975,71.87,69.89,70.12,12031910.0
2024-12-06,PLTR UW Equity,76.815,76.34,72.28,72.76,17621953.0
2024-12-09,PLTR UW Equity,80.91,72.46,71.06,80.26,32131614.0
2024-12-10,PLTR UW Equity,75.55,70.89,70.74,72.0,16776680.0
2024-12-11,PLTR UW Equity,73.0,72.51,68.08,72.91,17727703.0
2024-12-12,PLTR UW Equity,75.37,73.2,71.9,72.43,12623585.0
2024-12-13,PLTR UW Equity,76.1,76.07,72.45,73.4,15164508.0
2024-12-16,PLTR UW Equity,77.81,75.75,71.17,75.19,24888236.0
2024-12-17,PLTR UW Equity,75.26,74.39,71.7,73.39,17656897.0
2024-12-18,PLTR UW Equity,77.6,71.51,70.27,74.3,26423576.0
2024-12-19,PLTR UW Equity,76.59,74.21,73.38,74.0,24437007.0
2024-12-20,PLTR UW Equity,80.66,80.55,71.5,72.35,120638013.0
2024-12-23,PLTR UW Equity,82.02,80.69,77.42,80.64,20081461.0
2024-12-24,PLTR UW Equity,84.785,82.38,81.0,81.09,11128944.0
2024-12-26,PLTR UW Equity,83.49,82.14,81.3,83.17,10667529.0
2024-12-27,PLTR UW Equity,81.99,79.08,77.94,81.47,14044653.0
2024-12-30,PLTR UW Equity,79.24,77.18,76.12,76.93,14673013.0
2024-12-31,PLTR UW Equity,77.94,75.63,75.06,77.58,10190403.0
2025-01-02,PLTR UW Equity,76.52,75.19,72.43,76.29,14936198.0
2025-01-03,PLTR UW Equity,79.97,79.89,75.38,75.42,12464320.0
2025-01-06,PLTR UW Equity,80.05,75.92,74.61,78.7,18907820.0
2025-01-07,PLTR UW Equity,75.38,69.99,69.75,75.03,18992647.0
2025-01-08,PLTR UW Equity,69.53,68.23,66.51,68.0,20250447.0
2025-01-10,PLTR UW Equity,68.19,67.26,65.04,65.88,17115373.0
2025-01-13,PLTR UW Equity,65.68,64.98,63.42,64.0,15408403.0
2025-01-14,PLTR UW Equity,68.23,65.91,65.2,67.26,11583299.0
2025-01-15,PLTR UW Equity,68.84,68.14,67.09,68.4,11775865.0
2025-01-16,PLTR UW Equity,71.42,69.24,68.36,69.05,10692276.0
2025-01-17,PLTR UW Equity,72.34,71.77,69.95,70.92,12282229.0
2025-01-21,PLTR UW Equity,73.63,73.07,70.61,73.2,11848709.0
2025-01-22,PLTR UW Equity,77.16,76.87,73.8,74.57,15249383.0
2025-01-23,PLTR UW Equity,79.0,78.98,76.0,76.05,10237727.0
2025-01-24,PLTR UW Equity,82.24,78.98,78.445,79.04,14732480.0
2025-01-27,PLTR UW Equity,76.71,75.44,72.68,74.08,17673564.0
2025-01-28,PLTR UW Equity,80.73,80.23,74.04,75.48,12618721.0
2025-01-29,PLTR UW Equity,80.81,79.76,77.825,79.97,10310608.0
2025-01-30,PLTR UW Equity,81.82,81.22,79.39,79.9,9232006.0
2025-01-31,PLTR UW Equity,85.21,82.49,80.87,81.0,15046750.0
2025-02-03,PLTR UW Equity,84.24,83.74,78.48,80.0,24755076.0
2025-02-04,PLTR UW Equity,106.91,103.83,100.51,102.8,47194872.0
2025-02-05,PLTR UW Equity,103.54,101.36,99.32,101.9,17999297.0
2025-02-06,PLTR UW Equity,111.49,111.28,100.26,101.08,23374852.0
2025-02-07,PLTR UW Equity,116.29,110.85,110.45,111.73,25299594.0
2025-02-10,PLTR UW Equity,116.755,116.65,108.77,112.04,16438630.0
2025-02-11,PLTR UW Equity,118.65,112.62,112.1,116.65,17384937.0
2025-02-12,PLTR UW Equity,117.59,117.39,110.0,110.29,12255194.0
2025-02-13,PLTR UW Equity,118.39,117.91,115.31,117.32,11764619.0
2025-02-14,PLTR UW Equity,120.67,119.16,116.81,117.92,11105498.0
2025-02-18,PLTR UW Equity,125.0,124.62,118.43,121.0,15754975.0
2025-02-19,PLTR UW Equity,125.4,112.06,108.56,124.0,29590489.0
2025-02-20,PLTR UW Equity,107.39,106.27,95.8,102.5,53764831.0
2025-02-21,PLTR UW Equity,109.07,101.35,100.31,107.69,24120636.0
2025-02-24,PLTR UW Equity,99.0,90.68,89.3,95.87,34452092.0
2025-02-25,PLTR UW Equity,91.625,87.84,85.25,90.52,27260653.0
2025-02-26,PLTR UW Equity,91.68,89.31,87.59,89.1,17463252.0
2025-02-27,PLTR UW Equity,93.61,84.77,84.18,92.0,19470943.0
2025-02-28,PLTR UW Equity,85.1,84.92,78.59,80.0,29417618.0
2025-03-03,PLTR UW Equity,90.45,83.42,82.53,88.61,20016502.0
2025-03-04,PLTR UW Equity,88.49,84.4,79.31,80.2,21841254.0
2025-03-05,PLTR UW Equity,90.3,90.13,82.5,86.34,22881128.0
2025-03-06,PLTR UW Equity,88.34,80.46,80.01,87.64,23962223.0
2025-03-07,PLTR UW Equity,85.145,84.91,79.16,80.0,22937291.0
2025-03-10,PLTR UW Equity,82.5,76.38,74.58,82.0,27688857.0
2025-03-11,PLTR UW Equity,80.74,78.05,75.54,75.67,24403491.0
2025-03-12,PLTR UW Equity,84.54,83.65,79.87,83.6,22025279.0
2025-03-13,PLTR UW Equity,83.73,79.62,78.33,82.9,18435607.0
2025-03-14,PLTR UW Equity,87.265,86.24,82.17,83.02,21424303.0
2025-03-17,PLTR UW Equity,88.805,87.35,84.505,88.43,16393285.0
2025-03-18,PLTR UW Equity,86.15,83.89,81.8,85.68,15111575.0
2025-03-19,PLTR UW Equity,87.985,86.1,82.865,84.69,19559337.0
2025-03-20,PLTR UW Equity,89.79,87.39,85.14,85.45,18975164.0
2025-03-21,PLTR UW Equity,91.04,90.96,84.47,85.9,29752534.0
2025-03-24,PLTR UW Equity,97.39,96.75,92.28,93.38,24863847.0
2025-03-25,PLTR UW Equity,98.16,96.5,95.09,97.28,17608872.0
2025-03-26,PLTR UW Equity,97.28,92.28,90.82,96.39,14917707.0
2025-03-27,PLTR UW Equity,93.63,90.09,89.67,91.03,14637140.0
2025-03-28,PLTR UW Equity,89.37,85.85,84.11,89.22,15918167.0
2025-03-31,PLTR UW Equity,84.65,84.4,78.75,80.01,21123602.0
2025-04-01,PLTR UW Equity,85.28,84.68,81.83,83.75,11790921.0
2025-04-02,PLTR UW Equity,88.4,87.45,82.36,82.46,16669959.0
