date,ticker,open,high,low,close,volume
2018-01-02,SATS UW Equity,48.79,47.9394,47.6964,48.5794,51883.0
2018-01-03,SATS UW Equity,47.9151,47.8989,46.9187,47.7126,134395.0
2018-01-04,SATS UW Equity,48.3768,48.2958,47.7207,47.8341,67630.0
2018-01-05,SATS UW Equity,49.1707,49.1302,48.2148,48.5551,46184.0
2018-01-08,SATS UW Equity,49.5757,49.4461,48.6037,49.1464,43472.0
2018-01-09,SATS UW Equity,49.9646,49.6243,49.4623,49.6729,47184.0
2018-01-10,SATS UW Equity,49.519,48.4822,48.0609,49.519,46996.0
2018-01-11,SATS UW Equity,49.5433,49.3813,48.5875,48.5875,25207.0
2018-01-12,SATS UW Equity,49.7944,49.7782,48.9439,49.4704,20133.0
2018-01-16,SATS UW Equity,50.1023,49.4056,49.0411,49.8998,72226.0
2018-01-17,SATS UW Equity,49.9727,49.7863,49.3651,49.8188,33912.0
2018-01-18,SATS UW Equity,49.916,49.5838,49.5109,49.916,20862.0
2018-01-19,SATS UW Equity,50.0861,50.0456,49.4461,49.6405,17762.0
2018-01-22,SATS UW Equity,50.1104,50.0294,49.3975,50.0213,31175.0
2018-01-23,SATS UW Equity,50.4182,50.1023,49.8107,50.0213,30942.0
2018-01-24,SATS UW Equity,50.4263,49.3975,49.2436,50.1752,35833.0
2018-01-25,SATS UW Equity,49.6972,49.5757,49.1545,49.4947,33545.0
2018-01-26,SATS UW Equity,49.8755,49.4947,49.3327,49.8755,36064.0
2018-01-29,SATS UW Equity,49.5352,49.3489,49.0492,49.4947,22457.0
2018-01-30,SATS UW Equity,50.0942,49.7701,48.871,49.0573,53186.0
2018-01-31,SATS UW Equity,50.0537,49.4623,49.1464,49.9079,57712.0
2018-02-01,SATS UW Equity,50.2481,50.1914,49.2598,49.2598,32389.0
2018-02-02,SATS UW Equity,50.0213,49.6,49.5676,49.7539,35908.0
2018-02-05,SATS UW Equity,49.272,47.3724,47.3724,49.1302,62416.0
2018-02-06,SATS UW Equity,47.745,47.745,45.5497,46.2626,65154.0
2018-02-07,SATS UW Equity,48.0609,47.9556,47.4372,47.4372,51500.0
2018-02-08,SATS UW Equity,48.2067,46.9916,46.9916,47.9151,49173.0
2018-02-09,SATS UW Equity,47.2185,45.7846,44.4237,47.2185,75346.0
2018-02-12,SATS UW Equity,46.8539,46.2869,45.4039,45.9548,50126.0
2018-02-13,SATS UW Equity,46.3031,46.1006,45.2986,46.133,48810.0
2018-02-14,SATS UW Equity,46.5623,46.5137,45.655,45.655,44475.0
2018-02-15,SATS UW Equity,47.9313,47.907,46.4003,46.8863,58102.0
2018-02-16,SATS UW Equity,48.7009,48.4254,47.7126,47.9151,68661.0
2018-02-20,SATS UW Equity,48.79,48.231,47.9718,48.4254,66589.0
2018-02-21,SATS UW Equity,48.7657,48.4822,48.1581,48.231,57058.0
2018-02-22,SATS UW Equity,49.2274,46.7486,46.6433,47.6478,106117.0
2018-02-23,SATS UW Equity,48.4497,48.3768,46.2545,47.0807,71043.0
2018-02-26,SATS UW Equity,48.952,47.8989,47.7693,48.6037,111520.0
2018-02-27,SATS UW Equity,48.1257,47.3886,47.3238,47.9799,77522.0
2018-02-28,SATS UW Equity,47.7936,46.9997,46.8701,47.3238,66843.0
2018-03-01,SATS UW Equity,47.0726,45.8738,45.4444,47.0726,85637.0
2018-03-02,SATS UW Equity,46.3031,46.1978,45.3229,45.3472,48216.0
2018-03-05,SATS UW Equity,47.2023,47.0402,45.9224,46.0844,61438.0
2018-03-06,SATS UW Equity,47.3481,47.0078,46.7243,47.0726,65173.0
2018-03-07,SATS UW Equity,47.3238,47.2428,46.7081,46.7243,47102.0
2018-03-08,SATS UW Equity,47.664,47.34,46.9187,47.3157,45962.0
2018-03-09,SATS UW Equity,47.5587,47.3076,47.1942,47.2428,39274.0
