date,hist_put_imp_vol,hist_call_imp_vol,volatility_30d,volatility_60d,volatility_90d,volatility_260d,ticker
2018-01-02,23.5865,23.5865,14.944,26.516,23.363,21.753,SATS UW
2018-01-03,21.2671,21.2671,14.881,26.476,23.361,21.71,SATS UW
2018-01-04,23.187,23.187,14.949,26.522,23.353,21.724,SATS UW
2018-01-05,20.5828,20.5828,15.681,26.695,23.53,21.784,SATS UW
2018-01-08,20.4133,20.4133,15.776,26.674,23.485,21.792,SATS UW
2018-01-09,20.9829,20.9829,15.677,26.619,23.265,21.794,SATS UW
2018-01-10,20.74,20.74,15.85,26.894,23.565,21.919,SATS UW
2018-01-11,23.1819,23.1819,16.825,27.109,23.461,21.975,SATS UW
2018-01-12,22.8017,22.8017,16.447,27.119,23.451,21.985,SATS UW
2018-01-16,25.0412,25.0412,16.468,27.15,23.126,22.0,SATS UW
2018-01-17,22.8482,22.8482,16.026,27.117,23.078,22.01,SATS UW
2018-01-18,22.9957,22.9957,15.554,27.125,23.094,21.971,SATS UW
2018-01-19,33.1628,33.1628,15.254,27.167,23.111,21.987,SATS UW
2018-01-22,24.2323,24.2323,15.27,27.099,23.112,21.961,SATS UW
2018-01-23,25.0887,25.0887,15.174,27.099,23.107,21.899,SATS UW
2018-01-24,24.7177,24.7177,15.764,26.783,23.186,21.939,SATS UW
2018-01-25,26.1936,26.1936,15.262,26.739,23.186,21.939,SATS UW
2018-01-26,25.6356,25.6356,14.897,26.74,23.163,21.941,SATS UW
2018-01-29,31.5826,31.5826,14.842,25.509,23.171,21.933,SATS UW
2018-01-30,31.2786,31.2786,15.005,25.201,23.207,21.947,SATS UW
2018-01-31,44.7352,44.7352,14.995,25.124,23.214,21.957,SATS UW
2018-02-01,30.3205,30.3205,14.69,24.761,23.131,21.886,SATS UW
2018-02-02,24.9974,24.9974,15.178,24.938,23.224,21.917,SATS UW
2018-02-05,37.9113,37.9113,20.742,24.306,24.465,22.382,SATS UW
2018-02-06,38.2661,38.2661,20.871,22.84,24.49,22.388,SATS UW
2018-02-07,28.535,28.535,20.912,22.613,24.499,22.387,SATS UW
2018-02-08,33.0804,33.0804,21.717,23.016,24.746,22.315,SATS UW
2018-02-09,37.8282,37.8282,22.941,19.85,25.137,22.462,SATS UW
2018-02-12,35.8695,35.8695,23.089,19.72,25.18,21.091,SATS UW
2018-02-13,34.0532,34.0532,22.875,19.17,25.153,21.028,SATS UW
2018-02-14,32.001,32.001,23.081,19.111,25.194,21.046,SATS UW
2018-02-15,29.1564,29.1564,24.695,20.112,25.662,21.218,SATS UW
2018-02-16,32.5643,32.5643,24.349,20.19,25.721,21.121,SATS UW
2018-02-20,30.8709,30.8709,24.275,20.161,25.709,21.04,SATS UW
2018-02-21,29.8159,29.8159,24.307,20.19,25.698,21.046,SATS UW
2018-02-22,25.9266,25.9266,25.711,21.569,26.446,21.336,SATS UW
2018-02-23,24.1333,24.1333,27.229,22.251,26.92,21.606,SATS UW
2018-02-26,24.2976,24.2976,27.226,22.343,26.971,21.629,SATS UW
2018-02-27,23.974,23.974,27.31,22.283,27.035,21.649,SATS UW
2018-02-28,23.8411,23.8411,27.233,22.264,27.059,21.616,SATS UW
2018-03-01,35.0571,35.0571,28.034,22.653,27.34,21.726,SATS UW
2018-03-02,33.2895,33.2895,27.954,22.573,27.356,21.733,SATS UW
2018-03-05,24.3736,24.3736,28.637,22.797,27.517,21.805,SATS UW
2018-03-06,23.1536,23.1536,28.619,22.792,27.484,21.799,SATS UW
2018-03-07,27.4816,27.4816,28.45,22.76,27.494,21.73,SATS UW
2018-03-08,21.4831,21.4831,28.427,22.697,27.12,21.66,SATS UW
2018-03-09,22.4277,22.4277,28.429,22.561,27.097,21.331,SATS UW
2018-03-12,21.0434,21.0434,28.617,22.494,27.132,21.299,SATS UW
2018-03-13,20.4893,20.4893,28.772,22.708,26.52,21.358,SATS UW
2018-03-14,21.466,21.466,28.752,22.703,26.332,21.345,SATS UW
2018-03-15,21.1717,21.1717,28.4,22.716,26.332,21.274,SATS UW
2018-03-16,21.3346,21.3346,28.299,22.513,25.98,21.275,SATS UW
2018-03-19,21.2219,21.2219,25.002,22.575,26.055,21.246,SATS UW
2018-03-20,21.2652,21.2652,25.054,22.694,24.356,21.279,SATS UW
2018-03-21,20.7887,20.7887,25.08,22.728,23.425,21.274,SATS UW
2018-03-22,21.8334,21.8334,25.619,23.391,23.715,21.44,SATS UW
2018-03-23,26.585,26.585,25.936,24.088,24.224,21.575,SATS UW
2018-03-26,24.6379,24.6379,25.805,24.14,21.833,21.589,SATS UW
2018-03-27,27.2189,27.2189,26.295,24.326,21.895,21.669,SATS UW
2018-03-28,27.208,27.208,26.092,24.259,21.567,21.68,SATS UW
2018-03-29,26.2607,26.2607,24.159,24.281,21.471,21.679,SATS UW
2018-04-02,29.1061,29.1061,23.833,24.273,21.539,21.686,SATS UW
2018-04-03,27.67,27.67,28.548,26.149,23.086,22.211,SATS UW
2018-04-04,26.9096,26.9096,28.523,26.122,23.084,22.213,SATS UW
2018-04-05,28.731,28.731,26.609,26.115,23.103,22.223,SATS UW
