date,ticker,open,high,low,close,volume
2018-01-02,VEEV UN Equity,55.69,55.07,54.8,55.32,390625.0
2018-01-03,VEEV UN Equity,56.45,56.28,55.0,55.0,260466.0
2018-01-04,VEEV UN Equity,57.16,56.9,56.68,56.7,221475.0
2018-01-05,VEEV UN Equity,57.67,57.44,57.0,57.07,143465.0
2018-01-08,VEEV UN Equity,57.84,57.71,57.08,57.45,224578.0
2018-01-09,VEEV UN Equity,58.41,58.03,57.6,57.88,367747.0
2018-01-10,VEEV UN Equity,57.93,57.68,57.16,57.58,211462.0
2018-01-11,VEEV UN Equity,58.29,58.06,57.6,57.69,218480.0
2018-01-12,VEEV UN Equity,58.53,58.37,57.65,58.34,240596.0
2018-01-16,VEEV UN Equity,58.97,56.51,56.35,58.85,377942.0
2018-01-17,VEEV UN Equity,57.26,57.13,56.77,56.8,270634.0
2018-01-18,VEEV UN Equity,57.8,57.53,56.98,57.17,139809.0
2018-01-19,VEEV UN Equity,58.65,58.53,57.8,58.0,132498.0
2018-01-22,VEEV UN Equity,58.6,58.17,57.93,58.6,136947.0
2018-01-23,VEEV UN Equity,60.22,60.06,58.13,58.33,230071.0
2018-01-24,VEEV UN Equity,60.14,59.21,59.17,60.0,195861.0
2018-01-25,VEEV UN Equity,59.6,58.91,58.89,59.6,108091.0
2018-01-26,VEEV UN Equity,61.1,60.97,59.24,59.5,187614.0
2018-01-29,VEEV UN Equity,61.06,60.32,60.2,60.97,118152.0
2018-01-30,VEEV UN Equity,62.99,62.07,60.68,61.09,399111.0
2018-01-31,VEEV UN Equity,62.99,62.86,62.48,62.66,365798.0
2018-02-01,VEEV UN Equity,62.62,61.02,60.78,62.57,238149.0
2018-02-02,VEEV UN Equity,61.03,60.04,59.53,60.75,219514.0
2018-02-05,VEEV UN Equity,59.89,57.82,57.59,59.27,244850.0
2018-02-06,VEEV UN Equity,58.26,57.21,55.99,56.7,461809.0
2018-02-07,VEEV UN Equity,57.53,55.68,55.65,57.1,317562.0
2018-02-08,VEEV UN Equity,56.41,54.32,54.3,56.02,279300.0
2018-02-09,VEEV UN Equity,55.89,55.45,52.19,54.72,321733.0
2018-02-12,VEEV UN Equity,57.14,56.72,55.68,55.91,163515.0
2018-02-13,VEEV UN Equity,57.31,56.9,56.24,56.37,159212.0
2018-02-14,VEEV UN Equity,58.03,57.9,56.43,56.56,313621.0
2018-02-15,VEEV UN Equity,59.25,58.94,57.97,58.48,274280.0
2018-02-16,VEEV UN Equity,60.64,59.76,59.08,59.08,325857.0
2018-02-20,VEEV UN Equity,60.74,60.34,59.051,59.27,147556.0
2018-02-21,VEEV UN Equity,61.68,60.39,60.37,60.6,158929.0
2018-02-22,VEEV UN Equity,60.95,59.84,59.72,60.6,126804.0
2018-02-23,VEEV UN Equity,61.6,61.55,60.04,60.21,99762.0
2018-02-26,VEEV UN Equity,62.65,62.1,61.56,61.7,237588.0
2018-02-27,VEEV UN Equity,63.24,62.07,61.92,62.04,320638.0
2018-02-28,VEEV UN Equity,71.02,69.7,64.22,65.0,1130587.0
2018-03-01,VEEV UN Equity,71.33,69.95,69.46,69.53,583593.0
2018-03-02,VEEV UN Equity,74.12,73.77,68.69,69.45,676811.0
2018-03-05,VEEV UN Equity,77.29,77.03,72.94,72.94,486340.0
2018-03-06,VEEV UN Equity,78.05,76.74,76.41,77.05,478804.0
2018-03-07,VEEV UN Equity,78.179,77.88,75.61,76.0,336438.0
2018-03-08,VEEV UN Equity,78.24,77.69,77.08,78.16,273789.0
2018-03-09,VEEV UN Equity,77.945,77.18,76.31,76.52,673404.0
2018-03-12,VEEV UN Equity,78.05,77.64,76.59,77.48,195670.0
2018-03-13,VEEV UN Equity,77.86,76.45,76.25,77.86,153299.0
2018-03-14,VEEV UN Equity,78.18,77.45,75.76,76.96,226691.0
2018-03-15,VEEV UN Equity,77.89,77.14,76.49,77.43,142499.0
2018-03-16,VEEV UN Equity,77.24,76.39,76.36,77.14,788257.0
2018-03-19,VEEV UN Equity,77.82,76.34,75.1,76.26,622139.0
2018-03-20,VEEV UN Equity,77.61,77.28,75.78,76.37,223665.0
2018-03-21,VEEV UN Equity,77.05,76.3,75.9,76.97,147755.0
2018-03-22,VEEV UN Equity,76.69,75.08,75.07,75.47,207705.0
2018-03-23,VEEV UN Equity,76.56,74.3,74.22,75.46,249190.0
2018-03-26,VEEV UN Equity,75.78,75.56,74.55,75.78,182007.0
2018-03-27,VEEV UN Equity,76.25,72.81,72.3,76.14,203112.0
2018-03-28,VEEV UN Equity,73.09,71.47,70.95,72.87,290232.0
2018-03-29,VEEV UN Equity,74.06,73.02,71.09,71.64,244409.0
2018-04-02,VEEV UN Equity,72.7,71.44,70.73,72.69,227019.0
2018-04-03,VEEV UN Equity,73.41,72.0,71.01,72.49,329818.0
2018-04-04,VEEV UN Equity,72.9,72.8,70.5,70.59,449832.0
2018-04-05,VEEV UN Equity,73.88,72.82,72.25,73.54,199887.0
2018-04-06,VEEV UN Equity,72.75,70.92,70.45,72.2,139237.0
2018-04-09,VEEV UN Equity,71.9,70.55,70.41,71.44,167957.0
2018-04-10,VEEV UN Equity,72.33,71.86,70.71,71.61,140382.0
2018-04-11,VEEV UN Equity,73.28,72.27,71.71,71.71,156761.0
2018-04-12,VEEV UN Equity,73.84,73.28,72.45,72.75,372093.0
2018-04-13,VEEV UN Equity,73.99,72.06,71.67,73.89,144610.0
2018-04-16,VEEV UN Equity,72.8,71.87,71.55,72.59,144947.0
2018-04-17,VEEV UN Equity,74.57,74.41,72.41,72.46,149017.0
2018-04-18,VEEV UN Equity,75.5,74.87,73.97,74.69,356086.0
2018-04-19,VEEV UN Equity,75.07,74.57,74.13,74.52,217969.0
2018-04-20,VEEV UN Equity,74.555,72.85,72.71,74.43,171948.0
2018-04-23,VEEV UN Equity,73.69,72.45,72.07,73.35,125204.0
2018-04-24,VEEV UN Equity,73.0,70.08,68.91,72.56,197386.0
2018-04-25,VEEV UN Equity,70.26,69.42,68.16,70.0,124534.0
2018-04-26,VEEV UN Equity,70.8,70.66,69.22,69.85,111056.0
2018-04-27,VEEV UN Equity,71.31,70.92,70.25,71.31,315350.0
2018-04-30,VEEV UN Equity,71.5,70.13,70.13,71.13,107355.0
2018-05-01,VEEV UN Equity,70.99,70.93,69.435,69.66,161229.0
2018-05-02,VEEV UN Equity,71.68,70.69,70.36,70.82,145158.0
2018-05-03,VEEV UN Equity,71.22,70.79,69.38,70.38,145643.0
2018-05-04,VEEV UN Equity,73.28,72.73,70.38,70.38,154350.0
2018-05-07,VEEV UN Equity,73.89,73.57,73.16,73.39,97166.0
2018-05-08,VEEV UN Equity,74.48,73.77,72.83,73.39,141498.0
2018-05-09,VEEV UN Equity,76.52,76.16,74.05,74.05,205749.0
