date,hist_put_imp_vol,hist_call_imp_vol,volatility_30d,volatility_60d,volatility_90d,volatility_260d,ticker
2018-01-02,28.3905,28.3905,32.721,27.966,35.693,31.776,VEEV UN
2018-01-03,26.9828,26.9828,33.21,28.367,25.801,31.803,VEEV UN
2018-01-04,26.7331,26.7331,33.173,28.002,25.556,31.74,VEEV UN
2018-01-05,26.5822,26.5822,33.389,27.947,25.607,31.751,VEEV UN
2018-01-08,27.1081,27.1081,33.423,26.897,25.532,31.734,VEEV UN
2018-01-09,26.6155,26.6155,33.48,26.85,25.078,31.669,VEEV UN
2018-01-10,27.4335,27.4335,33.265,26.861,25.088,31.67,VEEV UN
2018-01-11,25.7224,25.7224,29.65,26.684,24.952,31.657,VEEV UN
2018-01-12,26.5479,26.5479,28.861,26.704,24.93,31.626,VEEV UN
2018-01-16,28.3132,28.3132,30.175,27.524,25.516,31.793,VEEV UN
2018-01-17,27.7339,27.7339,28.225,27.159,25.446,31.799,VEEV UN
2018-01-18,27.9656,27.9656,28.17,27.109,25.355,31.762,VEEV UN
2018-01-19,27.6193,27.6193,19.43,27.311,25.486,31.698,VEEV UN
2018-01-22,30.3803,30.3803,17.956,26.867,25.47,31.693,VEEV UN
2018-01-23,31.5127,31.5127,20.017,27.702,26.024,31.84,VEEV UN
2018-01-24,32.1802,32.1802,20.46,27.867,26.012,31.866,VEEV UN
2018-01-25,32.3949,32.3949,20.023,27.863,26.002,31.837,VEEV UN
2018-01-26,32.8961,32.8961,22.262,28.496,26.637,31.856,VEEV UN
2018-01-29,36.1705,36.1705,22.479,28.554,26.644,31.878,VEEV UN
2018-01-30,37.4554,37.4554,23.744,29.151,27.025,31.989,VEEV UN
2018-01-31,35.1921,35.1921,23.823,29.182,27.047,32.007,VEEV UN
2018-02-01,36.8189,36.8189,25.64,29.842,27.448,32.138,VEEV UN
2018-02-02,37.5454,37.5454,26.186,30.032,27.535,32.183,VEEV UN
2018-02-05,43.565,43.565,28.286,30.951,27.922,32.407,VEEV UN
2018-02-06,43.0736,43.0736,28.482,30.722,27.95,32.414,VEEV UN
2018-02-07,42.607,42.607,29.665,31.021,28.336,32.534,VEEV UN
2018-02-08,45.9951,45.9951,30.552,31.392,28.568,32.602,VEEV UN
2018-02-09,53.4438,53.4438,31.207,31.683,28.795,32.657,VEEV UN
2018-02-12,45.0224,45.0224,31.771,32.052,29.06,32.728,VEEV UN
2018-02-13,43.1447,43.1447,31.744,31.905,28.957,32.715,VEEV UN
2018-02-14,42.4449,42.4449,31.51,32.144,29.113,32.72,VEEV UN
2018-02-15,42.7338,42.7338,31.777,32.243,29.273,32.752,VEEV UN
2018-02-16,42.8304,42.8304,31.908,32.28,29.053,32.776,VEEV UN
2018-02-20,43.6812,43.6812,31.991,32.355,29.022,32.784,VEEV UN
2018-02-21,40.075,40.075,31.968,32.347,28.371,32.726,VEEV UN
2018-02-22,41.7371,41.7371,32.048,32.389,28.362,32.739,VEEV UN
2018-02-23,39.8292,39.8292,33.018,32.798,28.749,32.85,VEEV UN
2018-02-26,40.9319,40.9319,33.069,30.946,28.666,32.858,VEEV UN
2018-02-27,42.1262,42.1262,31.309,30.607,28.659,32.853,VEEV UN
2018-02-28,29.4494,29.4494,46.032,38.907,34.793,34.768,VEEV UN
2018-03-01,30.0634,30.0634,46.042,37.931,34.597,34.767,VEEV UN
2018-03-02,33.2268,33.2268,48.018,39.331,35.621,35.146,VEEV UN
2018-03-05,32.3612,32.3612,48.936,37.096,36.291,35.378,VEEV UN
2018-03-06,31.7062,31.7062,48.594,36.852,36.008,35.377,VEEV UN
2018-03-07,32.1141,32.1141,48.109,36.895,36.065,35.378,VEEV UN
2018-03-08,30.8084,30.8084,48.041,36.918,36.071,35.379,VEEV UN
2018-03-09,29.7,29.7,47.639,36.784,36.107,35.368,VEEV UN
2018-03-12,28.8656,28.8656,47.287,36.771,35.993,35.28,VEEV UN
2018-03-13,28.7781,28.7781,47.405,36.956,36.094,35.253,VEEV UN
2018-03-14,28.4386,28.4386,47.409,36.989,36.131,35.269,VEEV UN
2018-03-15,28.0389,28.0389,46.159,37.006,36.121,35.271,VEEV UN
2018-03-16,27.6484,27.6484,45.885,37.093,36.163,35.291,VEEV UN
2018-03-19,29.1082,29.1082,43.729,37.107,36.161,35.292,VEEV UN
2018-03-20,28.337,28.337,43.282,36.874,36.178,35.295,VEEV UN
2018-03-21,28.1304,28.1304,42.331,37.035,36.042,35.32,VEEV UN
2018-03-22,29.6906,29.6906,41.733,37.27,36.122,35.193,VEEV UN
2018-03-23,30.1574,30.1574,42.115,37.365,36.186,35.171,VEEV UN
2018-03-26,30.7262,30.7262,41.99,37.446,36.195,35.018,VEEV UN
2018-03-27,31.9826,31.9826,44.255,38.349,36.777,35.161,VEEV UN
2018-03-28,32.912,32.912,44.89,38.619,36.888,35.191,VEEV UN
2018-03-29,30.6828,30.6828,44.983,38.614,37.039,35.249,VEEV UN
2018-04-02,34.4929,34.4929,45.772,38.978,37.208,35.231,VEEV UN
2018-04-03,33.4998,33.4998,45.762,38.969,37.181,35.233,VEEV UN
2018-04-04,33.6714,33.6714,45.755,38.998,37.214,35.214,VEEV UN
2018-04-05,32.8458,32.8458,45.543,39.004,37.214,35.209,VEEV UN
2018-04-06,34.0825,34.0825,46.092,39.468,37.522,35.221,VEEV UN
2018-04-09,33.5084,33.5084,46.172,39.504,37.426,35.226,VEEV UN
2018-04-10,32.4062,32.4062,46.332,39.63,36.391,35.265,VEEV UN
2018-04-11,31.3739,31.3739,31.081,38.882,36.231,35.266,VEEV UN
2018-04-12,31.1995,31.1995,31.305,38.91,36.198,35.281,VEEV UN
2018-04-13,31.2007,31.2007,27.365,39.154,35.681,35.328,VEEV UN
2018-04-16,30.9221,30.9221,23.711,39.07,35.674,35.32,VEEV UN
2018-04-17,29.5955,29.5955,26.177,39.558,33.992,35.469,VEEV UN
2018-04-18,30.1575,30.1575,25.819,39.113,33.734,35.457,VEEV UN
