date,ticker,open,high,low,close,volume
2018-07-30,VRT UN Equity,9.9,9.85,9.85,9.85,71825.0
2018-07-31,VRT UN Equity,9.85,9.85,9.85,9.85,1000.0
2018-08-01,VRT UN Equity,10.0,9.98,9.97,9.999,33200.0
2018-08-02,VRT UN Equity,9.99,9.99,9.99,9.99,2100.0
2018-08-06,VRT UN Equity,10.09,9.95,9.95,10.09,5700.0
2018-08-08,VRT UN Equity,,,,,40.0
2018-08-09,VRT UN Equity,9.9,9.9,9.9,9.9,100.0
2018-08-10,VRT UN Equity,10.36,9.85,9.85,10.36,400.0
2018-08-13,VRT UN Equity,9.905,9.8,9.8,9.85,4298.0
2018-08-14,VRT UN Equity,10.77,9.8,9.8,10.75,33782.0
2018-08-15,VRT UN Equity,9.88,9.88,9.84,9.84,9897.0
2018-08-16,VRT UN Equity,9.86,9.86,9.85,9.85,1900.0
2018-08-17,VRT UN Equity,9.8,9.8,9.8,9.8,250000.0
2018-08-21,VRT UN Equity,9.8,9.8,9.8,9.8,2100.0
2018-08-22,VRT UN Equity,9.8,9.8,9.8,9.8,2200.0
2018-08-23,VRT UN Equity,9.85,9.8,9.75,9.85,238902.0
2018-08-27,VRT UN Equity,9.8,9.75,9.75,9.8,951843.0
2018-08-28,VRT UN Equity,9.76,9.75,9.72,9.76,643801.0
2018-08-29,VRT UN Equity,9.8,9.8,9.8,9.8,14900.0
2018-08-30,VRT UN Equity,9.8,9.8,9.8,9.8,300.0
2018-08-31,VRT UN Equity,9.79,9.79,9.79,9.79,300.0
2018-09-06,VRT UN Equity,9.8,9.8,9.8,9.8,3800.0
2018-09-07,VRT UN Equity,9.78,9.78,9.78,9.78,4300.0
2018-09-10,VRT UN Equity,9.87,9.87,9.87,9.87,100.0
2018-09-11,VRT UN Equity,9.75,9.75,9.74,9.74,700.0
2018-09-12,VRT UN Equity,9.79,9.79,9.78,9.78,32900.0
2018-09-17,VRT UN Equity,9.84,9.77,9.77,9.84,1850.0
2018-09-18,VRT UN Equity,9.76,9.75,9.75,9.76,437.0
2018-09-19,VRT UN Equity,9.84,9.78,9.77,9.78,36921.0
2018-09-20,VRT UN Equity,9.75,9.73,9.73,9.75,2801.0
2018-09-21,VRT UN Equity,9.75,9.75,9.75,9.75,72102.0
2018-09-24,VRT UN Equity,,,,,29.0
2018-09-25,VRT UN Equity,9.76,9.75,9.75,9.76,40186.0
2018-09-26,VRT UN Equity,9.75,9.75,9.75,9.75,100.0
2018-09-27,VRT UN Equity,9.77,9.75,9.75,9.75,331.0
2018-09-28,VRT UN Equity,9.77,9.75,9.73,9.75,47585.0
2018-10-01,VRT UN Equity,9.75,9.75,9.749,9.749,1825.0
2018-10-02,VRT UN Equity,9.75,9.73,9.72,9.72,4972.0
2018-10-03,VRT UN Equity,,,,,70.0
2018-10-04,VRT UN Equity,9.76,9.75,9.72,9.74,36134.0
2018-10-05,VRT UN Equity,9.76,9.72,9.72,9.76,1450.0
2018-10-08,VRT UN Equity,9.75,9.75,9.72,9.72,589.0
2018-10-09,VRT UN Equity,9.78,9.72,9.72,9.78,602.0
2018-10-10,VRT UN Equity,9.74,9.74,9.72,9.72,5017.0
2018-10-11,VRT UN Equity,9.74,9.74,9.74,9.74,4591.0
2018-10-12,VRT UN Equity,9.75,9.75,9.74,9.74,15544.0
2018-10-15,VRT UN Equity,9.75,9.73,9.7,9.7,5209.0
2018-10-16,VRT UN Equity,9.74,9.74,9.74,9.74,4751.0
2018-10-17,VRT UN Equity,9.75,9.75,9.74,9.74,14605.0
2018-10-18,VRT UN Equity,9.76,9.76,9.76,9.76,308.0
2018-10-19,VRT UN Equity,9.82,9.82,9.77,9.77,1683.0
2018-10-22,VRT UN Equity,9.8,9.75,9.75,9.8,909.0
2018-10-23,VRT UN Equity,9.76,9.76,9.76,9.76,553.0
2018-10-24,VRT UN Equity,9.75,9.7,9.7,9.75,2185.0
2018-10-25,VRT UN Equity,,,,,28.0
2018-10-26,VRT UN Equity,9.75,9.7,9.7,9.75,2431.0
2018-10-29,VRT UN Equity,9.75,9.75,9.75,9.75,900.0
2018-10-30,VRT UN Equity,9.75,9.74,9.74,9.74,7115.0
2018-10-31,VRT UN Equity,9.76,9.71,9.71,9.76,526.0
2018-11-01,VRT UN Equity,,,,,43.0
2018-11-02,VRT UN Equity,9.76,9.75,9.71,9.76,1061.0
2018-11-05,VRT UN Equity,9.85,9.72,9.72,9.85,7390.0
2018-11-06,VRT UN Equity,9.77,9.77,9.7,9.77,3334.0
2018-11-07,VRT UN Equity,9.82,9.7,9.7,9.75,14384.0
2018-11-08,VRT UN Equity,9.85,9.7,9.7,9.76,254611.0
2018-11-09,VRT UN Equity,9.85,9.84,9.7,9.7,1955.0
2018-11-12,VRT UN Equity,9.85,9.83,9.83,9.85,962.0
