date,hist_put_imp_vol,hist_call_imp_vol,volatility_30d,volatility_60d,volatility_90d,volatility_260d,ticker
2018-08-27,,,8.539,,,,VRT UN
2018-08-28,,,8.254,,,,VRT UN
2018-08-29,,,8.303,,,,VRT UN
2018-08-30,,,8.055,,,,VRT UN
2018-08-31,,,7.833,,,,VRT UN
2018-09-04,,,7.833,,,,VRT UN
2018-09-05,,,7.833,,,,VRT UN
2018-09-06,,,7.64,,,,VRT UN
2018-09-07,,,7.473,,,,VRT UN
2018-09-10,,,7.991,,,,VRT UN
2018-09-11,,,9.045,,,,VRT UN
2018-09-12,,,7.817,,,,VRT UN
2018-09-13,,,7.98,,,,VRT UN
2018-09-14,,,8.106,,,,VRT UN
2018-09-17,,,7.912,,,,VRT UN
2018-09-18,,,7.776,,,,VRT UN
2018-09-19,,,7.701,,,,VRT UN
2018-09-20,,,7.679,,,,VRT UN
2018-09-21,,,7.579,,,,VRT UN
2018-09-24,,,7.575,,,,VRT UN
2018-09-25,,,7.575,8.074,,,VRT UN
2018-09-26,,,6.954,7.939,,,VRT UN
2018-09-27,,,6.938,7.81,,,VRT UN
2018-09-28,,,6.639,7.688,,,VRT UN
2018-10-01,,,6.639,7.571,,,VRT UN
2018-10-02,,,6.515,7.474,,,VRT UN
2018-10-03,,,6.668,7.474,,,VRT UN
2018-10-04,,,6.717,7.395,,,VRT UN
2018-10-05,,,6.569,7.329,,,VRT UN
2018-10-08,,,6.509,7.285,,,VRT UN
2018-10-09,,,6.591,7.225,,,VRT UN
2018-10-10,,,6.38,7.158,,,VRT UN
2018-10-11,,,6.38,7.068,,,VRT UN
2018-10-12,,,6.388,6.989,,,VRT UN
2018-10-15,,,6.404,6.92,,,VRT UN
2018-10-16,,,6.278,6.846,,,VRT UN
2018-10-17,,,6.16,6.775,6.775,,VRT UN
2018-10-18,,,6.14,6.706,6.706,,VRT UN
2018-10-19,,,5.709,6.798,6.798,,VRT UN
2018-10-22,,,4.694,6.924,6.924,,VRT UN
2018-10-23,,,4.504,6.93,6.858,,VRT UN
2018-10-24,,,4.876,6.308,6.923,,VRT UN
2018-10-25,,,4.876,6.364,6.923,,VRT UN
2018-10-26,,,4.778,6.313,6.854,,VRT UN
2018-10-29,,,5.035,6.384,6.895,,VRT UN
2018-10-30,,,4.941,6.292,6.83,,VRT UN
2018-10-31,,,4.766,6.258,6.795,,VRT UN
2018-11-01,,,4.812,6.258,6.795,,VRT UN
2018-11-02,,,5.006,6.244,6.799,,VRT UN
2018-11-05,,,5.0,6.176,6.765,,VRT UN
2018-11-06,,,5.269,6.295,6.802,,VRT UN
2018-11-07,,,5.749,6.204,6.905,,VRT UN
2018-11-08,,,5.749,6.192,6.846,,VRT UN
2018-11-09,,,7.36,6.908,7.436,,VRT UN
2018-11-12,,,7.332,6.913,7.377,,VRT UN
2018-11-13,,,7.79,7.095,7.503,,VRT UN
2018-11-14,,,7.802,7.194,7.519,,VRT UN
2018-11-15,,,7.731,7.194,7.46,,VRT UN
2018-11-16,,,7.831,7.168,7.46,,VRT UN
2018-11-19,,,7.945,7.194,7.469,,VRT UN
2018-11-20,,,8.432,7.493,7.64,,VRT UN
2018-11-21,,,8.96,7.7,7.794,,VRT UN
2018-11-23,,,9.309,7.859,7.794,,VRT UN
2018-11-26,,,9.113,7.777,7.736,,VRT UN
2018-11-27,,,13.585,10.619,9.81,,VRT UN
2018-11-28,,,16.044,12.033,10.906,,VRT UN
2018-11-29,,,16.154,11.991,10.892,,VRT UN
2018-11-30,,,16.057,11.991,10.822,,VRT UN
2018-12-03,,,15.909,11.829,10.762,,VRT UN
2018-12-04,,,15.908,11.494,10.688,,VRT UN
2018-12-06,,,15.769,11.467,10.695,,VRT UN
2018-12-07,,,15.915,11.543,10.459,,VRT UN
2018-12-10,,,15.902,11.653,10.639,,VRT UN
2018-12-11,,,15.875,11.563,10.628,,VRT UN
2018-12-12,,,15.876,11.559,10.563,,VRT UN
2018-12-13,,,16.021,11.654,10.604,,VRT UN
2018-12-14,,,16.193,11.741,10.638,,VRT UN
2018-12-17,,,15.91,11.753,10.586,,VRT UN
2018-12-18,,,15.879,11.753,10.547,,VRT UN
2018-12-19,,,15.955,11.747,10.59,,VRT UN
2018-12-20,,,16.089,11.859,10.66,,VRT UN
2018-12-21,,,16.108,11.869,10.558,,VRT UN
2018-12-24,,,15.442,11.869,10.552,,VRT UN
2018-12-26,,,15.44,11.869,10.491,,VRT UN
2018-12-27,,,15.389,11.969,10.575,,VRT UN
2018-12-28,,,15.294,11.96,10.505,,VRT UN
2018-12-31,,,15.474,11.951,10.589,,VRT UN
2019-01-02,,,15.474,11.986,10.631,,VRT UN
2019-01-03,,,15.174,11.967,10.589,,VRT UN
2019-01-04,,,14.92,11.966,10.535,,VRT UN
2019-01-07,,,14.756,12.031,10.594,,VRT UN
2019-01-08,,,14.819,12.067,10.58,,VRT UN
2019-01-09,,,14.542,12.065,10.58,,VRT UN
2019-01-10,,,10.732,12.076,10.593,,VRT UN
2019-01-11,,,7.875,12.174,10.672,,VRT UN
2019-01-14,,,7.79,12.289,10.672,,VRT UN
2019-01-15,,,7.92,12.407,10.672,,VRT UN
2019-01-16,,,7.92,12.352,10.681,,VRT UN
2019-01-17,,,7.92,12.244,10.547,,VRT UN
2019-01-18,,,8.001,12.275,10.33,,VRT UN
2019-01-22,,,7.812,12.212,10.32,,VRT UN
2019-01-23,,,7.23,12.334,10.38,,VRT UN
2019-01-24,,,7.362,12.26,10.353,,VRT UN
2019-01-25,,,7.341,12.214,10.289,,VRT UN
2019-01-28,,,6.949,12.212,10.282,,VRT UN
2019-01-29,,,6.475,12.31,10.335,,VRT UN
2019-01-30,,,6.439,12.285,10.294,,VRT UN
2019-01-31,,,6.494,12.175,10.297,,VRT UN
2019-02-01,,,6.606,12.275,10.397,,VRT UN
2019-02-04,,,7.784,12.544,10.572,,VRT UN
2019-02-05,,,7.784,12.556,10.641,,VRT UN
2019-02-06,,,8.729,12.839,10.865,,VRT UN
2019-02-07,,,8.729,12.437,10.865,,VRT UN
2019-02-08,,,8.313,12.434,10.865,,VRT UN
2019-02-11,,,8.333,12.287,10.859,,VRT UN
2019-02-12,,,8.126,12.267,10.876,,VRT UN
2019-02-13,,,8.119,12.327,10.849,,VRT UN
2019-02-14,,,8.269,12.305,10.86,,VRT UN
2019-02-15,,,8.226,12.184,10.847,,VRT UN
2019-02-19,,,7.995,12.013,10.831,,VRT UN
2019-02-20,,,7.861,11.826,10.827,,VRT UN
2019-02-21,,,8.004,11.873,10.862,,VRT UN
2019-02-22,,,8.132,11.82,10.904,,VRT UN
2019-02-25,,,7.986,9.617,10.966,,VRT UN
2019-02-26,,,8.052,7.845,11.001,,VRT UN
2019-02-27,,,7.922,7.747,11.008,,VRT UN
2019-02-28,,,7.922,7.809,11.079,,VRT UN
2019-03-01,,,8.099,7.852,11.097,,VRT UN
2019-03-04,,,8.021,7.863,11.018,,VRT UN
2019-03-05,,,7.93,7.852,11.017,,VRT UN
2019-03-06,,,8.184,7.908,11.042,,VRT UN
2019-03-07,,,8.302,7.716,11.106,,VRT UN
2019-03-08,,,8.289,7.68,11.033,,VRT UN
2019-03-11,,,8.3,7.673,11.0,,VRT UN
2019-03-12,,,8.353,7.522,11.014,9.508,VRT UN
2019-03-13,,,8.199,7.269,11.001,9.476,VRT UN
2019-03-14,,,8.181,7.252,10.983,9.443,VRT UN
2019-03-15,,,7.829,7.294,10.928,9.417,VRT UN
2019-03-18,,,6.851,7.205,10.945,9.407,VRT UN
2019-03-19,,,5.661,7.184,10.909,9.372,VRT UN
2019-03-20,,,5.589,7.132,10.83,9.342,VRT UN
2019-03-21,,,5.674,7.172,10.847,9.317,VRT UN
2019-03-22,,,5.683,7.174,10.534,9.284,VRT UN
2019-03-25,,,5.708,6.974,10.537,9.254,VRT UN
2019-03-26,,,5.707,7.018,10.445,9.236,VRT UN
2019-03-27,,,5.5,6.872,10.416,9.208,VRT UN
2019-03-28,,,5.438,6.801,10.439,9.19,VRT UN
2019-03-29,,,5.458,6.809,10.393,9.159,VRT UN
2019-04-01,,,5.568,6.83,10.344,9.137,VRT UN
2019-04-02,,,5.568,6.704,10.216,9.106,VRT UN
2019-04-03,,,5.383,6.637,10.074,9.078,VRT UN
2019-04-04,,,5.38,6.749,10.12,9.072,VRT UN
2019-04-05,,,5.294,6.753,10.078,9.056,VRT UN
2019-04-08,,,5.22,6.587,8.351,9.029,VRT UN
2019-04-09,,,5.269,6.606,7.023,9.029,VRT UN
2019-04-10,,,5.345,6.585,6.966,9.008,VRT UN
2019-04-11,,,5.345,6.585,6.999,9.008,VRT UN
2019-04-12,,,5.242,6.585,6.973,8.978,VRT UN
2019-04-15,,,5.648,6.702,7.081,8.993,VRT UN
2019-04-16,,,5.196,6.721,7.12,8.993,VRT UN
2019-04-17,,,4.845,6.659,7.033,8.968,VRT UN
2019-04-18,,,4.944,6.659,6.836,8.968,VRT UN
2019-04-22,,,5.121,6.725,6.854,8.954,VRT UN
2019-04-23,,,5.444,6.894,6.959,8.97,VRT UN
2019-04-24,,,5.443,6.893,6.827,8.944,VRT UN
