year/period,announcement_date,announcement_time,earnings_eps,comparable_eps,estimate_eps,ticker
1990:Q1,1989-07-31,,,,,CASY UW
1990:Q2,1989-10-31,,,,,CASY UW
1990:Q3,1990-01-31,,,,,CASY UW
1990:Q4,1990-04-30,,,,,CASY UW
1991:Q1,1990-07-31,,,,,CASY UW
1991:Q2,1990-10-31,,,,,CASY UW
1991:Q3,1991-01-31,,,,,CASY UW
1991:Q4,1991-04-30,,,,,CASY UW
1992:Q1,1991-07-31,,,,,CASY UW
1992:Q2,1991-10-31,,,,,CASY UW
1992:Q3,1992-01-31,,,,,CASY UW
1992:Q4,1992-04-30,,,,,CASY UW
1993:Q1,1992-09-02,,,,,CASY UW
1993:Q2,1992-12-01,,,,,CASY UW
1993:Q3,1993-03-02,,,,,CASY UW
1993:Q4,1993-06-15,,,,,CASY UW
1994:Q1,1993-08-31,,,,,CASY UW
1994:Q2,1993-11-30,,,,,CASY UW
1994:Q3,1994-03-01,,,,,CASY UW
1994:Q4,1994-06-21,,,,,CASY UW
1995:Q1,1994-08-30,,,,,CASY UW
1995:Q2,1994-12-06,,,,,CASY UW
1995:Q3,1995-02-27,,,,,CASY UW
1995:Q4,1995-06-20,,,,,CASY UW
1996:Q1,1995-08-29,,,,,CASY UW
1996:Q2,1995-12-05,,,,,CASY UW
1996:Q3,1996-03-05,,,,,CASY UW
1996:Q4,1996-06-18,,,,,CASY UW
1997:Q1,1996-08-27,,,,,CASY UW
1997:Q2,1996-12-09,,,,,CASY UW
1997:Q3,1997-03-04,,,,,CASY UW
1997:Q4,1997-06-17,,,,,CASY UW
1998:Q1,1997-08-26,,,,,CASY UW
1998:Q2,1997-12-02,,,,,CASY UW
1998:Q3,1998-03-03,,,,,CASY UW
1998:Q4,1998-06-15,,,,,CASY UW
1999:Q1,1998-08-24,,,,,CASY UW
1999:Q2,1998-12-01,,,,,CASY UW
1999:Q3,1999-03-02,,,,,CASY UW
1999:Q4,1999-06-15,,,,,CASY UW
2000:Q1,1999-09-01,,,,,CASY UW
2000:Q2,1999-12-01,,,,,CASY UW
2000:Q3,2000-02-22,,,,,CASY UW
2000:Q4,2000-06-12,,,,,CASY UW
2001:Q1,2000-08-29,,,,,CASY UW
2001:Q2,2000-11-28,,,,,CASY UW
2001:Q3,2001-02-27,,,,,CASY UW
2001:Q4,2001-06-13,,,,,CASY UW
2002:Q1,2001-08-29,,,,,CASY UW
2002:Q2,2001-11-28,,,,,CASY UW
2002:Q3,2002-02-28,,,,,CASY UW
2002:Q4,2002-06-13,,,,,CASY UW
2003:Q1,2002-08-27,,,,,CASY UW
2003:Q2,2002-12-03,,,,,CASY UW
2003:Q3,2003-03-06,,,,,CASY UW
2003:Q4,2003-06-10,,,,,CASY UW
2004:Q1,2003-09-02,,,,,CASY UW
2004:Q2,2003-12-03,,,,,CASY UW
2004:Q3,2004-03-03,,,,,CASY UW
2004:Q4,2004-06-09,,,,,CASY UW
2005:Q1,2004-09-01,,,,,CASY UW
2005:Q2,2004-12-07,,,,,CASY UW
2005:Q3,2005-03-08,,,,,CASY UW
2005:Q4,2005-06-13,,,,,CASY UW
2006:Q1,2005-09-06,,,,,CASY UW
2006:Q2,2005-12-06,,,,,CASY UW
2006:Q3,2006-03-08,,,,,CASY UW
2006:Q4,2006-06-13,,,,,CASY UW
2007:Q1,2006-09-05,,,,,CASY UW
2007:Q2,2006-12-06,,,,,CASY UW
2007:Q3,2007-03-07,,,,,CASY UW
2007:Q4,2007-06-13,,,,,CASY UW
2008:Q1,2007-09-05,,,,,CASY UW
2008:Q2,2007-12-05,,,,,CASY UW
2008:Q3,2008-03-06,,,,,CASY UW
2008:Q4,2008-06-11,,,,,CASY UW
2009:Q1,2008-09-03,,,,,CASY UW
2009:Q2,2008-12-03,,,,,CASY UW
2009:Q3,2009-03-09,,,,,CASY UW
2009:Q4,2009-06-15,,,,,CASY UW
2010:Q1,2009-09-08,,,,,CASY UW
2010:Q2,2009-12-07,,,,,CASY UW
2010:Q3,2010-03-08,,,,,CASY UW
2010:Q4,2010-06-15,,,,,CASY UW
2011:Q1,2010-09-07,,,,,CASY UW
2011:Q2,2010-12-07,,,,,CASY UW
2011:Q3,2011-03-07,,,,,CASY UW
2011:Q4,2011-06-13,,,,,CASY UW
2012:Q1,2011-09-07,,,,,CASY UW
2012:Q2,2011-12-06,,,,,CASY UW
2012:Q3,2012-03-05,,,,,CASY UW
2012:Q4,2012-06-12,,,,,CASY UW
2013:Q1,2012-09-10,,,,,CASY UW
2013:Q2,2012-12-10,,,,,CASY UW
2013:Q3,2013-03-11,,,,,CASY UW
2013:Q4,2013-06-13,,,,,CASY UW
2014:Q1,2013-09-09,,,,,CASY UW
2014:Q2,2013-12-09,,,,,CASY UW
2014:Q3,2014-03-10,,,,,CASY UW
2014:Q4,2014-06-09,,,,,CASY UW
2015:Q1,2014-09-08,,,,,CASY UW
2015:Q2,2014-12-10,,,,,CASY UW
2015:Q3,2015-03-09,,,,,CASY UW
2015:Q4,2015-06-08,,,,,CASY UW
2016:Q1,2015-09-08,,,,,CASY UW
2016:Q2,2015-12-07,,,,,CASY UW
2016:Q3,2016-03-07,,,,,CASY UW
2016:Q4,2016-06-06,,,,,CASY UW
2017:Q1,2016-09-06,,,,,CASY UW
2017:Q2,2016-12-07,,,,,CASY UW
2017:Q3,2017-03-06,,,,,CASY UW
2017:Q4,2017-06-05,,,,,CASY UW
2018:Q1,2017-09-05,,,,,CASY UW
2018:Q2,2017-12-11,,,,,CASY UW
2018:Q3,2018-03-07,,,,,CASY UW
2018:Q4,2018-06-12,,,,,CASY UW
2019:Q1,2018-09-10,,,,,CASY UW
2019:Q2,2018-12-10,,,,,CASY UW
2019:Q3,2019-03-11,,,,,CASY UW
2019:Q4,2019-06-10,,,,,CASY UW
2020:Q1,2019-09-09,,,,,CASY UW
2020:Q2,2019-12-09,,,,,CASY UW
2020:Q3,2020-03-09,,,,,CASY UW
2020:Q4,2020-06-08,,,,,CASY UW
2021:Q1,2020-09-08,,,,,CASY UW
2021:Q2,2020-12-07,,,,,CASY UW
2021:Q3,2021-03-08,,,,,CASY UW
2021:Q4,2021-06-08,,,,,CASY UW
2022:Q1,2021-09-07,,,,,CASY UW
2022:Q2,2021-12-07,,,,,CASY UW
2022:Q3,2022-03-08,,,,,CASY UW
2022:Q4,2022-06-07,,,,,CASY UW
2023:Q1,2022-09-07,,,,,CASY UW
2023:Q2,2022-12-06,,,,,CASY UW
2023:Q3,2023-03-07,,,,,CASY UW
2023:Q4,2023-06-06,,,,,CASY UW
2024:Q1,2023-09-11,,,,,CASY UW
2024:Q2,2023-12-11,,,,,CASY UW
2024:Q3,2024-03-11,,,,,CASY UW
2024:Q4,2024-06-11,,,,,CASY UW
2025:Q1,2024-09-04,,,,,CASY UW
2025:Q2,2024-12-09,,,,,CASY UW
2025:Q3,2025-03-11,,,,,CASY UW
2025:Q4,2025-06-09,,,,,CASY UW
2026:Q1,2025-09-08,,,,,CASY UW
2026:Q2,2025-12-09,,,,,CASY UW
2026:Q3,2026-03-09,,,,,CASY UW
2026:Q4,2026-06-09,,,,,CASY UW
