date,ticker,open,high,low,close,volume
2018-01-02,CASY UW Equity,113.03,112.39,111.5,111.98,175428.0
2018-01-03,CASY UW Equity,121.29,120.21,114.18,114.32,608104.0
2018-01-04,CASY UW Equity,123.54,122.7,119.79,121.4,275208.0
2018-01-05,CASY UW Equity,125.22,121.44,120.81,123.58,262051.0
2018-01-08,CASY UW Equity,123.26,122.99,120.65,120.65,128569.0
2018-01-09,CASY UW Equity,123.13,122.43,120.88,123.13,90705.0
2018-01-10,CASY UW Equity,121.93,120.08,119.83,121.93,200905.0
2018-01-11,CASY UW Equity,122.22,122.21,119.45,120.45,143991.0
2018-01-12,CASY UW Equity,125.55,124.25,122.415,122.89,167542.0
2018-01-16,CASY UW Equity,125.07,123.06,122.94,124.92,137101.0
2018-01-17,CASY UW Equity,123.8,122.94,122.3,123.53,130265.0
2018-01-18,CASY UW Equity,124.14,123.55,122.39,122.9,96009.0
2018-01-19,CASY UW Equity,123.38,122.12,121.6,123.0,217840.0
2018-01-22,CASY UW Equity,122.64,122.13,121.5,122.32,128066.0
2018-01-23,CASY UW Equity,124.82,124.04,121.44,122.2,93940.0
2018-01-24,CASY UW Equity,125.8,124.86,123.52,124.65,108455.0
2018-01-25,CASY UW Equity,126.29,124.36,123.68,125.43,135023.0
2018-01-26,CASY UW Equity,128.48,127.73,122.58,124.28,295816.0
2018-01-29,CASY UW Equity,128.14,124.25,124.05,127.34,185146.0
2018-01-30,CASY UW Equity,123.66,123.0,121.91,123.66,138914.0
2018-01-31,CASY UW Equity,124.09,121.11,120.91,123.05,129961.0
2018-02-01,CASY UW Equity,121.025,119.96,118.18,120.77,133019.0
2018-02-02,CASY UW Equity,119.0,117.2,116.87,119.0,89838.0
2018-02-05,CASY UW Equity,117.01,112.94,112.88,116.21,135418.0
2018-02-06,CASY UW Equity,115.38,114.85,111.18,111.8,172162.0
2018-02-07,CASY UW Equity,116.76,115.03,114.7,114.85,127090.0
