date,hist_put_imp_vol,hist_call_imp_vol,volatility_30d,volatility_60d,volatility_90d,volatility_260d,ticker
2018-01-02,19.9925,19.9925,42.879,32.026,27.708,22.461,CASY UW
2018-01-03,19.5412,19.5412,47.505,34.888,29.74,23.458,CASY UW
2018-01-04,19.5559,19.5559,47.861,35.114,29.916,23.31,CASY UW
2018-01-05,19.7818,19.7818,47.966,35.207,29.906,23.314,CASY UW
2018-01-08,20.6673,20.6673,48.101,34.981,29.947,23.348,CASY UW
2018-01-09,20.4398,20.4398,47.974,34.886,29.962,23.342,CASY UW
2018-01-10,20.1176,20.1176,48.278,35.123,30.177,23.423,CASY UW
2018-01-11,20.143,20.143,47.895,35.286,30.272,23.489,CASY UW
2018-01-12,21.3637,21.3637,47.972,35.268,30.284,23.546,CASY UW
2018-01-16,22.1062,22.1062,48.071,35.326,30.247,23.567,CASY UW
2018-01-17,22.8619,22.8619,47.995,35.307,30.194,23.551,CASY UW
2018-01-18,22.0511,22.0511,47.823,35.185,30.13,23.542,CASY UW
2018-01-19,21.5459,21.5459,47.859,35.288,30.193,23.572,CASY UW
2018-01-22,24.5336,24.5336,47.816,35.28,30.19,23.569,CASY UW
2018-01-23,25.4075,25.4075,47.972,35.397,30.15,23.609,CASY UW
2018-01-24,25.2606,25.2606,47.169,35.412,30.088,23.603,CASY UW
2018-01-25,25.3714,25.3714,27.307,35.428,30.042,23.604,CASY UW
2018-01-26,28.3269,28.3269,28.064,35.824,30.326,23.753,CASY UW
2018-01-29,30.0622,30.0622,27.922,36.352,30.682,23.91,CASY UW
2018-01-30,30.5658,30.5658,28.213,36.353,30.702,23.883,CASY UW
2018-01-31,30.8176,30.8176,28.659,36.5,30.833,23.923,CASY UW
2018-02-01,31.3672,31.3672,28.922,36.55,30.698,23.927,CASY UW
2018-02-02,31.7869,31.7869,29.478,36.566,30.961,24.041,CASY UW
2018-02-05,34.0964,34.0964,31.719,37.4,31.623,24.223,CASY UW
2018-02-06,37.8218,37.8218,31.993,37.567,31.731,24.276,CASY UW
2018-02-07,33.2812,33.2812,31.955,37.45,31.701,24.276,CASY UW
2018-02-08,36.6248,36.6248,32.649,37.718,31.864,24.345,CASY UW
2018-02-09,44.1244,44.1244,32.518,37.726,31.851,24.314,CASY UW
2018-02-12,39.7934,39.7934,32.537,37.684,31.841,24.291,CASY UW
2018-02-13,40.6387,40.6387,32.7,37.566,31.883,24.306,CASY UW
2018-02-14,38.5411,38.5411,25.515,37.578,31.934,24.291,CASY UW
2018-02-15,36.5184,36.5184,24.95,37.606,31.939,24.317,CASY UW
2018-02-16,35.0464,35.0464,25.267,37.718,32.02,24.333,CASY UW
2018-02-20,36.3406,36.3406,25.09,37.786,32.098,24.337,CASY UW
