date,ticker,eqy_dvd_yld_12m,beta_raw_overridable,pe_ratio,best_pe_ratio,cur_mkt_cap,return_com_eqy,tot_debt_to_tot_eqy,free_cash_flow_yield
2015-01-30,A UN Equity,1.3132,0.4972,32.4291,,12684.9291,,,2.4267
2015-01-31,A UN Equity,,,,,,7.6852,39.1038,
2015-02-27,A UN Equity,1.1751,0.7527,36.2413,,14176.0883,,,2.1714
2015-03-31,A UN Equity,1.1167,0.7499,35.6746,,13952.9181,,,2.2059
2015-04-30,A UN Equity,1.1216,0.7507,31.2193,,13892.4722,6.5413,39.7981,1.4207
2015-05-29,A UN Equity,1.1265,0.6995,31.0834,,13832.0264,,,1.4269
2015-06-30,A UN Equity,1.1198,0.6595,29.1138,,12854.5374,,,1.5235
2015-07-31,A UN Equity,1.0549,0.6981,28.9413,,13644.2018,5.8316,40.3069,2.2281
2015-08-31,A UN Equity,1.1898,0.9807,25.662,,12098.1921,,,2.5128
2015-09-30,A UN Equity,1.1652,0.9957,24.2626,,11377.0728,,,2.6577
2015-10-30,A UN Equity,1.0593,1.1667,25.8573,,12513.7859,,,3.1371
2015-10-31,A UN Equity,,,,,,8.4706,39.6882,
2015-11-30,A UN Equity,0.9565,1.0537,28.6375,,13859.283,,,2.8325
2015-12-31,A UN Equity,0.9926,1.0209,28.6307,,13888.0653,,,2.8332
2016-01-29,A UN Equity,1.1023,1.2,24.9317,,12340.4987,,,4.1467
2016-01-31,A UN Equity,,,,,,11.0843,42.8113,
2016-02-29,A UN Equity,1.1111,1.2875,24.7331,,12242.1681,,,4.18
2016-03-31,A UN Equity,1.0414,1.2866,26.3886,,13061.6377,,,3.9177
2016-04-29,A UN Equity,1.0508,1.2857,26.7484,,13412.3517,,,4.3393
2016-04-30,A UN Equity,,,,,,11.1298,45.3541,
2016-05-31,A UN Equity,0.937,1.3108,29.9972,,15041.369,,,3.8694
2016-06-30,A UN Equity,1.0032,1.313,28.9971,,14440.1425,,,4.0028
2016-07-29,A UN Equity,0.925,1.3732,30.7221,,15660.8489,,,4.3273
2016-07-31,A UN Equity,,,,,,11.2716,43.4192,
2016-08-31,A UN Equity,0.9472,1.4257,30.0005,,15293.0094,,,4.4314
2016-09-30,A UN Equity,0.9769,1.4223,30.0707,,15275.2786,,,4.421
2016-10-31,A UN Equity,1.0558,1.493,27.0396,,14133.4442,10.9869,44.8422,4.6113
2016-11-30,A UN Equity,1.0459,1.649,27.294,,14266.442,,,4.5683
2016-12-30,A UN Equity,1.047,1.6522,28.2746,,14658.8341,,,4.4099
2017-01-31,A UN Equity,0.9741,1.5816,27.9601,,15755.9944,12.2033,46.3256,4.1824
2017-02-28,A UN Equity,0.9298,1.5737,29.2904,,16521.5667,,,3.9925
2017-03-31,A UN Equity,0.9344,1.5657,30.1868,,17040.0488,,,3.8739
2017-04-28,A UN Equity,0.8974,1.5708,28.5429,,17742.6647,,,3.6555
2017-04-30,A UN Equity,,,,,,13.6396,46.6971,
2017-05-31,A UN Equity,0.8187,1.5453,31.2857,,19447.6365,,,3.335
2017-06-30,A UN Equity,0.8616,1.5489,30.7516,,19058.5237,,,3.3929
2017-07-31,A UN Equity,0.8547,1.5209,31.6935,,19212.7657,14.1437,45.1312,3.4547
2017-08-31,A UN Equity,0.7896,1.3834,34.3068,,20796.9593,,,3.1916
2017-09-29,A UN Equity,0.796,1.2937,34.0311,,20661.3578,,,3.2174
2017-10-31,A UN Equity,0.7761,1.5128,34.5991,,21893.959,15.076,41.5926,3.2605
2017-11-30,A UN Equity,0.7626,1.4643,35.2145,,22295.28,,,3.2036
2017-12-29,A UN Equity,0.8138,1.5188,34.06,,21632.5173,,,3.3121
2018-01-31,A UN Equity,0.7422,1.3306,34.5984,,23719.2137,4.4449,47.3928,3.319
2018-02-28,A UN Equity,0.7946,1.4366,32.3179,,22152.0322,,,3.5532
2018-03-30,A UN Equity,0.8146,1.5932,31.5216,,21573.6831,,,3.643
2018-04-30,A UN Equity,0.8549,1.5828,29.3237,,21199.6103,5.2755,45.809,3.8978
2018-05-31,A UN Equity,0.9076,1.4856,27.6197,,19811.4356,,,4.1383
2018-06-29,A UN Equity,0.9088,1.4572,27.584,,19785.8395,,,4.1436
2018-07-31,A UN Equity,0.8767,1.3902,25.2856,,21129.6384,6.498,39.3827,3.7834
2018-08-31,A UN Equity,0.8573,1.3568,25.8599,,21529.6952,,,3.6994
2018-09-28,A UN Equity,0.8208,1.3312,27.0086,,22486.0038,,,3.5421
2018-10-31,A UN Equity,0.9199,1.1883,23.2181,,20653.079,6.7248,39.3568,4.3797
2018-11-30,A UN Equity,0.8238,1.2934,25.9273,,23007.3,,,3.922
2018-12-31,A UN Equity,0.9057,1.1089,24.1749,,21488.2398,,,4.2063
2019-01-31,A UN Equity,0.8034,1.1788,26.9488,,24224.4388,23.8544,35.7029,3.8197
2019-02-28,A UN Equity,0.7691,1.185,28.1501,,25231.3761,,,3.6567
2019-03-29,A UN Equity,0.7601,1.184,28.4832,,25521.9256,,,3.6139
2019-04-30,A UN Equity,0.7975,1.1018,27.7418,,24924.9957,22.9411,35.0829,3.5476
2019-05-31,A UN Equity,0.9336,1.2536,23.6954,,21187.3543,,,4.1534
2019-06-28,A UN Equity,0.8384,1.2943,26.3882,,23595.2236,,,3.7296
2019-07-31,A UN Equity,0.9235,1.2892,24.9152,,21933.0986,23.0265,37.8766,4.1743
2019-08-30,A UN Equity,0.9014,1.2722,25.5255,,22006.2466,,,4.0745
2019-09-30,A UN Equity,0.8561,1.2825,27.5069,,23714.5082,,,3.781
2019-10-31,A UN Equity,0.866,1.2712,27.4081,,23442.1766,22.9952,50.695,3.6435
2019-11-29,A UN Equity,0.8122,1.2952,29.2245,,24957.93,,,3.4171
2019-12-31,A UN Equity,0.7877,1.2782,30.8672,,26461.7471,,,3.2352
2020-01-31,A UN Equity,0.814,1.2845,31.0234,,25608.7427,15.4593,54.7442,2.3168
2020-02-28,A UN Equity,0.8719,1.186,28.9604,,23891.7,,,2.4819
2020-03-31,A UN Equity,0.9606,1.0315,26.9125,,22177.2303,,,2.6707
2020-04-30,A UN Equity,0.8975,0.9249,29.7452,,23737.8732,13.8077,56.1451,2.8007
2020-05-29,A UN Equity,0.7806,0.9933,34.1996,,27147.12,,,2.4359
2020-06-30,A UN Equity,0.7967,0.9804,34.2888,,27286.6585,,,2.4296
2020-07-31,A UN Equity,0.7308,0.9961,37.4695,,29744.5266,14.2064,50.3513,2.4703
2020-08-31,A UN Equity,0.7011,0.9725,39.0603,,31029.78,,,2.3697
2020-09-30,A UN Equity,0.6974,0.9286,39.2626,,31120.7746,,,2.3575
2020-10-30,A UN Equity,0.7053,0.9168,38.6665,,31475.3306,,,2.5469
2020-10-31,A UN Equity,,,,,,14.9465,52.0624,
2020-11-30,A UN Equity,0.6159,0.9479,44.2757,,35771.4,,,2.2242
2020-12-31,A UN Equity,0.6076,0.9531,44.8779,,36358.6003,,,2.1944
2021-01-29,A UN Equity,0.6108,0.9098,41.1288,,36874.1075,,,2.9491
2021-01-31,A UN Equity,,,,,,16.7841,55.6828,
2021-02-26,A UN Equity,0.6013,0.9055,41.7791,,37278.8782,,,2.9032
2021-03-31,A UN Equity,0.5773,0.9263,43.5144,,38739.2421,,,2.7874
2021-04-30,A UN Equity,0.5597,0.9228,41.5718,,40719.7759,19.3151,64.9272,3.0593
2021-05-31,A UN Equity,0.5415,0.8018,42.9685,,42267.78,,,2.9598
2021-06-30,A UN Equity,0.5061,0.7656,45.9797,,44851.9431,,,2.766
2021-07-30,A UN Equity,0.4973,0.7655,44.3922,,46496.6054,,,2.7115
2021-07-31,A UN Equity,,,,,,19.9456,61.5447,
2021-08-31,A UN Equity,0.4343,0.7915,50.8353,23.119,53167.41,,,2.3679
2021-09-30,A UN Equity,0.4837,0.8726,45.6379,20.755,47687.9019,,,2.6375
2021-10-29,A UN Equity,0.4927,0.8191,42.2991,20.75,47675.793,,,2.7109
2021-10-31,A UN Equity,,,,,,23.5821,54.0174,
2021-11-30,A UN Equity,0.5142,0.8297,40.5292,19.547,45571.8,,,2.8293
2021-12-31,A UN Equity,0.4861,0.8327,42.8793,20.68,48214.4272,,,2.6742
2022-01-31,A UN Equity,0.5685,0.9084,35.2214,18.047,42074.751,24.2016,52.9686,3.0316
2022-02-28,A UN Equity,0.6075,1.062,32.9563,17.018,39368.72,,,3.2399
2022-03-31,A UN Equity,0.5985,1.056,33.4543,17.275,39714.0032,,,3.1917
2022-04-29,A UN Equity,0.6775,1.2229,28.8555,15.57,35794.5225,,,2.9923
2022-04-30,A UN Equity,,,,,,25.4329,56.7161,
2022-05-31,A UN Equity,0.6334,1.145,30.8611,16.523,38103.1996,,,2.7978
2022-06-30,A UN Equity,0.6803,1.1051,28.7345,15.385,35477.5558,,,3.0049
2022-07-29,A UN Equity,0.6145,1.1186,30.619,17.37,40056.7503,,,2.5353
2022-07-31,A UN Equity,,,,,,26.4621,60.3614,
2022-08-31,A UN Equity,0.6425,1.161,29.2833,16.4,37962.0,,,2.651
2022-09-30,A UN Equity,0.6779,1.1172,27.7535,15.543,35983.7313,,,2.7971
2022-10-31,A UN Equity,0.6072,1.1566,29.4897,17.692,40957.2129,23.4524,55.0613,2.4764
2022-11-30,A UN Equity,0.542,1.1955,33.0344,19.276,45719.1,,,2.2106
2022-12-30,A UN Equity,0.5713,1.1887,31.8983,18.613,44307.1808,,,2.2894
2023-01-31,A UN Equity,0.5622,1.1455,31.1842,18.915,45026.6358,24.5842,52.9684,2.3483
2023-02-28,A UN Equity,0.6022,1.1717,29.1111,18.016,42003.2548,,,2.5155
2023-03-31,A UN Equity,0.618,1.1385,28.3668,17.556,40907.3943,,,2.5815
2023-04-28,A UN Equity,0.6424,1.1393,27.4244,17.187,40046.902,,,2.8999
2023-04-30,A UN Equity,,,,,,24.7822,47.2756,
2023-05-31,A UN Equity,0.7521,1.1349,23.423,14.513,34166.1209,,,3.3953
2023-06-30,A UN Equity,0.736,1.0968,24.3505,15.088,35518.9421,,,3.266
2023-07-31,A UN Equity,0.7268,1.0399,23.9937,15.279,35967.9134,21.279,53.3825,3.9487
2023-08-31,A UN Equity,0.731,1.0326,23.8557,16.164,35423.5411,,,3.9715
2023-09-29,A UN Equity,0.7915,1.0144,22.0331,14.969,32717.1089,,,4.3001
2023-10-31,A UN Equity,0.8707,1.0854,20.7655,13.847,30244.7464,22.2422,49.5979,4.8474
2023-11-30,A UN Equity,0.7042,1.2601,25.6731,13.371,37333.3502,,,3.9208
2023-12-29,A UN Equity,0.6553,1.2766,27.929,14.078,40736.3603,,,3.6041
2024-01-31,A UN Equity,0.7002,1.2195,26.5375,17.487,38119.8337,20.9545,41.2896,4.3164
2024-02-29,A UN Equity,0.6632,1.2063,28.0184,18.791,40252.224,,,4.0883
2024-03-29,A UN Equity,0.6261,1.2239,29.6808,20.523,42642.4744,,,3.8593
2024-04-30,A UN Equity,0.6728,1.2548,27.6573,19.039,40160.2961,20.7086,41.1329,3.83
2024-05-31,A UN Equity,0.707,1.1994,26.3192,18.994,38217.3396,,,4.0247
2024-06-28,A UN Equity,0.7113,1.2586,26.1618,19.007,37820.9618,,,4.0489
2024-07-31,A UN Equity,0.6598,1.2353,28.9642,21.035,41254.9873,24.6575,52.7867,3.4328
2024-08-30,A UN Equity,0.6528,1.2345,29.2755,21.566,41064.8707,,,3.3963
2024-09-30,A UN Equity,0.6284,1.4666,30.4144,22.405,42662.4126,,,3.2691
2024-10-31,A UN Equity,0.7244,1.4633,26.2617,19.828,37441.6688,21.9535,60.5968,3.6307
2024-11-29,A UN Equity,0.6842,1.3919,27.8055,21.431,39642.5988,,,3.4291
2024-12-31,A UN Equity,0.7116,1.6088,27.0739,20.815,38366.8729,,,3.5218
2025-01-31,A UN Equity,0.6309,1.6486,30.5994,23.459,43227.0788,20.614,55.7989,3.0062
2025-02-28,A UN Equity,0.7473,1.7758,25.8334,19.876,36494.2445,,,3.5608
2025-03-31,A UN Equity,0.8172,1.7061,23.6241,18.196,33351.3158,,,3.8938
2025-04-30,A UN Equity,0.8996,1.6921,21.2528,16.87,30677.0523,18.8826,56.9589,3.8526
2025-05-30,A UN Equity,0.8649,1.6363,22.1061,17.534,31908.6961,,,3.7039
2025-06-30,A UN Equity,0.8203,1.697,23.309,18.459,33522.4786,,,3.5127
2025-07-31,A UN Equity,0.8536,1.6969,22.493,17.959,32613.4714,19.881,56.4207,3.3237
2025-08-29,A UN Equity,0.7799,1.7545,24.6187,19.975,35624.6637,,,3.0368
2025-09-30,A UN Equity,0.7729,1.8033,25.1457,20.383,36387.2798,,,2.9731
2025-10-31,A UN Equity,0.6778,1.8106,27.5756,23.232,41493.1225,20.6187,52.559,2.7716
2025-11-28,A UN Equity,0.6463,1.4527,28.9209,24.611,43448.8469,,,2.6427
2025-12-31,A UN Equity,0.729,1.4761,25.6369,21.813,38575.6914,,,2.9812
2026-01-30,A UN Equity,0.7464,1.4777,24.7969,21.433,37858.0854,,,2.6171
2026-01-31,A UN Equity,,,,,,19.9459,48.5524,
2026-02-27,A UN Equity,0.823,1.5462,22.4867,19.319,34331.0751,,,2.8859
2026-03-31,A UN Equity,0.8826,1.4697,21.1158,18.155,32211.0121,,,3.0733
2026-04-30,A UN Equity,0.8706,1.118,20.8355,18.394,32654.6977,21.3305,47.1076,3.3235
2026-05-29,A UN Equity,0.7423,1.369,24.4383,21.482,38249.027,,,2.8335
2015-01-30,AAPL UW Equity,1.5754,1.2627,15.8381,,682427.4812,,,8.6242
2015-02-27,AAPL UW Equity,1.4635,1.3026,17.3656,,748247.1341,,,7.8656
2015-03-28,AAPL UW Equity,,,,,,38.3715,34.0069,
2015-03-31,AAPL UW Equity,1.5109,1.4313,15.3999,,724773.3995,,,8.8431
2015-04-30,AAPL UW Equity,1.5022,1.4353,15.489,,720992.8776,,,8.7922
2015-05-29,AAPL UW Equity,1.4814,1.4517,16.1239,,750546.9604,,,8.446
2015-06-27,AAPL UW Equity,,,,,,41.1464,43.2999,
2015-06-30,AAPL UW Equity,1.5388,1.1723,14.4905,,722577.1608,,,9.5296
2015-07-31,AAPL UW Equity,1.5911,1.1219,14.014,,691740.199,,,9.8537
2015-08-31,AAPL UW Equity,1.7559,1.4748,13.0273,,643038.9517,,,10.6
2015-09-26,AAPL UW Equity,,,,,,46.2482,53.8964,
2015-09-30,AAPL UW Equity,1.7951,1.4679,11.9757,,629010.2551,,,10.9791
2015-10-30,AAPL UW Equity,1.6569,1.278,12.9746,,666252.0611,,,10.1338
2015-11-30,AAPL UW Equity,1.716,1.2922,12.8443,,659561.6638,,,10.2366
2015-12-26,AAPL UW Equity,,,,,,42.7123,49.0875,
2015-12-31,AAPL UW Equity,1.9286,1.3854,11.2247,,586859.3468,,,10.6211
2016-01-29,AAPL UW Equity,2.0855,1.3078,10.3801,,539709.71,,,11.4853
2016-02-29,AAPL UW Equity,2.1512,1.3362,10.3108,,536105.731,,,11.5625
2016-03-26,AAPL UW Equity,,,,,,39.0638,61.2248,
2016-03-31,AAPL UW Equity,1.9084,1.4021,12.1773,,604304.102,,,9.1527
2016-04-29,AAPL UW Equity,2.2189,1.4064,10.4735,,513453.8012,,,10.6417
2016-05-31,AAPL UW Equity,2.133,1.3976,11.1572,,546975.641,,,9.9895
2016-06-25,AAPL UW Equity,,,,,,37.9013,67.1205,
2016-06-30,AAPL UW Equity,2.228,1.4017,11.2239,,523641.8114,,,9.5752
2016-07-29,AAPL UW Equity,2.0439,1.4844,12.2348,,561529.6316,,,8.7841
2016-08-31,AAPL UW Equity,2.0547,1.4622,12.4567,,571713.7886,,,8.6276
2016-09-24,AAPL UW Equity,,,,,,36.9033,67.8617,
2016-09-30,AAPL UW Equity,1.9284,1.4471,13.7593,,609163.4666,,,8.6226
2016-10-31,AAPL UW Equity,1.92,1.3914,13.8189,,605430.8167,,,8.5854
2016-11-30,AAPL UW Equity,2.0177,1.2345,13.4513,,589327.2314,,,8.82
2016-12-30,AAPL UW Equity,1.9254,1.2489,13.8619,,617588.4903,,,8.6063
2016-12-31,AAPL UW Equity,,,,,,34.6946,66.1296,
2017-01-31,AAPL UW Equity,1.8377,1.353,14.5238,,638035.9616,,,8.2141
2017-02-28,AAPL UW Equity,1.6644,1.4596,16.3957,,718723.5199,,,7.2763
2017-03-31,AAPL UW Equity,1.5871,1.4456,16.8144,,753717.942,,,7.0171
2017-04-01,AAPL UW Equity,,,,,,34.5734,73.4789,
2017-04-28,AAPL UW Equity,1.5872,1.4446,16.8132,,753665.4766,,,7.0176
2017-05-31,AAPL UW Equity,1.5318,1.4421,17.8795,,796466.1746,,,6.5991
