date,cor1m,cor3m,cor6m
2006-01-03,23.5,31.34,38.21
2006-01-04,24.33,31.12,37.44
2006-01-05,23.55,30.92,37.44
2006-01-06,22.86,30.24,36.38
2006-01-09,21.97,30.15,36.8
2006-01-10,20.85,29.9,36.37
2006-01-11,20.77,30.23,36.85
2006-01-12,20.57,30.57,37.39
2006-01-13,21.24,31.15,37.75
2006-01-17,22.58,32.28,38.59
2006-01-18,22.9,32.37,38.94
2006-01-19,21.44,32.12,38.75
2006-01-20,28.14,35.99,41.87
2006-01-23,26.8,36.49,41.85
2006-01-24,25.31,34.29,40.85
2006-01-25,25.29,33.68,39.65
2006-01-26,24.81,33.01,39.01
2006-01-27,24.4,30.83,37.87
2006-01-30,25.33,31.67,38.01
2006-01-31,24.89,32.48,38.6
2006-02-01,26.03,30.97,37.69
2006-02-02,29.22,33.01,38.91
2006-02-03,27.74,31.62,37.75
2006-02-06,24.83,30.34,35.81
2006-02-07,27.71,32.77,38.48
2006-02-08,25.44,31.22,37.25
2006-02-09,27.03,32.33,38.19
2006-02-10,26.86,31.85,37.39
2006-02-13,27.75,32.8,38.3
2006-02-14,25.54,30.88,37.24
2006-02-15,24.19,30.2,36.87
2006-02-16,22.1,27.9,34.99
2006-02-17,24.71,30.01,36.43
2006-02-21,26.17,31.38,37.25
2006-02-22,25.88,30.02,36.35
2006-02-23,26.03,30.15,36.5
2006-02-24,25.42,30.19,36.43
2006-02-27,25.56,30.71,37.0
2006-02-28,29.82,33.76,39.41
2006-03-01,24.64,31.12,37.51
2006-03-02,25.74,30.93,36.91
2006-03-03,27.76,31.68,38.5
2006-03-06,30.57,34.22,39.73
2006-03-07,31.03,35.41,40.79
2006-03-08,29.94,35.1,40.48
2006-03-09,31.72,36.99,42.23
2006-03-10,28.75,35.13,40.67
2006-03-13,26.65,33.4,39.05
2006-03-14,25.54,32.27,37.96
2006-03-15,25.7,32.6,38.16
2006-03-16,25.21,32.89,37.98
2006-03-17,26.44,34.52,41.91
2006-03-20,30.91,37.1,42.72
2006-03-21,30.55,35.32,42.76
2006-03-22,27.71,36.01,41.76
2006-03-23,27.44,35.86,41.54
2006-03-24,28.12,35.52,41.38
2006-03-27,28.76,35.7,41.1
2006-03-28,27.04,33.91,40.79
2006-03-29,24.87,31.5,39.39
2006-03-30,28.55,33.53,40.57
2006-03-31,29.08,33.86,40.75
2006-04-03,25.84,31.91,38.76
2006-04-04,24.23,30.34,37.51
2006-04-05,24.23,30.64,37.4
2006-04-06,24.04,29.38,35.73
2006-04-07,26.8,31.89,37.74
2006-04-10,25.57,31.7,37.33
2006-04-11,29.49,34.8,40.28
2006-04-12,28.1,34.65,39.9
2006-04-13,26.99,34.28,39.61
